class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9825466073091622,False,1.0
cable,1,0.9895052473763118,0.975213388536446,False,1.0
capsule,2,0.9772636617471081,0.987545052517952,False,1.0
carpet,3,0.9947833065810594,0.9891399065613149,False,1.0
grid,4,0.9774436090225564,0.9769696176960968,True,1.0
Average,,0.9877991649454071,0.9822829145241944,,1.0
Task_0_Average,0,1.0,0.9825466073091622,,1.0
Task_1_Average,1,0.9895052473763118,0.975213388536446,,1.0
Task_2_Average,2,0.9772636617471081,0.987545052517952,,1.0
Task_3_Average,3,0.9947833065810594,0.9891399065613149,,1.0
Task_4_Average,4,0.9774436090225564,0.9769696176960968,,1.0
