Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9764,1.0000,0.6093
1,cable,100.00,0.9747,0.9758,0.9855,0.5152
2,capsule,100.00,0.9709,0.9871,0.9937,0.3903
3,carpet,100.00,0.9964,0.9870,0.9989,0.4976
4,grid,100.00,0.9916,0.9719,0.9970,0.2134
5,hazelnut,100.00,0.9993,0.9819,0.9996,0.4725
6,leather,100.00,1.0000,0.9884,1.0000,0.3220
7,metal_nut,100.00,1.0000,0.9790,1.0000,0.7717
8,pill,100.00,0.9782,0.9888,0.9960,0.7149
9,screw,100.00,0.9334,0.9864,0.9767,0.2084
10,tile,100.00,1.0000,0.9554,1.0000,0.5515
11,toothbrush,100.00,0.9000,0.9826,0.9547,0.4096
12,transistor,100.00,0.9933,0.9727,0.9900,0.6466
13,wood,100.00,0.9921,0.9288,0.9977,0.3797
14,zipper,100.00,0.9793,0.9775,0.9941,0.3685
Mean,Overall,100.00,0.9806*,0.9760*,0.9923*,0.4714*
