metric,value
experiment_name,MVTec-Ablation-wo_WhiteningAdapter
strategy,MoLE-Flow
final_average_img_auc,0.9806106838727559
final_average_pixel_auc,0.9759812858152244
final_average_img_ap,0.9922597064506727
final_average_pixel_ap,0.4714193381444504
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9763633089175469
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.6093281449263472
cable_img_auc,0.9747001499250375
cable_pixel_auc,0.9758477335498386
cable_img_ap,0.9854553940152313
cable_pixel_ap,0.5152223823848188
capsule_img_auc,0.9708815317112086
capsule_pixel_auc,0.9870575716722103
capsule_img_ap,0.9937018726264797
capsule_pixel_ap,0.3902509862329731
carpet_img_auc,0.9963884430176566
carpet_pixel_auc,0.9870368898606723
carpet_img_ap,0.9989005320233555
carpet_pixel_ap,0.4976171299173517
grid_img_auc,0.9916457811194653
grid_pixel_auc,0.9719250100031613
grid_img_ap,0.9970024818574561
grid_pixel_ap,0.21342546774719134
hazelnut_img_auc,0.9992857142857142
hazelnut_pixel_auc,0.9819421950688042
hazelnut_img_ap,0.9995947111238859
hazelnut_pixel_ap,0.4725359901120544
leather_img_auc,1.0
leather_pixel_auc,0.9883747453644858
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.32197374044032323
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9789728236446377
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.7716801073947079
pill_img_auc,0.978177850518276
pill_pixel_auc,0.9887568763003753
pill_img_ap,0.9960236367455773
pill_pixel_ap,0.7149306214825877
screw_img_auc,0.9333879893420783
screw_pixel_auc,0.9863535488471881
screw_img_ap,0.9766634955182867
screw_pixel_ap,0.20844445777069018
tile_img_auc,1.0
tile_pixel_auc,0.9554353665614282
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.5515027913906437
toothbrush_img_auc,0.9
toothbrush_pixel_auc,0.9825979953845025
toothbrush_img_ap,0.9547381845130586
toothbrush_pixel_ap,0.4095884459529983
transistor_img_auc,0.9933333333333334
transistor_pixel_auc,0.9727310571167008
transistor_img_ap,0.9900344477931899
transistor_pixel_ap,0.6466377752471699
wood_img_auc,0.9921052631578947
wood_pixel_auc,0.9287851246215292
wood_img_ap,0.9976559145217107
wood_pixel_ap,0.37965410492882046
zipper_img_auc,0.9792542016806722
zipper_pixel_auc,0.977539040315287
zipper_img_ap,0.9941249260218599
zipper_pixel_ap,0.3684979262380789
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9806106838727559
oracle_mean_pixel_auc,0.9759812858152244
