class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9772626638275668,False,1.0
cable,1,0.9799475262368815,0.9720902519124263,False,1.0
capsule,2,0.9573195053849222,0.9866414835427797,False,1.0
carpet,3,0.9915730337078652,0.9852951433667976,False,1.0
grid,4,0.9991645781119465,0.977385409882749,False,1.0
hazelnut,5,0.9985714285714286,0.9866675862920712,False,1.0
leather,6,1.0,0.9880821333761288,False,1.0
metal_nut,7,1.0,0.9812088355960552,True,1.0
Average,,0.9908220090016304,0.9818291884745718,,1.0
Task_0_Average,0,1.0,0.9772626638275668,,1.0
Task_1_Average,1,0.9799475262368815,0.9720902519124263,,1.0
Task_2_Average,2,0.9573195053849222,0.9866414835427797,,1.0
Task_3_Average,3,0.9915730337078652,0.9852951433667976,,1.0
Task_4_Average,4,0.9991645781119465,0.977385409882749,,1.0
Task_5_Average,5,0.9985714285714286,0.9866675862920712,,1.0
Task_6_Average,6,1.0,0.9880821333761288,,1.0
Task_7_Average,7,1.0,0.9812088355960552,,1.0
