class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9845267459399558,False,1.0
cable,1,0.9883808095952025,0.9726205328822016,False,1.0
capsule,2,0.9529317909852413,0.9864618148623693,False,1.0
carpet,3,0.9919743178170144,0.990268954244622,False,1.0
grid,4,0.9874686716791979,0.9764918166645864,False,1.0
hazelnut,5,0.9989285714285714,0.9864446068404537,False,1.0
leather,6,1.0,0.9927301457108778,False,1.0
metal_nut,7,1.0,0.9713651120436233,False,1.0
pill,8,0.9937261320240043,0.9895923588768505,False,1.0
screw,9,0.9073580651772905,0.9769290986593798,False,1.0
tile,10,1.0,0.9700228174142671,True,1.0
Average,,0.9837062144278655,0.981586727649017,,1.0
Task_0_Average,0,1.0,0.9845267459399558,,1.0
Task_1_Average,1,0.9883808095952025,0.9726205328822016,,1.0
Task_2_Average,2,0.9529317909852413,0.9864618148623693,,1.0
Task_3_Average,3,0.9919743178170144,0.990268954244622,,1.0
Task_4_Average,4,0.9874686716791979,0.9764918166645864,,1.0
Task_5_Average,5,0.9989285714285714,0.9864446068404537,,1.0
Task_6_Average,6,1.0,0.9927301457108778,,1.0
Task_7_Average,7,1.0,0.9713651120436233,,1.0
Task_8_Average,8,0.9937261320240043,0.9895923588768505,,1.0
Task_9_Average,9,0.9073580651772905,0.9769290986593798,,1.0
Task_10_Average,10,1.0,0.9700228174142671,,1.0
