task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,872.5111365685096,0.0002997964859110542,,,,,,
0,1.0,BASE,549.6389347956731,0.00029918650146218856,,,,,,
0,2.0,BASE,357.99949998121997,0.00029817171857837797,,,,,,
0,3.0,BASE,214.19710482083835,0.00029675491870897016,,,,,,
0,4.0,BASE,108.44295032207782,0.00029493998520392666,,,,,,
0,5.0,BASE,32.17199516296387,0.0002927318926698304,,,,,,
0,6.0,BASE,-23.77095105097844,0.0002901366933348345,,,,,,
0,7.0,BASE,-72.39393586378831,0.0002871615004599263,,,,,,
0,8.0,BASE,-113.94971524752103,0.0002838144688419727,,,,,,
0,9.0,BASE,-152.3552950345553,0.00028010477246198927,,,,,,
0,10.0,BASE,-186.34310913085938,0.00027604257933989555,,,,,,
0,11.0,BASE,-216.19188983623798,0.00027163902366467976,,,,,,
0,12.0,BASE,-242.97996520996094,0.00026690617527636023,,,,,,
0,13.0,BASE,-267.92454880934497,0.0002618570065833931,,,,,,
0,14.0,BASE,-293.6503460223858,0.0002565053570062024,,,,,,
0,15.0,BASE,-315.01536677433893,0.00025086589504429055,,,,,,
0,16.0,BASE,-335.2257314828726,0.00024495407807090095,,,,,,
0,17.0,BASE,-354.2549391526442,0.00023878610996543232,,,,,,
0,18.0,BASE,-370.80366868239184,0.00023237889669973157,,,,,,
0,19.0,BASE,-386.50655423677887,0.00022575000000000004,,,,,,
0,20.0,BASE,-404.9666489821214,0.00021891758921132272,,,,,,
0,21.0,BASE,-422.5078641451322,0.0002119003914967564,,,,,,
0,22.0,BASE,-440.2809753417969,0.00020471764050747717,,,,,,
0,23.0,BASE,-455.3566072904147,0.00019738902366467974,,,,,,
0,24.0,BASE,-470.26955942007214,0.00018993462819772436,,,,,,
0,25.0,BASE,-484.2427016038161,0.00018237488608643726,,,,,,
0,26.0,BASE,-497.69959904597357,0.0001747305180584743,,,,,,
0,27.0,BASE,-508.1802790715144,0.00016702247679524656,,,,,,
0,28.0,BASE,-521.411611703726,0.00015927188950207714,,,,,,
0,29.0,BASE,-531.0533024714543,0.00015150000000000002,,,,,,
0,30.0,BASE,-542.718026968149,0.00014372811049792285,,,,,,
0,31.0,BASE,-553.2159282977765,0.00013597752320475346,,,,,,
0,32.0,BASE,-563.9004939152644,0.0001282694819415257,,,,,,
0,33.0,BASE,-574.6990215594952,0.00012062511391356272,,,,,,
0,34.0,BASE,-583.8653188852163,0.00011306537180227568,,,,,,
0,35.0,BASE,-593.8051945612981,0.00010561097633532032,,,,,,
0,36.0,BASE,-603.1798846905048,9.828235949252291e-05,,,,,,
0,37.0,BASE,-610.8356135441707,9.10996085032437e-05,,,,,,
0,38.0,BASE,-618.340825007512,8.408241078867731e-05,,,,,,
0,39.0,BASE,-625.1681142953726,7.725000000000003e-05,,,,,,
0,40.0,BASE,-633.1289907602163,7.062110330026853e-05,,,,,,
0,41.0,BASE,-639.0700495793269,6.421389003456776e-05,,,,,,
0,42.0,BASE,-645.4662053034856,5.804592192909917e-05,,,,,,
0,43.0,BASE,-651.1309767503005,5.213410495570961e-05,,,,,,
0,44.0,BASE,-656.1072152944712,4.6494642993797704e-05,,,,,,
0,45.0,BASE,-661.3214533879207,4.114299341660699e-05,,,,,,
0,46.0,BASE,-664.9467116135818,3.6093824723639826e-05,,,,,,
0,47.0,BASE,-668.8829909104568,3.136097633532032e-05,,,,,,
0,48.0,BASE,-672.2416194035457,2.6957420660104545e-05,,,,,,
0,49.0,BASE,-674.977294921875,2.2895227538010853e-05,,,,,,
0,50.0,BASE,-677.649184006911,1.9185531158027386e-05,,,,,,
0,51.0,BASE,-679.8246694711538,1.5838499540073755e-05,,,,,,
0,52.0,BASE,-681.9784874549279,1.286330666516554e-05,,,,,,
0,53.0,BASE,-683.4698486328125,1.0268107330169699e-05,,,,,,
0,54.0,BASE,-684.693833571214,8.060014796073354e-06,,,,,,
0,55.0,BASE,-685.5936654897837,6.245081291029853e-06,,,,,,
0,56.0,BASE,-686.8971463716947,4.828281421622056e-06,,,,,,
0,57.0,BASE,-687.7513192983774,3.813498537811399e-06,,,,,,
0,58.0,BASE,-688.0099440354568,3.2035140889457853e-06,,,,,,
0,59.0,BASE,-688.1202392578125,2.9999999999999997e-06,,,,,,
1,0.0,FAST,5066.128609793527,0.00015,,,,,,
1,1.0,FAST,900.6571502685547,0.0003,,,,,,
1,2.0,FAST,406.1139003208705,0.0002997964859110542,,,,,,
1,3.0,FAST,309.55553545270647,0.00029918650146218856,,,,,,
1,4.0,FAST,258.639151436942,0.00029817171857837797,,,,,,
1,5.0,FAST,219.73924255371094,0.00029675491870897016,,,,,,
1,6.0,FAST,188.18958718436105,0.00029493998520392666,,,,,,
1,7.0,FAST,164.22190420968192,0.0002927318926698304,,,,,,
1,8.0,FAST,144.24486105782645,0.0002901366933348345,,,,,,
1,9.0,FAST,127.68555014474052,0.0002871615004599263,,,,,,
1,10.0,FAST,114.72186442783901,0.0002838144688419727,,,,,,
1,11.0,FAST,102.42177418300084,0.00028010477246198927,,,,,,
1,12.0,FAST,92.32823944091797,0.00027604257933989555,,,,,,
1,13.0,FAST,82.96979686192104,0.00027163902366467976,,,,,,
1,14.0,FAST,73.54955073765346,0.00026690617527636023,,,,,,
1,15.0,FAST,65.27246338980538,0.0002618570065833931,,,,,,
1,16.0,FAST,57.025339126586914,0.0002565053570062024,,,,,,
1,17.0,FAST,49.97636331830706,0.00025086589504429055,,,,,,
1,18.0,FAST,43.27754020690918,0.00024495407807090095,,,,,,
1,19.0,FAST,36.94478784288679,0.00023878610996543232,,,,,,
1,20.0,FAST,31.379032816205704,0.00023237889669973157,,,,,,
1,21.0,FAST,25.312049320765905,0.00022575000000000004,,,,,,
1,22.0,FAST,19.60445444924491,0.00021891758921132272,,,,,,
1,23.0,FAST,14.545535223824638,0.0002119003914967564,,,,,,
1,24.0,FAST,9.3195173399789,0.00020471764050747717,,,,,,
1,25.0,FAST,4.8087113584790915,0.00019738902366467974,,,,,,
1,26.0,FAST,0.7710024969918388,0.00018993462819772436,,,,,,
1,27.0,FAST,-3.6492824213845387,0.00018237488608643726,,,,,,
1,28.0,FAST,-7.010511841092791,0.0001747305180584743,,,,,,
1,29.0,FAST,-10.91782624380929,0.00016702247679524656,,,,,,
1,30.0,FAST,-14.432393074035645,0.00015927188950207714,,,,,,
1,31.0,FAST,-17.447068010057723,0.00015150000000000002,,,,,,
1,32.0,FAST,-20.523888111114502,0.00014372811049792285,,,,,,
1,33.0,FAST,-23.419026238577707,0.00013597752320475346,,,,,,
1,34.0,FAST,-25.851837839399064,0.0001282694819415257,,,,,,
1,35.0,FAST,-28.377210072108678,0.00012062511391356272,,,,,,
1,36.0,FAST,-31.120263372148788,0.00011306537180227568,,,,,,
1,37.0,FAST,-33.4483368737357,0.00010561097633532032,,,,,,
1,38.0,FAST,-35.681243624006,9.828235949252291e-05,,,,,,
1,39.0,FAST,-37.90623555864607,9.10996085032437e-05,,,,,,
1,40.0,FAST,-39.902461188180105,8.408241078867731e-05,,,,,,
1,41.0,FAST,-41.813585553850444,7.725000000000003e-05,,,,,,
1,42.0,FAST,-43.56184550694057,7.062110330026853e-05,,,,,,
1,43.0,FAST,-45.23161779131208,6.421389003456776e-05,,,,,,
1,44.0,FAST,-46.63304683140346,5.804592192909917e-05,,,,,,
1,45.0,FAST,-47.885305404663086,5.213410495570961e-05,,,,,,
1,46.0,FAST,-49.106379645211355,4.6494642993797704e-05,,,,,,
1,47.0,FAST,-50.30267987932478,4.114299341660699e-05,,,,,,
1,48.0,FAST,-51.22885513305664,3.6093824723639826e-05,,,,,,
1,49.0,FAST,-52.13548033578055,3.136097633532032e-05,,,,,,
1,50.0,FAST,-53.03619548252651,2.6957420660104545e-05,,,,,,
1,51.0,FAST,-53.71351678030832,2.2895227538010853e-05,,,,,,
1,52.0,FAST,-54.50110707964216,1.9185531158027386e-05,,,,,,
1,53.0,FAST,-54.88909149169922,1.5838499540073755e-05,,,,,,
1,54.0,FAST,-55.58126204354422,1.286330666516554e-05,,,,,,
1,55.0,FAST,-55.93155888148716,1.0268107330169699e-05,,,,,,
1,56.0,FAST,-56.34262275695801,8.060014796073354e-06,,,,,,
1,57.0,FAST,-56.6427377973284,6.245081291029853e-06,,,,,,
1,58.0,FAST,-56.89915575299944,4.828281421622056e-06,,,,,,
1,59.0,FAST,-57.104534421648296,3.813498537811399e-06,,,,,,
2,0.0,FAST,34073.589543269234,0.00015,,,,,,
2,1.0,FAST,2828.06196476863,0.0003,,,,,,
2,2.0,FAST,560.6264343261719,0.0002997964859110542,,,,,,
2,3.0,FAST,317.11041494516223,0.00029918650146218856,,,,,,
2,4.0,FAST,235.7794435941256,0.00029817171857837797,,,,,,
2,5.0,FAST,173.71641892653244,0.00029675491870897016,,,,,,
2,6.0,FAST,121.01933347261868,0.00029493998520392666,,,,,,
2,7.0,FAST,81.2853648845966,0.0002927318926698304,,,,,,
2,8.0,FAST,48.15697890061598,0.0002901366933348345,,,,,,
2,9.0,FAST,17.81457856985239,0.0002871615004599263,,,,,,
2,10.0,FAST,-6.72915216592642,0.0002838144688419727,,,,,,
2,11.0,FAST,-26.15705372737004,0.00028010477246198927,,,,,,
2,12.0,FAST,-42.74016835139348,0.00027604257933989555,,,,,,
2,13.0,FAST,-58.30531604473408,0.00027163902366467976,,,,,,
2,14.0,FAST,-73.40336550199069,0.00026690617527636023,,,,,,
2,15.0,FAST,-85.30359825721153,0.0002618570065833931,,,,,,
2,16.0,FAST,-96.61623265193059,0.0002565053570062024,,,,,,
2,17.0,FAST,-107.66034111609825,0.00025086589504429055,,,,,,
2,18.0,FAST,-116.56878779484676,0.00024495407807090095,,,,,,
2,19.0,FAST,-125.89244255652794,0.00023878610996543232,,,,,,
2,20.0,FAST,-137.41695345365085,0.00023237889669973157,,,,,,
2,21.0,FAST,-144.84432513897235,0.00022575000000000004,,,,,,
2,22.0,FAST,-151.38626333383414,0.00021891758921132272,,,,,,
2,23.0,FAST,-158.24149615948016,0.0002119003914967564,,,,,,
2,24.0,FAST,-165.31431931715744,0.00020471764050747717,,,,,,
2,25.0,FAST,-171.47141911433295,0.00019738902366467974,,,,,,
2,26.0,FAST,-177.36727318396936,0.00018993462819772436,,,,,,
2,27.0,FAST,-182.03919396033655,0.00018237488608643726,,,,,,
2,28.0,FAST,-188.77873934232272,0.0001747305180584743,,,,,,
2,29.0,FAST,-193.66967186560998,0.00016702247679524656,,,,,,
2,30.0,FAST,-198.0597158578726,0.00015927188950207714,,,,,,
2,31.0,FAST,-203.0702901986929,0.00015150000000000002,,,,,,
2,32.0,FAST,-207.2870870736929,0.00014372811049792285,,,,,,
2,33.0,FAST,-210.98892798790564,0.00013597752320475346,,,,,,
2,34.0,FAST,-214.68086829552283,0.0001282694819415257,,,,,,
2,35.0,FAST,-219.21885329026443,0.00012062511391356272,,,,,,
2,36.0,FAST,-222.73758404071515,0.00011306537180227568,,,,,,
2,37.0,FAST,-225.76542076697717,0.00010561097633532032,,,,,,
2,38.0,FAST,-229.07170926607571,9.828235949252291e-05,,,,,,
2,39.0,FAST,-232.2415325458233,9.10996085032437e-05,,,,,,
2,40.0,FAST,-235.29348754882812,8.408241078867731e-05,,,,,,
2,41.0,FAST,-238.65447880671576,7.725000000000003e-05,,,,,,
2,42.0,FAST,-240.20426706167368,7.062110330026853e-05,,,,,,
2,43.0,FAST,-242.1916949932392,6.421389003456776e-05,,,,,,
2,44.0,FAST,-244.26905118502103,5.804592192909917e-05,,,,,,
2,45.0,FAST,-246.67294076772836,5.213410495570961e-05,,,,,,
2,46.0,FAST,-248.15322758601263,4.6494642993797704e-05,,,,,,
2,47.0,FAST,-249.45409217247595,4.114299341660699e-05,,,,,,
2,48.0,FAST,-251.6217980018029,3.6093824723639826e-05,,,,,,
2,49.0,FAST,-253.293697650616,3.136097633532032e-05,,,,,,
2,50.0,FAST,-254.90380155123196,2.6957420660104545e-05,,,,,,
2,51.0,FAST,-254.9076408973107,2.2895227538010853e-05,,,,,,
2,52.0,FAST,-255.6713151198167,1.9185531158027386e-05,,,,,,
2,53.0,FAST,-256.41659663273737,1.5838499540073755e-05,,,,,,
2,54.0,FAST,-257.42618384728064,1.286330666516554e-05,,,,,,
2,55.0,FAST,-257.8695397010216,1.0268107330169699e-05,,,,,,
2,56.0,FAST,-259.1298135610727,8.060014796073354e-06,,,,,,
2,57.0,FAST,-259.44173490084137,6.245081291029853e-06,,,,,,
2,58.0,FAST,-259.33698096642127,4.828281421622056e-06,,,,,,
2,59.0,FAST,-259.0907510610727,3.813498537811399e-06,,,,,,
3,0.0,FAST,4674.901955997243,0.00015,,,,,,
3,1.0,FAST,364.1859328326057,0.0003,,,,,,
3,2.0,FAST,112.36117778104894,0.0002997964859110542,,,,,,
3,3.0,FAST,18.456398178549374,0.00029918650146218856,,,,,,
3,4.0,FAST,-36.73064063577091,0.00029817171857837797,,,,,,
3,5.0,FAST,-75.3205416062299,0.00029675491870897016,,,,,,
3,6.0,FAST,-103.41575084013097,0.00029493998520392666,,,,,,
3,7.0,FAST,-127.35038757324219,0.0002927318926698304,,,,,,
3,8.0,FAST,-149.26436211081113,0.0002901366933348345,,,,,,
3,9.0,FAST,-167.6130667293773,0.0002871615004599263,,,,,,
3,10.0,FAST,-186.12337269502527,0.0002838144688419727,,,,,,
3,11.0,FAST,-199.321922751034,0.00028010477246198927,,,,,,
3,12.0,FAST,-213.7991216322955,0.00027604257933989555,,,,,,
3,13.0,FAST,-221.9351178337546,0.00027163902366467976,,,,,,
3,14.0,FAST,-232.26443301930146,0.00026690617527636023,,,,,,
3,15.0,FAST,-241.42743189194624,0.0002618570065833931,,,,,,
3,16.0,FAST,-249.78363665412454,0.0002565053570062024,,,,,,
3,17.0,FAST,-257.6967504164752,0.00025086589504429055,,,,,,
3,18.0,FAST,-264.4081295237822,0.00024495407807090095,,,,,,
3,19.0,FAST,-272.9375574448529,0.00023878610996543232,,,,,,
3,20.0,FAST,-279.3274823357077,0.00023237889669973157,,,,,,
3,21.0,FAST,-286.1681913488051,0.00022575000000000004,,,,,,
3,22.0,FAST,-292.8249314252068,0.00021891758921132272,,,,,,
3,23.0,FAST,-299.75497975068936,0.0002119003914967564,,,,,,
3,24.0,FAST,-305.2026044060202,0.00020471764050747717,,,,,,
3,25.0,FAST,-312.6810033461627,0.00019738902366467974,,,,,,
3,26.0,FAST,-317.0795323988971,0.00018993462819772436,,,,,,
3,27.0,FAST,-321.83204022575825,0.00018237488608643726,,,,,,
3,28.0,FAST,-326.39085118910845,0.0001747305180584743,,,,,,
3,29.0,FAST,-330.76319615981157,0.00016702247679524656,,,,,,
3,30.0,FAST,-335.07447186638325,0.00015927188950207714,,,,,,
3,31.0,FAST,-338.79238353056064,0.00015150000000000002,,,,,,
3,32.0,FAST,-342.0495174632353,0.00014372811049792285,,,,,,
