class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9837348553738707,False,1.0
cable,1,0.9835082458770614,0.9716190681832927,False,1.0
capsule,2,0.9525329078579976,0.9867640023343993,False,1.0
carpet,3,0.9963884430176565,0.9904134781572578,False,1.0
grid,4,0.9866332497911445,0.9755915718577779,False,1.0
hazelnut,5,0.9996428571428572,0.9872600854961036,True,1.0
Average,,0.9864509506144526,0.9825638435671169,,1.0
Task_0_Average,0,1.0,0.9837348553738707,,1.0
Task_1_Average,1,0.9835082458770614,0.9716190681832927,,1.0
Task_2_Average,2,0.9525329078579976,0.9867640023343993,,1.0
Task_3_Average,3,0.9963884430176565,0.9904134781572578,,1.0
Task_4_Average,4,0.9866332497911445,0.9755915718577779,,1.0
Task_5_Average,5,0.9996428571428572,0.9872600854961036,,1.0
