Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9841,1.0000,0.7587
1,cable,100.00,0.9638,0.9563,0.9798,0.4880
2,capsule,100.00,0.9585,0.9867,0.9904,0.4195
3,carpet,100.00,0.9819,0.9899,0.9950,0.6021
4,grid,100.00,0.8605,0.9671,0.9491,0.2606
5,hazelnut,100.00,0.9964,0.9863,0.9980,0.5966
6,leather,100.00,1.0000,0.9931,1.0000,0.4110
7,metal_nut,100.00,1.0000,0.9592,1.0000,0.7477
8,pill,100.00,0.9891,0.9871,0.9982,0.7549
9,screw,100.00,0.8604,0.9739,0.9397,0.2347
10,tile,100.00,0.9996,0.9639,0.9999,0.6120
11,toothbrush,100.00,0.9056,0.9802,0.9594,0.4226
12,transistor,100.00,0.9612,0.9039,0.9559,0.5571
13,wood,100.00,0.9544,0.9416,0.9832,0.4783
14,zipper,100.00,0.9871,0.9729,0.9965,0.3635
Mean,Overall,100.00,0.9612*,0.9697*,0.9830*,0.5138*
