Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9837,1.0000,0.7394
1,cable,100.00,0.9828,0.9724,0.9912,0.6100
2,capsule,100.00,0.9561,0.9868,0.9899,0.3925
3,carpet,100.00,0.9960,0.9902,0.9988,0.6352
4,grid,100.00,0.9866,0.9758,0.9953,0.2605
5,hazelnut,100.00,0.9989,0.9873,0.9994,0.5924
6,leather,100.00,1.0000,0.9944,1.0000,0.4930
7,metal_nut,100.00,1.0000,0.9721,1.0000,0.7860
8,pill,100.00,0.9880,0.9896,0.9979,0.8015
9,screw,100.00,0.9252,0.9788,0.9716,0.2215
10,tile,100.00,1.0000,0.9701,1.0000,0.7320
11,toothbrush,100.00,0.9222,0.9839,0.9682,0.5636
12,transistor,100.00,0.9925,0.9684,0.9879,0.6526
13,wood,100.00,0.9728,0.9450,0.9905,0.5103
14,zipper,100.00,0.9892,0.9756,0.9971,0.3838
Mean,Overall,100.00,0.9807*,0.9783*,0.9925*,0.5583*
