task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,862.1106379582332,0.0002997964859110542,,,,,,
0,1.0,BASE,526.676039475661,0.00029918650146218856,,,,,,
0,2.0,BASE,326.0946044921875,0.00029817171857837797,,,,,,
0,3.0,BASE,179.2099867600661,0.00029675491870897016,,,,,,
0,4.0,BASE,68.45249938964844,0.00029493998520392666,,,,,,
0,5.0,BASE,-11.613325705895058,0.0002927318926698304,,,,,,
0,6.0,BASE,-62.81939110389123,0.0002901366933348345,,,,,,
0,7.0,BASE,-106.42740689791165,0.0002871615004599263,,,,,,
0,8.0,BASE,-143.11666928804837,0.0002838144688419727,,,,,,
0,9.0,BASE,-177.8879148043119,0.00028010477246198927,,,,,,
0,10.0,BASE,-213.1233684833233,0.00027604257933989555,,,,,,
0,11.0,BASE,-247.0570514385517,0.00027163902366467976,,,,,,
0,12.0,BASE,-277.2290931114784,0.00026690617527636023,,,,,,
0,13.0,BASE,-303.90333205003003,0.0002618570065833931,,,,,,
0,14.0,BASE,-328.1072105994591,0.0002565053570062024,,,,,,
0,15.0,BASE,-350.44835486778845,0.00025086589504429055,,,,,,
0,16.0,BASE,-372.0600985013522,0.00024495407807090095,,,,,,
0,17.0,BASE,-391.61881197415863,0.00023878610996543232,,,,,,
0,18.0,BASE,-408.9061537522536,0.00023237889669973157,,,,,,
0,19.0,BASE,-427.02150080754205,0.00022575000000000004,,,,,,
0,20.0,BASE,-443.9426762507512,0.00021891758921132272,,,,,,
0,21.0,BASE,-461.0746671236478,0.0002119003914967564,,,,,,
0,22.0,BASE,-477.7799048790565,0.00020471764050747717,,,,,,
0,23.0,BASE,-492.8168546236478,0.00019738902366467974,,,,,,
0,24.0,BASE,-507.42010263296277,0.00018993462819772436,,,,,,
0,25.0,BASE,-519.7602351262019,0.00018237488608643726,,,,,,
0,26.0,BASE,-532.373042179988,0.0001747305180584743,,,,,,
0,27.0,BASE,-543.8020301231971,0.00016702247679524656,,,,,,
0,28.0,BASE,-556.2178532527043,0.00015927188950207714,,,,,,
0,29.0,BASE,-566.9664071890024,0.00015150000000000002,,,,,,
0,30.0,BASE,-579.6815373347356,0.00014372811049792285,,,,,,
0,31.0,BASE,-588.7220083383413,0.00013597752320475346,,,,,,
0,32.0,BASE,-599.0545982947716,0.0001282694819415257,,,,,,
0,33.0,BASE,-608.9035128079928,0.00012062511391356272,,,,,,
0,34.0,BASE,-617.0278038611779,0.00011306537180227568,,,,,,
0,35.0,BASE,-625.9282038762019,0.00010561097633532032,,,,,,
0,36.0,BASE,-634.1299954927885,9.828235949252291e-05,,,,,,
0,37.0,BASE,-640.850355881911,9.10996085032437e-05,,,,,,
0,38.0,BASE,-648.525883601262,8.408241078867731e-05,,,,,,
0,39.0,BASE,-655.2607093224159,7.725000000000003e-05,,,,,,
0,40.0,BASE,-662.9878868689904,7.062110330026853e-05,,,,,,
0,41.0,BASE,-669.1773822490985,6.421389003456776e-05,,,,,,
0,42.0,BASE,-675.5687631460337,5.804592192909917e-05,,,,,,
0,43.0,BASE,-680.7621694711538,5.213410495570961e-05,,,,,,
0,44.0,BASE,-685.6427189753606,4.6494642993797704e-05,,,,,,
0,45.0,BASE,-691.1550903320312,4.114299341660699e-05,,,,,,
0,46.0,BASE,-694.7174119215745,3.6093824723639826e-05,,,,,,
0,47.0,BASE,-698.5063194861779,3.136097633532032e-05,,,,,,
0,48.0,BASE,-702.0239962064303,2.6957420660104545e-05,,,,,,
0,49.0,BASE,-704.925297663762,2.2895227538010853e-05,,,,,,
0,50.0,BASE,-707.578373835637,1.9185531158027386e-05,,,,,,
0,51.0,BASE,-709.4889761117788,1.5838499540073755e-05,,,,,,
0,52.0,BASE,-712.0977924053485,1.286330666516554e-05,,,,,,
0,53.0,BASE,-713.2003361628606,1.0268107330169699e-05,,,,,,
0,54.0,BASE,-714.4279080904447,8.060014796073354e-06,,,,,,
0,55.0,BASE,-715.1194176307091,6.245081291029853e-06,,,,,,
0,56.0,BASE,-716.8875215970553,4.828281421622056e-06,,,,,,
0,57.0,BASE,-717.4718252328726,3.813498537811399e-06,,,,,,
0,58.0,BASE,-717.7518592247596,3.2035140889457853e-06,,,,,,
0,59.0,BASE,-717.598876953125,2.9999999999999997e-06,,,,,,
1,0.0,FAST,5006.892822265625,0.00015,,,,,,
1,1.0,FAST,878.8967372349331,0.0003,,,,,,
1,2.0,FAST,386.0661294119699,0.0002997964859110542,,,,,,
1,3.0,FAST,285.34385681152344,0.00029918650146218856,,,,,,
1,4.0,FAST,228.34520830426897,0.00029817171857837797,,,,,,
1,5.0,FAST,189.055903843471,0.00029675491870897016,,,,,,
1,6.0,FAST,160.79620034354073,0.00029493998520392666,,,,,,
1,7.0,FAST,137.2805737086705,0.0002927318926698304,,,,,,
1,8.0,FAST,116.32297624860492,0.0002901366933348345,,,,,,
1,9.0,FAST,99.67185974121094,0.0002871615004599263,,,,,,
