metric,value
experiment_name,TailTopK-0.10
strategy,MoLE-Flow
final_average_img_auc,0.9782820790677615
final_average_pixel_auc,0.9782640242333842
final_average_img_ap,0.9914292020489415
final_average_pixel_ap,0.5524231617407906
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9836973217740571
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.7252034560917514
cable_img_auc,0.9861319340329835
cable_pixel_auc,0.973447231516541
cable_img_ap,0.9927014330961627
cable_pixel_ap,0.6278644846285725
capsule_img_auc,0.9485440765855604
capsule_pixel_auc,0.986968575715164
capsule_img_ap,0.987399889660857
capsule_pixel_ap,0.3885046484295944
carpet_img_auc,0.9959871589085072
carpet_pixel_auc,0.9895507826306593
carpet_img_ap,0.9988018409482429
carpet_pixel_ap,0.6069205386880809
grid_img_auc,0.985797827903091
grid_pixel_auc,0.9757080921629537
grid_img_ap,0.9951432948738554
grid_pixel_ap,0.25651362745183576
hazelnut_img_auc,0.9992857142857142
hazelnut_pixel_auc,0.9871554906525247
hazelnut_img_ap,0.9996031746031744
hazelnut_pixel_ap,0.5842017065522507
leather_img_auc,1.0
leather_pixel_auc,0.9938453138455865
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.4614624857845598
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9725109891361439
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.7903150289187933
pill_img_auc,0.9871794871794871
pill_pixel_auc,0.9896867951939263
pill_img_ap,0.997824264456106
pill_pixel_ap,0.8042908554359158
screw_img_auc,0.9139167862266858
screw_pixel_auc,0.979670675229472
screw_img_ap,0.9675645549349324
screw_pixel_ap,0.21347462358457084
tile_img_auc,1.0
tile_pixel_auc,0.970085026895093
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.7387396265146099
toothbrush_img_auc,0.9027777777777779
toothbrush_pixel_auc,0.984062020047402
toothbrush_img_ap,0.9569668867097915
toothbrush_pixel_ap,0.5610451188333981
transistor_img_auc,0.9929166666666667
transistor_pixel_auc,0.9682605088791237
transistor_img_ap,0.9879288801133203
transistor_pixel_ap,0.6513898843717724
wood_img_auc,0.974561403508772
wood_pixel_auc,0.9440194272583587
wood_img_ap,0.9909756661907535
wood_pixel_ap,0.4937928765451306
zipper_img_auc,0.9871323529411765
zipper_pixel_auc,0.9752921125637557
zipper_img_ap,0.9965281451469246
zipper_pixel_ap,0.382628464281023
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9782820790677615
oracle_mean_pixel_auc,0.9782640242333842
