task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,843.7156325120193,0.0002997964859110542,,,,,,
0,1.0,BASE,497.3112581693209,0.00029918650146218856,,,,,,
0,2.0,BASE,278.4832000732422,0.00029817171857837797,,,,,,
0,3.0,BASE,113.73971205491286,0.00029675491870897016,,,,,,
0,4.0,BASE,-5.504110629741962,0.00029493998520392666,,,,,,
0,5.0,BASE,-87.60211944580078,0.0002927318926698304,,,,,,
0,6.0,BASE,-141.3331011258639,0.0002901366933348345,,,,,,
0,7.0,BASE,-190.23425879845252,0.0002871615004599263,,,,,,
0,8.0,BASE,-231.48093825120193,0.0002838144688419727,,,,,,
0,9.0,BASE,-272.2778895451472,0.00028010477246198927,,,,,,
0,10.0,BASE,-306.96157602163464,0.00027604257933989555,,,,,,
0,11.0,BASE,-340.6344017615685,0.00027163902366467976,,,,,,
0,12.0,BASE,-369.9449509840745,0.00026690617527636023,,,,,,
0,13.0,BASE,-391.57198627178485,0.0002618570065833931,,,,,,
0,14.0,BASE,-417.8931391789363,0.0002565053570062024,,,,,,
0,15.0,BASE,-437.6860844538762,0.00025086589504429055,,,,,,
0,16.0,BASE,-461.32596294696515,0.00024495407807090095,,,,,,
0,17.0,BASE,-482.8616990309495,0.00023878610996543232,,,,,,
0,18.0,BASE,-503.6006258451022,0.00023237889669973157,,,,,,
0,19.0,BASE,-522.2496103140024,0.00022575000000000004,,,,,,
0,20.0,BASE,-541.4173490084135,0.00021891758921132272,,,,,,
0,21.0,BASE,-559.2311495267428,0.0002119003914967564,,,,,,
0,22.0,BASE,-574.9241333007812,0.00020471764050747717,,,,,,
0,23.0,BASE,-588.7923630934495,0.00019738902366467974,,,,,,
0,24.0,BASE,-603.6614614633413,0.00018993462819772436,,,,,,
0,25.0,BASE,-616.8686288686899,0.00018237488608643726,,,,,,
0,26.0,BASE,-629.2660052959735,0.0001747305180584743,,,,,,
0,27.0,BASE,-641.5497765174279,0.00016702247679524656,,,,,,
0,28.0,BASE,-653.4222693810096,0.00015927188950207714,,,,,,
0,29.0,BASE,-664.7584416316106,0.00015150000000000002,,,,,,
0,30.0,BASE,-674.1541325495793,0.00014372811049792285,,,,,,
0,31.0,BASE,-684.1650155874399,0.00013597752320475346,,,,,,
0,32.0,BASE,-693.8900897686298,0.0001282694819415257,,,,,,
0,33.0,BASE,-702.8297917292668,0.00012062511391356272,,,,,,
0,34.0,BASE,-712.337162898137,0.00011306537180227568,,,,,,
0,35.0,BASE,-720.0609600360577,0.00010561097633532032,,,,,,
0,36.0,BASE,-728.9954787034255,9.828235949252291e-05,,,,,,
0,37.0,BASE,-736.4409743088943,9.10996085032437e-05,,,,,,
0,38.0,BASE,-742.9251004732572,8.408241078867731e-05,,,,,,
0,39.0,BASE,-749.2822265625,7.725000000000003e-05,,,,,,
0,40.0,BASE,-756.5518704927885,7.062110330026853e-05,,,,,,
0,41.0,BASE,-762.2619253305288,6.421389003456776e-05,,,,,,
0,42.0,BASE,-768.6100839468149,5.804592192909917e-05,,,,,,
0,43.0,BASE,-773.8068659855769,5.213410495570961e-05,,,,,,
0,44.0,BASE,-778.0102961613582,4.6494642993797704e-05,,,,,,
0,45.0,BASE,-783.0638897235577,4.114299341660699e-05,,,,,,
0,46.0,BASE,-786.9520451472356,3.6093824723639826e-05,,,,,,
0,47.0,BASE,-790.3757840670072,3.136097633532032e-05,,,,,,
0,48.0,BASE,-794.1398362379807,2.6957420660104545e-05,,,,,,
0,49.0,BASE,-797.2602022611178,2.2895227538010853e-05,,,,,,
0,50.0,BASE,-799.6686730018029,1.9185531158027386e-05,,,,,,
0,51.0,BASE,-802.1486534705529,1.5838499540073755e-05,,,,,,
0,52.0,BASE,-804.619370680589,1.286330666516554e-05,,,,,,
0,53.0,BASE,-806.1449350210337,1.0268107330169699e-05,,,,,,
0,54.0,BASE,-807.581533578726,8.060014796073354e-06,,,,,,
0,55.0,BASE,-808.235346867488,6.245081291029853e-06,,,,,,
0,56.0,BASE,-809.775151179387,4.828281421622056e-06,,,,,,
0,57.0,BASE,-810.5871300330529,3.813498537811399e-06,,,,,,
0,58.0,BASE,-810.9319411057693,3.2035140889457853e-06,,,,,,
0,59.0,BASE,-811.0375460111178,2.9999999999999997e-06,,,,,,
1,0.0,FAST,7046.940673828125,0.00015,,,,,,
1,1.0,FAST,1085.024209158761,0.0003,,,,,,
1,2.0,FAST,417.2059108189174,0.0002997964859110542,,,,,,
1,3.0,FAST,307.1145477294922,0.00029918650146218856,,,,,,
1,4.0,FAST,241.8375026157924,0.00029817171857837797,,,,,,
1,5.0,FAST,196.4307349068778,0.00029675491870897016,,,,,,
1,6.0,FAST,164.36404854910714,0.00029493998520392666,,,,,,
1,7.0,FAST,140.6663818359375,0.0002927318926698304,,,,,,
1,8.0,FAST,120.65449523925781,0.0002901366933348345,,,,,,
1,9.0,FAST,103.86135155814034,0.0002871615004599263,,,,,,
1,10.0,FAST,88.25998742239815,0.0002838144688419727,,,,,,
1,11.0,FAST,74.34389931815011,0.00028010477246198927,,,,,,
1,12.0,FAST,61.802694865635466,0.00027604257933989555,,,,,,
1,13.0,FAST,51.30628367832729,0.00027163902366467976,,,,,,
1,14.0,FAST,42.40174184526716,0.00026690617527636023,,,,,,
1,15.0,FAST,33.796038491385325,0.0002618570065833931,,,,,,
1,16.0,FAST,26.462171145847865,0.0002565053570062024,,,,,,
1,17.0,FAST,18.733503341674805,0.00025086589504429055,,,,,,
1,18.0,FAST,11.396278381347656,0.00024495407807090095,,,,,,
1,19.0,FAST,4.538399151393345,0.00023878610996543232,,,,,,
1,20.0,FAST,-1.9375,0.00023237889669973157,,,,,,
1,21.0,FAST,-7.743045125688825,0.00022575000000000004,,,,,,
1,22.0,FAST,-13.499343190874372,0.00021891758921132272,,,,,,
1,23.0,FAST,-19.216210910252162,0.0002119003914967564,,,,,,
