class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9823884610986771,False,1.0
cable,1,0.9801349325337331,0.9723436127384473,False,1.0
capsule,2,0.9501396090945353,0.9871033042806783,False,1.0
carpet,3,0.9959871589085072,0.9894983267684154,False,1.0
grid,4,0.9908103592314119,0.9729173903445871,False,1.0
hazelnut,5,0.9989285714285714,0.9872859801645616,False,1.0
leather,6,1.0,0.9929552433606346,True,1.0
Average,,0.9880000901709656,0.9834989026794287,,1.0
Task_0_Average,0,1.0,0.9823884610986771,,1.0
Task_1_Average,1,0.9801349325337331,0.9723436127384473,,1.0
Task_2_Average,2,0.9501396090945353,0.9871033042806783,,1.0
Task_3_Average,3,0.9959871589085072,0.9894983267684154,,1.0
Task_4_Average,4,0.9908103592314119,0.9729173903445871,,1.0
Task_5_Average,5,0.9989285714285714,0.9872859801645616,,1.0
Task_6_Average,6,1.0,0.9929552433606346,,1.0
