class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9837817938672594,False,1.0
cable,1,0.9814467766116942,0.9717921753938166,False,1.0
capsule,2,0.9533306741124851,0.9868038057298466,False,1.0
carpet,3,0.9967897271268058,0.9903934487671646,False,1.0
grid,4,0.987468671679198,0.975792075291912,False,1.0
hazelnut,5,0.9989285714285714,0.9872703603186982,False,1.0
leather,6,1.0,0.994374539931457,False,1.0
metal_nut,7,1.0,0.9722677845799191,False,1.0
pill,8,0.9888161483906165,0.9897081394336219,True,1.0
Average,,0.9896422854832634,0.9835760137015218,,1.0
Task_0_Average,0,1.0,0.9837817938672594,,1.0
Task_1_Average,1,0.9814467766116942,0.9717921753938166,,1.0
Task_2_Average,2,0.9533306741124851,0.9868038057298466,,1.0
Task_3_Average,3,0.9967897271268058,0.9903934487671646,,1.0
Task_4_Average,4,0.987468671679198,0.975792075291912,,1.0
Task_5_Average,5,0.9989285714285714,0.9872703603186982,,1.0
Task_6_Average,6,1.0,0.994374539931457,,1.0
Task_7_Average,7,1.0,0.9722677845799191,,1.0
Task_8_Average,8,0.9888161483906165,0.9897081394336219,,1.0
