Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9845,1.0000,0.7603
1,cable,100.00,0.9788,0.9703,0.9894,0.5722
2,capsule,100.00,0.9450,0.9862,0.9872,0.3976
3,carpet,100.00,0.9948,0.9905,0.9985,0.6496
4,grid,100.00,0.9883,0.9751,0.9959,0.2617
5,hazelnut,100.00,0.9996,0.9867,0.9998,0.5917
6,leather,100.00,1.0000,0.9950,1.0000,0.5271
7,metal_nut,100.00,1.0000,0.9729,1.0000,0.7837
8,pill,100.00,0.9866,0.9895,0.9977,0.8021
9,screw,100.00,0.9289,0.9711,0.9731,0.2268
10,tile,100.00,1.0000,0.9707,1.0000,0.7214
11,toothbrush,100.00,0.8972,0.9800,0.9558,0.5514
12,transistor,100.00,0.9892,0.9706,0.9800,0.6587
13,wood,100.00,0.9763,0.9471,0.9919,0.5332
14,zipper,100.00,0.9908,0.9747,0.9975,0.3781
Mean,Overall,100.00,0.9784*,0.9777*,0.9911*,0.5610*
