class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.9750318873092789,False,1.0
cable,1,0.8978635682158921,0.9591580529032165,False,1.0
capsule,2,0.7391304347826088,0.9830868166933939,False,1.0
carpet,3,0.9875601926163724,0.9840220603783801,False,1.0
grid,4,0.6232247284878865,0.3219953002320637,True,1.0
Average,,0.8495557848205519,0.8446588235032666,,1.0
Task_0_Average,0,1.0,0.9750318873092789,,1.0
Task_1_Average,1,0.8978635682158921,0.9591580529032165,,1.0
Task_2_Average,2,0.7391304347826088,0.9830868166933939,,1.0
Task_3_Average,3,0.9875601926163724,0.9840220603783801,,1.0
Task_4_Average,4,0.6232247284878865,0.3219953002320637,,1.0
