metric,value
experiment_name,IE15_Frozen_Baseline
strategy,MoLE-Flow
final_average_img_auc,0.8411829884651406
final_average_pixel_auc,0.909372152508895
final_average_img_ap,0.9271104718394201
final_average_pixel_ap,0.4163561767937905
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9750318873092789
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.5634842020105042
cable_img_auc,0.8978635682158921
cable_pixel_auc,0.9591580529032165
cable_img_ap,0.9475583544651058
cable_pixel_ap,0.5180352171761151
capsule_img_auc,0.7391304347826088
capsule_pixel_auc,0.9830868166933939
capsule_img_ap,0.9296668918363538
capsule_pixel_ap,0.3968948363744077
carpet_img_auc,0.9875601926163724
carpet_pixel_auc,0.9840220603783801
carpet_img_ap,0.996470655673994
carpet_pixel_ap,0.444197816286791
grid_img_auc,0.6232247284878865
grid_pixel_auc,0.3219953002320637
grid_img_ap,0.7919437196192662
grid_pixel_ap,0.004589438283470661
hazelnut_img_auc,0.9982142857142857
hazelnut_pixel_auc,0.9819627920946076
hazelnut_img_ap,0.9990017948811445
hazelnut_pixel_ap,0.4669706192291329
leather_img_auc,1.0
leather_pixel_auc,0.9857714061218
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.26544913323089914
metal_nut_img_auc,0.9784946236559139
metal_nut_pixel_auc,0.9881033436575491
metal_nut_img_ap,0.9952365267444425
metal_nut_pixel_ap,0.9035777594466519
pill_img_auc,0.8944353518821604
pill_pixel_auc,0.9854213723226695
pill_img_ap,0.9782569779981183
pill_pixel_ap,0.7893177986745997
screw_img_auc,0.5312564050010249
screw_pixel_auc,0.9423005162697896
screw_img_ap,0.7670303348458107
screw_pixel_ap,0.02488709012955104
tile_img_auc,1.0
tile_pixel_auc,0.9551111221964089
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.5516779342294234
toothbrush_img_auc,0.8583333333333333
toothbrush_pixel_auc,0.9703684933774488
toothbrush_img_ap,0.9482632501856777
toothbrush_pixel_ap,0.34907174027356114
transistor_img_auc,0.93375
transistor_pixel_auc,0.9262062163135679
transistor_img_ap,0.9145663251789735
transistor_pixel_ap,0.5391696726824454
wood_img_auc,0.987719298245614
wood_pixel_auc,0.9254699784466389
wood_img_ap,0.99627897075814
wood_pixel_ap,0.3820836177845575
zipper_img_auc,0.18776260504201683
zipper_pixel_auc,0.7565729293166136
zipper_img_ap,0.6423832754042729
zipper_pixel_ap,0.04593577609474643
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.8411829884651406
oracle_mean_pixel_auc,0.909372152508895
