Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9718,1.0000,0.5372
1,cable,100.00,0.9509,0.9711,0.9720,0.5694
2,capsule,100.00,0.8995,0.9862,0.9768,0.3920
3,carpet,100.00,0.9924,0.9833,0.9978,0.4327
4,grid,100.00,0.9967,0.9731,0.9988,0.2028
5,hazelnut,100.00,0.9979,0.9813,0.9988,0.4528
6,leather,100.00,1.0000,0.9855,1.0000,0.2699
7,metal_nut,100.00,0.9976,0.9865,0.9995,0.8848
8,pill,100.00,0.9531,0.9881,0.9914,0.7892
9,screw,100.00,0.7368,0.9726,0.8843,0.1672
10,tile,100.00,1.0000,0.9579,1.0000,0.6387
11,toothbrush,100.00,0.8611,0.9778,0.9395,0.2974
12,transistor,100.00,0.9971,0.9608,0.9957,0.6399
13,wood,100.00,0.9904,0.9223,0.9971,0.3732
14,zipper,100.00,0.9730,0.9729,0.9918,0.3042
Mean,Overall,100.00,0.9564*,0.9727*,0.9829*,0.4634*
