class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,1.0,0.979391125523298,False,1.0
cable,1,0.949400299850075,0.964535051294078,False,1.0
capsule,2,0.9545273234942162,0.9868367168505916,False,1.0
carpet,3,0.9907704654895666,0.988173678571043,False,1.0
grid,4,0.9757727652464495,0.9626884303610249,False,1.0
hazelnut,5,0.9996428571428572,0.9835672284287167,False,1.0
leather,6,1.0,0.9908707914226608,False,1.0
metal_nut,7,0.9921798631476051,0.9793156593525403,False,1.0
pill,8,0.958810692853246,0.9872790260005576,True,1.0
Average,,0.9801226963582239,0.980295300867168,,1.0
Task_0_Average,0,1.0,0.979391125523298,,1.0
Task_1_Average,1,0.949400299850075,0.964535051294078,,1.0
Task_2_Average,2,0.9545273234942162,0.9868367168505916,,1.0
Task_3_Average,3,0.9907704654895666,0.988173678571043,,1.0
Task_4_Average,4,0.9757727652464495,0.9626884303610249,,1.0
Task_5_Average,5,0.9996428571428572,0.9835672284287167,,1.0
Task_6_Average,6,1.0,0.9908707914226608,,1.0
Task_7_Average,7,0.9921798631476051,0.9793156593525403,,1.0
Task_8_Average,8,0.958810692853246,0.9872790260005576,,1.0
