Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,1.0000,0.9755,1.0000,0.5492
1,cable,100.00,0.8705,0.9345,0.9339,0.5685
2,capsule,100.00,0.4511,0.2091,0.8269,0.0054
3,carpet,100.00,0.9956,0.9847,0.9987,0.4199
4,grid,100.00,0.7009,0.8960,0.8878,0.1655
5,hazelnut,100.00,0.9829,0.9771,0.9920,0.4844
6,leather,100.00,0.9997,0.9862,0.9999,0.2344
7,metal_nut,100.00,0.9203,0.8671,0.9824,0.5385
8,pill,100.00,0.8107,0.9710,0.9573,0.7597
9,screw,100.00,0.4874,0.9391,0.7491,0.0206
10,tile,100.00,1.0000,0.9706,1.0000,0.7506
11,toothbrush,100.00,0.5722,0.8509,0.7849,0.1845
12,transistor,100.00,0.7467,0.7994,0.7413,0.4062
13,wood,100.00,0.9877,0.9311,0.9961,0.3582
14,zipper,100.00,0.9136,0.9567,0.9723,0.2644
Mean,Overall,100.00,0.8293*,0.8833*,0.9215*,0.3807*
