class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.5119047619047619,0.20765342679425774,False,1.0
cable,1,0.5584707646176912,0.27457448863814815,False,1.0
capsule,2,0.48663741523733545,0.23763598331773916,False,1.0
carpet,3,0.9967897271268058,0.9587782626494837,False,1.0
grid,4,0.6482873851294904,0.7195838409399342,False,1.0
hazelnut,5,0.7796428571428572,0.7283935354485928,False,1.0
leather,6,1.0,0.962194749752004,False,1.0
metal_nut,7,0.6197458455522972,0.6093424454665269,True,1.0
Average,,0.7001848445889048,0.5872695916258358,,1.0
Task_0_Average,0,0.5119047619047619,0.20765342679425774,,1.0
Task_1_Average,1,0.5584707646176912,0.27457448863814815,,1.0
Task_2_Average,2,0.48663741523733545,0.23763598331773916,,1.0
Task_3_Average,3,0.9967897271268058,0.9587782626494837,,1.0
Task_4_Average,4,0.6482873851294904,0.7195838409399342,,1.0
Task_5_Average,5,0.7796428571428572,0.7283935354485928,,1.0
Task_6_Average,6,1.0,0.962194749752004,,1.0
Task_7_Average,7,0.6197458455522972,0.6093424454665269,,1.0
