metric,value
experiment_name,IE15_Trainable_DIA
strategy,MoLE-Flow
final_average_img_auc,0.7506479832860985
final_average_pixel_auc,0.6353808224464138
final_average_img_ap,0.8752548262297795
final_average_pixel_ap,0.14559314582281876
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,False
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,False
use_mahalanobis,True
---class_results---,
bottle_img_auc,0.5714285714285714
bottle_pixel_auc,0.2256319760542089
bottle_img_ap,0.8235860005535309
bottle_pixel_ap,0.03564745011609407
cable_img_auc,0.5522863568215892
cable_pixel_auc,0.31668359696023357
cable_img_ap,0.6771332137674213
cable_pixel_ap,0.019079940134262747
capsule_img_auc,0.5448743518149183
capsule_pixel_auc,0.2817451797249364
capsule_img_ap,0.8523580060501805
capsule_pixel_ap,0.005929990732029686
carpet_img_auc,0.995585874799358
carpet_pixel_auc,0.9606338889305105
carpet_img_ap,0.9986921918254358
carpet_pixel_ap,0.5176719848597706
grid_img_auc,0.6048454469507101
grid_pixel_auc,0.7087398315232785
grid_img_ap,0.8146859255516661
grid_pixel_ap,0.039392788799004735
hazelnut_img_auc,0.8325
hazelnut_pixel_auc,0.7558004886952371
hazelnut_img_ap,0.8963466125601554
hazelnut_pixel_ap,0.13727907654649707
leather_img_auc,1.0
leather_pixel_auc,0.9646628471429605
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.2822817729780902
metal_nut_img_auc,0.7023460410557184
metal_nut_pixel_auc,0.6152201711368052
metal_nut_img_ap,0.9083016473053593
metal_nut_pixel_ap,0.1565780536528527
pill_img_auc,0.7024004364429896
pill_pixel_auc,0.5234067434182348
pill_img_ap,0.9295102425852073
pill_pixel_ap,0.032778881498205625
screw_img_auc,0.8831727813076449
screw_pixel_auc,0.3093324608768518
screw_img_ap,0.9592863710033257
screw_pixel_ap,0.0016778726244391828
tile_img_auc,0.9902597402597403
tile_pixel_auc,0.827788584719955
tile_img_ap,0.9964362720985146
tile_pixel_ap,0.35749996327439154
toothbrush_img_auc,0.6444444444444445
toothbrush_pixel_auc,0.731089043158404
toothbrush_img_ap,0.8618300862542401
toothbrush_pixel_ap,0.08008607919700317
transistor_img_auc,0.5533333333333335
transistor_pixel_auc,0.6463346104896728
transistor_img_ap,0.5177524205434657
transistor_pixel_ap,0.09431405366485472
wood_img_auc,0.9973684210526315
wood_pixel_auc,0.8351165750192743
wood_img_ap,0.9992063492063493
wood_pixel_ap,0.3063496210804118
zipper_img_auc,0.6848739495798319
zipper_pixel_auc,0.8285263388456438
zipper_img_ap,0.8936970541418348
zipper_pixel_ap,0.11732965818437371
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.7506479832860985
oracle_mean_pixel_auc,0.6353808224464138
