class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.5412698412698413,0.13191992592660323,False,1.0
cable,1,0.4270989505247376,0.37697446623094205,False,1.0
capsule,2,0.5959313921021141,0.6865796126266276,False,1.0
carpet,3,0.5160513643659711,0.8740766493607326,False,1.0
grid,4,0.4594820384294069,0.42505401460500847,False,1.0
hazelnut,5,0.9342857142857144,0.9367528255199221,False,1.0
leather,6,0.8491847826086957,0.9729534896007559,False,1.0
metal_nut,7,0.3870967741935484,0.5955252716499917,False,1.0
pill,8,0.5294599018003273,0.6896040252535738,False,1.0
screw,9,0.6913301906128305,0.9349367517019829,False,1.0
tile,10,0.7243867243867244,0.8068209873568694,False,1.0
toothbrush,11,0.43333333333333335,0.8222652000820829,False,1.0
transistor,12,0.7295833333333334,0.6276479232071994,True,1.0
Average,,0.6014226416343521,0.6831623956247916,,1.0
Task_0_Average,0,0.5412698412698413,0.13191992592660323,,1.0
Task_1_Average,1,0.4270989505247376,0.37697446623094205,,1.0
Task_2_Average,2,0.5959313921021141,0.6865796126266276,,1.0
Task_3_Average,3,0.5160513643659711,0.8740766493607326,,1.0
Task_4_Average,4,0.4594820384294069,0.42505401460500847,,1.0
Task_5_Average,5,0.9342857142857144,0.9367528255199221,,1.0
Task_6_Average,6,0.8491847826086957,0.9729534896007559,,1.0
Task_7_Average,7,0.3870967741935484,0.5955252716499917,,1.0
Task_8_Average,8,0.5294599018003273,0.6896040252535738,,1.0
Task_9_Average,9,0.6913301906128305,0.9349367517019829,,1.0
Task_10_Average,10,0.7243867243867244,0.8068209873568694,,1.0
Task_11_Average,11,0.43333333333333335,0.8222652000820829,,1.0
Task_12_Average,12,0.7295833333333334,0.6276479232071994,,1.0
