Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,0.4921,0.1484,0.7711,0.0317
1,cable,100.00,0.3973,0.4672,0.5816,0.0250
2,capsule,100.00,0.5273,0.9163,0.8595,0.1085
3,carpet,100.00,0.7729,0.9775,0.9274,0.4820
4,grid,100.00,0.6642,0.5938,0.8303,0.0227
5,hazelnut,100.00,0.9339,0.9358,0.9661,0.3278
6,leather,100.00,1.0000,0.9878,1.0000,0.3495
7,metal_nut,100.00,0.4291,0.6688,0.7942,0.1711
8,pill,100.00,0.5955,0.7021,0.9120,0.0786
9,screw,100.00,0.6387,0.9336,0.8380,0.0330
10,tile,100.00,0.9582,0.8441,0.9857,0.3045
11,toothbrush,100.00,0.3583,0.8641,0.6598,0.0545
12,transistor,100.00,0.4888,0.6776,0.4806,0.1026
13,wood,100.00,0.9816,0.8532,0.9946,0.3007
14,zipper,100.00,0.7986,0.8814,0.9297,0.2054
Mean,Overall,100.00,0.6691*,0.7634*,0.8354*,0.1732*
