metric,value
experiment_name,IE15_Trainable_TAL
strategy,MoLE-Flow
final_average_img_auc,0.669087003321868
final_average_pixel_auc,0.763443143814252
final_average_img_ap,0.8353880609242416
final_average_pixel_ap,0.17317500037924002
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,False
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,False
use_mahalanobis,True
---class_results---,
bottle_img_auc,0.4920634920634921
bottle_pixel_auc,0.14837837013760136
bottle_img_ap,0.7711060332134789
bottle_pixel_ap,0.031724411881864555
cable_img_auc,0.3973013493253373
cable_pixel_auc,0.46717493758528494
cable_img_ap,0.5816430648548755
cable_pixel_ap,0.025021623281828425
capsule_img_auc,0.5273234942161947
capsule_pixel_auc,0.9163175781849593
capsule_img_ap,0.8594811210255958
capsule_pixel_ap,0.10853036714385605
carpet_img_auc,0.7728731942215088
carpet_pixel_auc,0.9775350030892326
carpet_img_ap,0.9274058814802086
carpet_pixel_ap,0.48201370864288107
grid_img_auc,0.6641604010025063
grid_pixel_auc,0.5937578967317589
grid_img_ap,0.8303323973702057
grid_pixel_ap,0.02272046188657774
hazelnut_img_auc,0.9339285714285714
hazelnut_pixel_auc,0.935817090039364
hazelnut_img_ap,0.9661110386184406
hazelnut_pixel_ap,0.32784627139155836
leather_img_auc,1.0
leather_pixel_auc,0.9878009547189792
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.34945296937568576
metal_nut_img_auc,0.4291300097751711
metal_nut_pixel_auc,0.6688253250317646
metal_nut_img_ap,0.7942438647288348
metal_nut_pixel_ap,0.17111891262641934
pill_img_auc,0.5954719039825422
pill_pixel_auc,0.7020577728718183
pill_img_ap,0.9119972967124845
pill_pixel_ap,0.07857120864434637
screw_img_auc,0.6386554621848739
screw_pixel_auc,0.9336486936862586
screw_img_ap,0.8379902110062065
screw_pixel_ap,0.03295609088730552
tile_img_auc,0.9581529581529582
tile_pixel_auc,0.8440704636667208
tile_img_ap,0.9857103656690598
tile_pixel_ap,0.30445387842328664
toothbrush_img_auc,0.3583333333333334
toothbrush_pixel_auc,0.8641285875577648
toothbrush_img_ap,0.6598215324267992
toothbrush_pixel_ap,0.05449273031199744
transistor_img_auc,0.48875
transistor_pixel_auc,0.6775701853420528
transistor_img_ap,0.48062012627902206
transistor_pixel_ap,0.10264016879402524
wood_img_auc,0.9815789473684211
wood_pixel_auc,0.853155593074834
wood_img_ap,0.9946362409672441
wood_pixel_ap,0.3006922847357878
zipper_img_auc,0.7985819327731093
zipper_pixel_auc,0.8814087054953861
zipper_img_ap,0.9297217395111652
zipper_pixel_ap,0.20538991766118037
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.669087003321868
oracle_mean_pixel_auc,0.763443143814252
