class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.4277777777777778,0.3667494732581424,False,1.0
cable,1,0.49175412293853066,0.5083303653122435,False,1.0
capsule,2,0.49102512963701633,0.6704600194047559,False,1.0
carpet,3,0.4919743178170145,0.6597463102550268,False,1.0
grid,4,0.7218045112781956,0.533294479118694,False,1.0
hazelnut,5,0.30821428571428566,0.6638961336513556,False,1.0
leather,6,0.5709918478260869,0.6952884180077353,False,1.0
metal_nut,7,0.48289345063538613,0.408594794578529,False,1.0
pill,8,0.5621931260229133,0.5423208853482784,False,1.0
screw,9,0.5552367288378767,0.6812689930291925,False,1.0
tile,10,0.5082972582972584,0.5691989594515401,False,1.0
toothbrush,11,0.43333333333333335,0.6909703053689835,False,1.0
transistor,12,0.49875,0.4240142078793781,False,1.0
wood,13,0.612280701754386,0.6563505969163671,False,1.0
zipper,14,0.6121323529411765,0.6224290980854534,True,1.0
Average,,0.5179105963207493,0.5795275359777118,,1.0
Task_0_Average,0,0.4277777777777778,0.3667494732581424,,1.0
Task_1_Average,1,0.49175412293853066,0.5083303653122435,,1.0
Task_2_Average,2,0.49102512963701633,0.6704600194047559,,1.0
Task_3_Average,3,0.4919743178170145,0.6597463102550268,,1.0
Task_4_Average,4,0.7218045112781956,0.533294479118694,,1.0
Task_5_Average,5,0.30821428571428566,0.6638961336513556,,1.0
Task_6_Average,6,0.5709918478260869,0.6952884180077353,,1.0
Task_7_Average,7,0.48289345063538613,0.408594794578529,,1.0
Task_8_Average,8,0.5621931260229133,0.5423208853482784,,1.0
Task_9_Average,9,0.5552367288378767,0.6812689930291925,,1.0
Task_10_Average,10,0.5082972582972584,0.5691989594515401,,1.0
Task_11_Average,11,0.43333333333333335,0.6909703053689835,,1.0
Task_12_Average,12,0.49875,0.4240142078793781,,1.0
Task_13_Average,13,0.612280701754386,0.6563505969163671,,1.0
Task_14_Average,14,0.6121323529411765,0.6224290980854534,,1.0
