Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,0.4278,0.3667,0.7660,0.0416
1,cable,100.00,0.4918,0.5083,0.6046,0.0272
2,capsule,100.00,0.4910,0.6705,0.8333,0.0127
3,carpet,100.00,0.4920,0.6597,0.7372,0.0218
4,grid,100.00,0.7218,0.5333,0.8572,0.0067
5,hazelnut,100.00,0.3082,0.6639,0.5418,0.0291
6,leather,100.00,0.5710,0.6953,0.7902,0.0098
7,metal_nut,100.00,0.4829,0.4086,0.8155,0.0906
8,pill,100.00,0.5622,0.5423,0.8755,0.0387
9,screw,100.00,0.5552,0.6813,0.8184,0.0036
10,tile,100.00,0.5083,0.5692,0.7462,0.0741
11,toothbrush,100.00,0.4333,0.6910,0.7163,0.0275
12,transistor,100.00,0.4988,0.4240,0.4347,0.0378
13,wood,100.00,0.6123,0.6564,0.8600,0.0513
14,zipper,100.00,0.6121,0.6224,0.8625,0.0246
Mean,Overall,100.00,0.5179*,0.5795*,0.7506*,0.0331*
