metric,value
experiment_name,IE_Trainable_Baseline
strategy,MoLE-Flow
final_average_img_auc,0.6079830810457206
final_average_pixel_auc,0.8645415529027879
final_average_img_ap,0.8175959315680696
final_average_pixel_ap,0.15650022475600006
total_classes,5
total_tasks,5
final_routing_accuracy,1.0
---ablation_config---,
use_lora,False
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,False
use_mahalanobis,True
---class_results---,
bottle_img_auc,0.4793650793650794
bottle_pixel_auc,0.7573239140933044
bottle_img_ap,0.7558253847767084
bottle_pixel_ap,0.12400182508152634
cable_img_auc,0.4379685157421289
cable_pixel_auc,0.8126436138435454
cable_img_ap,0.6380755432512006
cable_pixel_ap,0.07628279867517769
capsule_img_auc,0.41324291982449146
capsule_pixel_auc,0.9003606379843317
capsule_img_ap,0.7988577937530504
capsule_pixel_ap,0.05323024666458385
carpet_img_auc,0.9983948635634029
carpet_pixel_auc,0.9467305756533461
carpet_img_ap,0.9994920791527586
carpet_pixel_ap,0.33820471197434404
grid_img_auc,0.7109440267335005
grid_pixel_auc,0.9056490229394119
grid_img_ap,0.89572885690663
grid_pixel_ap,0.19078154138436837
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
oracle_mean_img_auc,0.6079830810457206
oracle_mean_pixel_auc,0.8645415529027879
