metric,value
experiment_name,IE_Trainable_TAL
strategy,MoLE-Flow
final_average_img_auc,0.7099258770906071
final_average_pixel_auc,0.6924961054249793
final_average_img_ap,0.867309773416397
final_average_pixel_ap,0.2074716898444592
total_classes,5
total_tasks,5
final_routing_accuracy,1.0
---ablation_config---,
use_lora,False
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,False
use_mahalanobis,True
---class_results---,
bottle_img_auc,0.6511904761904762
bottle_pixel_auc,0.2112452171064234
bottle_img_ap,0.8780895439372427
bottle_pixel_ap,0.03365606189593483
cable_img_auc,0.5725262368815592
cable_pixel_auc,0.4647591340110591
cable_img_ap,0.6893971369803411
cable_pixel_ap,0.11836763617510078
capsule_img_auc,0.5548464299960112
capsule_pixel_auc,0.9020179047361091
capsule_img_ap,0.8687107852470535
capsule_pixel_ap,0.09683503747332499
carpet_img_auc,0.9598715890850722
carpet_pixel_auc,0.9746573435098854
carpet_img_ap,0.988641685352094
carpet_pixel_ap,0.5652735726246322
grid_img_auc,0.8111946532999165
grid_pixel_auc,0.9098009277614194
grid_img_ap,0.9117097155652538
grid_pixel_ap,0.22322614105330313
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
oracle_mean_img_auc,0.7099258770906071
oracle_mean_pixel_auc,0.6924961054249793
