task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,718507.0576923077,0.0002997964859110542,,,,,,
0,1.0,BASE,487933.98798076925,0.00029918650146218856,,,,,,
0,2.0,BASE,310876.71754807694,0.00029817171857837797,,,,,,
0,3.0,BASE,171610.4326923077,0.00029675491870897016,,,,,,
0,4.0,BASE,55105.849421574516,0.00029493998520392666,,,,,,
0,5.0,BASE,-40887.340632512016,0.0002927318926698304,,,,,,
0,6.0,BASE,-114575.6640625,0.0002901366933348345,,,,,,
0,7.0,BASE,-170768.140625,0.0002871615004599263,,,,,,
0,8.0,BASE,-216351.54086538462,0.0002838144688419727,,,,,,
0,9.0,BASE,-253773.07692307694,0.00028010477246198927,,,,,,
0,10.0,BASE,-284306.96153846156,0.00027604257933989555,,,,,,
0,11.0,BASE,-310721.60096153844,0.00027163902366467976,,,,,,
0,12.0,BASE,-334380.48076923075,0.00026690617527636023,,,,,,
0,13.0,BASE,-353013.8485576923,0.0002618570065833931,,,,,,
0,14.0,BASE,-366360.3125,0.0002565053570062024,,,,,,
0,15.0,BASE,-380016.8028846154,0.00025086589504429055,,,,,,
0,16.0,BASE,-391356.3846153846,0.00024495407807090095,,,,,,
0,17.0,BASE,-404532.8533653846,0.00023878610996543232,,,,,,
0,18.0,BASE,-417516.4639423077,0.00023237889669973157,,,,,,
0,19.0,BASE,-431439.5625,0.00022575000000000004,,,,,,
0,20.0,BASE,-443643.57451923075,0.00021891758921132272,,,,,,
0,21.0,BASE,-456155.14182692306,0.0002119003914967564,,,,,,
0,22.0,BASE,-468148.5985576923,0.00020471764050747717,,,,,,
0,23.0,BASE,-478748.30528846156,0.00019738902366467974,,,,,,
0,24.0,BASE,-489207.9423076923,0.00018993462819772436,,,,,,
0,25.0,BASE,-498836.30048076925,0.00018237488608643726,,,,,,
0,26.0,BASE,-508098.6201923077,0.0001747305180584743,,,,,,
0,27.0,BASE,-516489.42307692306,0.00016702247679524656,,,,,,
0,28.0,BASE,-524467.3293269231,0.00015927188950207714,,,,,,
0,29.0,BASE,-532145.2067307692,0.00015150000000000002,,,,,,
0,30.0,BASE,-537983.5745192308,0.00014372811049792285,,,,,,
0,31.0,BASE,-544365.7548076923,0.00013597752320475346,,,,,,
0,32.0,BASE,-550297.8028846154,0.0001282694819415257,,,,,,
0,33.0,BASE,-556762.7355769231,0.00012062511391356272,,,,,,
0,34.0,BASE,-562102.0480769231,0.00011306537180227568,,,,,,
0,35.0,BASE,-567942.2932692308,0.00010561097633532032,,,,,,
0,36.0,BASE,-573934.5,9.828235949252291e-05,,,,,,
0,37.0,BASE,-579319.9326923077,9.10996085032437e-05,,,,,,
0,38.0,BASE,-584759.8461538461,8.408241078867731e-05,,,,,,
0,39.0,BASE,-589945.3461538461,7.725000000000003e-05,,,,,,
0,40.0,BASE,-594604.25,7.062110330026853e-05,,,,,,
0,41.0,BASE,-599314.1730769231,6.421389003456776e-05,,,,,,
0,42.0,BASE,-603067.0625,5.804592192909917e-05,,,,,,
0,43.0,BASE,-606929.5432692308,5.213410495570961e-05,,,,,,
0,44.0,BASE,-610294.5817307692,4.6494642993797704e-05,,,,,,
0,45.0,BASE,-613278.7884615385,4.114299341660699e-05,,,,,,
0,46.0,BASE,-616304.2451923077,3.6093824723639826e-05,,,,,,
0,47.0,BASE,-619063.2163461539,3.136097633532032e-05,,,,,,
0,48.0,BASE,-621383.9182692308,2.6957420660104545e-05,,,,,,
0,49.0,BASE,-623653.1971153846,2.2895227538010853e-05,,,,,,
0,50.0,BASE,-625331.9278846154,1.9185531158027386e-05,,,,,,
0,51.0,BASE,-627082.9182692308,1.5838499540073755e-05,,,,,,
0,52.0,BASE,-628318.8894230769,1.286330666516554e-05,,,,,,
0,53.0,BASE,-629575.0817307692,1.0268107330169699e-05,,,,,,
0,54.0,BASE,-630707.2259615385,8.060014796073354e-06,,,,,,
0,55.0,BASE,-631604.6057692308,6.245081291029853e-06,,,,,,
0,56.0,BASE,-632249.6634615385,4.828281421622056e-06,,,,,,
0,57.0,BASE,-632429.4711538461,3.813498537811399e-06,,,,,,
0,58.0,BASE,-632944.3509615385,3.2035140889457853e-06,,,,,,
0,59.0,BASE,-633194.0721153846,2.9999999999999997e-06,,,,,,
1,0.0,FAST,48894406.28571428,0.00015,,,,,,
1,1.0,FAST,14231152.67857143,0.0003,,,,,,
1,2.0,FAST,3347625.9285714286,0.0002997964859110542,,,,,,
1,3.0,FAST,1369082.6205357143,0.00029918650146218856,,,,,,
1,4.0,FAST,754504.4375,0.00029817171857837797,,,,,,
1,5.0,FAST,515920.34821428574,0.00029675491870897016,,,,,,
1,6.0,FAST,405777.0535714286,0.00029493998520392666,,,,,,
1,7.0,FAST,337842.20758928574,0.0002927318926698304,,,,,,
1,8.0,FAST,281459.33928571426,0.0002901366933348345,,,,,,
1,9.0,FAST,232295.93638392858,0.0002871615004599263,,,,,,
1,10.0,FAST,189983.37723214287,0.0002838144688419727,,,,,,
1,11.0,FAST,152527.9330357143,0.00028010477246198927,,,,,,
1,12.0,FAST,118421.09040178571,0.00027604257933989555,,,,,,
1,13.0,FAST,86985.44977678571,0.00027163902366467976,,,,,,
1,14.0,FAST,57489.52622767857,0.00026690617527636023,,,,,,
1,15.0,FAST,29607.20438058036,0.0002618570065833931,,,,,,
1,16.0,FAST,3031.70754132952,0.0002565053570062024,,,,,,
1,17.0,FAST,-22222.71564592634,0.00025086589504429055,,,,,,
1,18.0,FAST,-46271.812220982145,0.00024495407807090095,,,,,,
1,19.0,FAST,-69284.18191964286,0.00023878610996543232,,,,,,
1,20.0,FAST,-91366.05803571429,0.00023237889669973157,,,,,,
1,21.0,FAST,-112509.67131696429,0.00022575000000000004,,,,,,
1,22.0,FAST,-132764.3989955357,0.00021891758921132272,,,,,,
1,23.0,FAST,-152281.21316964287,0.0002119003914967564,,,,,,
1,24.0,FAST,-170982.18191964287,0.00020471764050747717,,,,,,
1,25.0,FAST,-188928.4810267857,0.00019738902366467974,,,,,,
1,26.0,FAST,-206103.86049107142,0.00018993462819772436,,,,,,
1,27.0,FAST,-222506.89955357142,0.00018237488608643726,,,,,,
1,28.0,FAST,-238252.8828125,0.0001747305180584743,,,,,,
1,29.0,FAST,-253215.58035714287,0.00016702247679524656,,,,,,
1,30.0,FAST,-267481.82477678574,0.00015927188950207714,,,,,,
1,31.0,FAST,-281017.63839285716,0.00015150000000000002,,,,,,
1,32.0,FAST,-293859.57589285716,0.00014372811049792285,,,,,,
1,33.0,FAST,-306020.171875,0.00013597752320475346,,,,,,
1,34.0,FAST,-317577.64508928574,0.0001282694819415257,,,,,,
1,35.0,FAST,-328391.83035714284,0.00012062511391356272,,,,,,
1,36.0,FAST,-338588.26785714284,0.00011306537180227568,,,,,,
1,37.0,FAST,-348121.59598214284,0.00010561097633532032,,,,,,
1,38.0,FAST,-357025.93973214284,9.828235949252291e-05,,,,,,
1,39.0,FAST,-365338.7254464286,9.10996085032437e-05,,,,,,
1,40.0,FAST,-373006.96651785716,8.408241078867731e-05,,,,,,
1,41.0,FAST,-380125.14285714284,7.725000000000003e-05,,,,,,
1,42.0,FAST,-386669.56696428574,7.062110330026853e-05,,,,,,
1,43.0,FAST,-392672.22098214284,6.421389003456776e-05,,,,,,
1,44.0,FAST,-398146.796875,5.804592192909917e-05,,,,,,
1,45.0,FAST,-403097.30133928574,5.213410495570961e-05,,,,,,
1,46.0,FAST,-407572.74553571426,4.6494642993797704e-05,,,,,,
1,47.0,FAST,-411563.5535714286,4.114299341660699e-05,,,,,,
1,48.0,FAST,-415125.3816964286,3.6093824723639826e-05,,,,,,
1,49.0,FAST,-418265.07366071426,3.136097633532032e-05,,,,,,
1,50.0,FAST,-421005.140625,2.6957420660104545e-05,,,,,,
1,51.0,FAST,-423382.5714285714,2.2895227538010853e-05,,,,,,
1,52.0,FAST,-425413.41964285716,1.9185531158027386e-05,,,,,,
1,53.0,FAST,-427129.8839285714,1.5838499540073755e-05,,,,,,
1,54.0,FAST,-428559.01116071426,1.286330666516554e-05,,,,,,
1,55.0,FAST,-429732.3504464286,1.0268107330169699e-05,,,,,,
1,56.0,FAST,-430682.51339285716,8.060014796073354e-06,,,,,,
1,57.0,FAST,-431434.5714285714,6.245081291029853e-06,,,,,,
1,58.0,FAST,-432025.09151785716,4.828281421622056e-06,,,,,,
1,59.0,FAST,-432482.08928571426,3.813498537811399e-06,,,,,,
2,0.0,FAST,-292003.6899038461,0.00015,,,,,,
2,1.0,FAST,-337654.25,0.0003,,,,,,
2,2.0,FAST,-387017.14903846156,0.0002997964859110542,,,,,,
2,3.0,FAST,-430630.1201923077,0.00029918650146218856,,,,,,
2,4.0,FAST,-470671.8341346154,0.00029817171857837797,,,,,,
2,5.0,FAST,-508491.15625,0.00029675491870897016,,,,,,
2,6.0,FAST,-544961.1153846154,0.00029493998520392666,,,,,,
2,7.0,FAST,-580472.6682692308,0.0002927318926698304,,,,,,
2,8.0,FAST,-615189.6875,0.0002901366933348345,,,,,,
2,9.0,FAST,-649687.9951923077,0.0002871615004599263,,,,,,
2,10.0,FAST,-683913.4951923077,0.0002838144688419727,,,,,,
2,11.0,FAST,-717031.4567307692,0.00028010477246198927,,,,,,
2,12.0,FAST,-748441.5528846154,0.00027604257933989555,,,,,,
2,13.0,FAST,-777834.9326923077,0.00027163902366467976,,,,,,
2,14.0,FAST,-805430.7163461539,0.00026690617527636023,,,,,,
2,15.0,FAST,-831403.3125,0.0002618570065833931,,,,,,
2,16.0,FAST,-856330.7403846154,0.0002565053570062024,,,,,,
2,17.0,FAST,-879604.8653846154,0.00025086589504429055,,,,,,
2,18.0,FAST,-901630.1009615385,0.00024495407807090095,,,,,,
2,19.0,FAST,-922495.1490384615,0.00023878610996543232,,,,,,
2,20.0,FAST,-942076.0769230769,0.00023237889669973157,,,,,,
2,21.0,FAST,-960816.9807692308,0.00022575000000000004,,,,,,
2,22.0,FAST,-978800.0,0.00021891758921132272,,,,,,
2,23.0,FAST,-995530.8221153846,0.0002119003914967564,,,,,,
2,24.0,FAST,-1011714.0625,0.00020471764050747717,,,,,,
2,25.0,FAST,-1027024.1634615385,0.00019738902366467974,,,,,,
2,26.0,FAST,-1041100.5,0.00018993462819772436,,,,,,
2,27.0,FAST,-1054791.1826923077,0.00018237488608643726,,,,,,
2,28.0,FAST,-1067640.951923077,0.0001747305180584743,,,,,,
2,29.0,FAST,-1079814.6538461538,0.00016702247679524656,,,,,,
2,30.0,FAST,-1091367.6057692308,0.00015927188950207714,,,,,,
2,31.0,FAST,-1102115.4423076923,0.00015150000000000002,,,,,,
2,32.0,FAST,-1112182.4615384615,0.00014372811049792285,,,,,,
