class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
bottle,0,0.4341269841269841,0.6742337460276332,False,1.0
cable,1,0.4643928035982009,0.6863016558887198,False,1.0
capsule,2,0.5668129238133228,0.6530399984917153,False,1.0
carpet,3,0.6577046548956662,0.7675440891539478,False,1.0
grid,4,0.5421888053467001,0.6771056127066893,True,1.0
Average,,0.5330452343561747,0.6916450204537411,,1.0
Task_0_Average,0,0.4341269841269841,0.6742337460276332,,1.0
Task_1_Average,1,0.4643928035982009,0.6863016558887198,,1.0
Task_2_Average,2,0.5668129238133228,0.6530399984917153,,1.0
Task_3_Average,3,0.6577046548956662,0.7675440891539478,,1.0
Task_4_Average,4,0.5421888053467001,0.6771056127066893,,1.0
