task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,805.4002638596755,0.0002997964859110542,,,,,,
0,1.0,BASE,464.966057410607,0.00029918650146218856,,,,,,
0,2.0,BASE,260.17554297814,0.00029817171857837797,,,,,,
0,3.0,BASE,122.05728208101712,0.00029675491870897016,,,,,,
0,4.0,BASE,31.017996054429275,0.00029493998520392666,,,,,,
0,5.0,BASE,-37.201859327463005,0.0002927318926698304,,,,,,
0,6.0,BASE,-87.40136425311749,0.0002901366933348345,,,,,,
0,7.0,BASE,-129.22240095872147,0.0002871615004599263,,,,,,
0,8.0,BASE,-170.55747751089243,0.0002838144688419727,,,,,,
0,9.0,BASE,-203.9262237548828,0.00028010477246198927,,,,,,
0,10.0,BASE,-233.34178748497595,0.00027604257933989555,,,,,,
0,11.0,BASE,-262.1787754939153,0.00027163902366467976,,,,,,
0,12.0,BASE,-287.8723637507512,0.00026690617527636023,,,,,,
0,13.0,BASE,-313.04793137770434,0.0002618570065833931,,,,,,
0,14.0,BASE,-335.5237004206731,0.0002565053570062024,,,,,,
0,15.0,BASE,-359.852785550631,0.00025086589504429055,,,,,,
0,16.0,BASE,-381.59515146108777,0.00024495407807090095,,,,,,
0,17.0,BASE,-399.448244535006,0.00023878610996543232,,,,,,
0,18.0,BASE,-418.04486083984375,0.00023237889669973157,,,,,,
0,19.0,BASE,-435.0291748046875,0.00022575000000000004,,,,,,
0,20.0,BASE,-452.01419536884015,0.00021891758921132272,,,,,,
0,21.0,BASE,-468.4250159630409,0.0002119003914967564,,,,,,
0,22.0,BASE,-484.3731360802284,0.00020471764050747717,,,,,,
0,23.0,BASE,-501.28136268028845,0.00019738902366467974,,,,,,
0,24.0,BASE,-515.2083998460037,0.00018993462819772436,,,,,,
0,25.0,BASE,-530.0811298076923,0.00018237488608643726,,,,,,
0,26.0,BASE,-543.7419668344351,0.0001747305180584743,,,,,,
0,27.0,BASE,-555.8826622596154,0.00016702247679524656,,,,,,
0,28.0,BASE,-570.5361703725962,0.00015927188950207714,,,,,,
0,29.0,BASE,-580.9354905348557,0.00015150000000000002,,,,,,
0,30.0,BASE,-592.4535710261418,0.00014372811049792285,,,,,,
0,31.0,BASE,-603.9309504582332,0.00013597752320475346,,,,,,
0,32.0,BASE,-614.9864408052885,0.0001282694819415257,,,,,,
0,33.0,BASE,-623.9477210411659,0.00012062511391356272,,,,,,
0,34.0,BASE,-634.2839637169471,0.00011306537180227568,,,,,,
0,35.0,BASE,-643.8655207707332,0.00010561097633532032,,,,,,
0,36.0,BASE,-651.9192739633413,9.828235949252291e-05,,,,,,
0,37.0,BASE,-660.8311251126803,9.10996085032437e-05,,,,,,
0,38.0,BASE,-667.7496478740985,8.408241078867731e-05,,,,,,
0,39.0,BASE,-675.6075955904447,7.725000000000003e-05,,,,,,
0,40.0,BASE,-680.6908334585337,7.062110330026853e-05,,,,,,
0,41.0,BASE,-688.5340576171875,6.421389003456776e-05,,,,,,
0,42.0,BASE,-693.8948317307693,5.804592192909917e-05,,,,,,
0,43.0,BASE,-698.7549109825721,5.213410495570961e-05,,,,,,
0,44.0,BASE,-704.5044180063101,4.6494642993797704e-05,,,,,,
0,45.0,BASE,-708.6579120342548,4.114299341660699e-05,,,,,,
0,46.0,BASE,-713.3595487154447,3.6093824723639826e-05,,,,,,
0,47.0,BASE,-716.6826735276443,3.136097633532032e-05,,,,,,
0,48.0,BASE,-720.2925133338341,2.6957420660104545e-05,,,,,,
0,49.0,BASE,-723.1832932692307,2.2895227538010853e-05,,,,,,
0,50.0,BASE,-725.4824500450721,1.9185531158027386e-05,,,,,,
0,51.0,BASE,-727.5380155123197,1.5838499540073755e-05,,,,,,
0,52.0,BASE,-730.0231088491587,1.286330666516554e-05,,,,,,
0,53.0,BASE,-731.7801138070913,1.0268107330169699e-05,,,,,,
0,54.0,BASE,-733.1886690579928,8.060014796073354e-06,,,,,,
0,55.0,BASE,-734.1889930138221,6.245081291029853e-06,,,,,,
0,56.0,BASE,-735.2635498046875,4.828281421622056e-06,,,,,,
0,57.0,BASE,-736.0517343374399,3.813498537811399e-06,,,,,,
0,58.0,BASE,-736.7878230168269,3.2035140889457853e-06,,,,,,
0,59.0,BASE,-736.9605665940505,2.9999999999999997e-06,,,,,,
1,0.0,FAST,4242.232099260603,0.00015,,,,,,
1,1.0,FAST,553.24021257673,0.0003,,,,,,
1,2.0,FAST,339.27220153808594,0.0002997964859110542,,,,,,
1,3.0,FAST,256.5830830165318,0.00029918650146218856,,,,,,
1,4.0,FAST,202.28861345563615,0.00029817171857837797,,,,,,
1,5.0,FAST,163.2973360334124,0.00029675491870897016,,,,,,
1,6.0,FAST,133.33864048549108,0.00029493998520392666,,,,,,
1,7.0,FAST,109.09114183698382,0.0002927318926698304,,,,,,
1,8.0,FAST,89.57808739798409,0.0002901366933348345,,,,,,
1,9.0,FAST,72.73885890415737,0.0002871615004599263,,,,,,
1,10.0,FAST,58.25254849025181,0.0002838144688419727,,,,,,
1,11.0,FAST,45.52292169843401,0.00028010477246198927,,,,,,
1,12.0,FAST,33.763127599443706,0.00027604257933989555,,,,,,
1,13.0,FAST,23.446733747209823,0.00027163902366467976,,,,,,
1,14.0,FAST,14.508504663194929,0.00026690617527636023,,,,,,
1,15.0,FAST,5.29066218648638,0.0002618570065833931,,,,,,
1,16.0,FAST,-2.8034423419407437,0.0002565053570062024,,,,,,
1,17.0,FAST,-10.347022567476545,0.00025086589504429055,,,,,,
1,18.0,FAST,-17.430043356759207,0.00024495407807090095,,,,,,
1,19.0,FAST,-23.571497235979354,0.00023878610996543232,,,,,,
1,20.0,FAST,-29.5100154876709,0.00023237889669973157,,,,,,
1,21.0,FAST,-35.725979396275115,0.00022575000000000004,,,,,,
1,22.0,FAST,-40.975489480154856,0.00021891758921132272,,,,,,
1,23.0,FAST,-46.076531001499724,0.0002119003914967564,,,,,,
1,24.0,FAST,-50.917785917009624,0.00020471764050747717,,,,,,
1,25.0,FAST,-55.65836879185268,0.00019738902366467974,,,,,,
1,26.0,FAST,-59.712565013340544,0.00018993462819772436,,,,,,
1,27.0,FAST,-63.56462723868234,0.00018237488608643726,,,,,,
1,28.0,FAST,-67.64551598685128,0.0001747305180584743,,,,,,
1,29.0,FAST,-71.35261753627232,0.00016702247679524656,,,,,,
1,30.0,FAST,-75.09317343575614,0.00015927188950207714,,,,,,
1,31.0,FAST,-78.60575430733817,0.00015150000000000002,,,,,,
1,32.0,FAST,-81.72809655325753,0.00014372811049792285,,,,,,
1,33.0,FAST,-84.87893622262138,0.00013597752320475346,,,,,,
1,34.0,FAST,-87.45798219953265,0.0001282694819415257,,,,,,
1,35.0,FAST,-90.36461748395648,0.00012062511391356272,,,,,,
1,36.0,FAST,-92.97619519914899,0.00011306537180227568,,,,,,
1,37.0,FAST,-95.44371523175921,0.00010561097633532032,,,,,,
1,38.0,FAST,-97.51011548723493,9.828235949252291e-05,,,,,,
1,39.0,FAST,-99.99058805193219,9.10996085032437e-05,,,,,,
1,40.0,FAST,-102.07074846540179,8.408241078867731e-05,,,,,,
