metric,value
experiment_name,MVTec-WRN50-CL-1x1-Seed123
strategy,MoLE-Flow
final_average_img_auc,0.9816361857611484
final_average_pixel_auc,0.9785606167513006
final_average_img_ap,0.9922509239056815
final_average_pixel_ap,0.5360759715388494
total_classes,15
total_tasks,15
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,1.0
bottle_pixel_auc,0.9833106353417296
bottle_img_ap,0.9999999999999998
bottle_pixel_ap,0.7182247818799026
cable_img_auc,0.9866941529235382
cable_pixel_auc,0.9759497958482726
cable_img_ap,0.9935570239211584
cable_pixel_ap,0.5924316762313224
capsule_img_auc,0.9644994016753091
capsule_pixel_auc,0.9866722946887124
capsule_img_ap,0.9915435234413095
capsule_pixel_ap,0.3904135701217715
carpet_img_auc,0.9947833065810594
carpet_pixel_auc,0.9890706359691953
carpet_img_ap,0.9984796067914221
carpet_pixel_ap,0.6032299633244558
grid_img_auc,0.985797827903091
grid_pixel_auc,0.9759947815296047
grid_img_ap,0.9950800567821432
grid_pixel_ap,0.24129048315136103
hazelnut_img_auc,0.9992857142857142
hazelnut_pixel_auc,0.9847000054625603
hazelnut_img_ap,0.9996031746031744
hazelnut_pixel_ap,0.5202697378600042
leather_img_auc,1.0
leather_pixel_auc,0.9929252550583271
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.42338145245390735
metal_nut_img_auc,1.0
metal_nut_pixel_auc,0.9766661334434183
metal_nut_img_ap,1.0
metal_nut_pixel_ap,0.8059905204847748
pill_img_auc,0.9909983633387889
pill_pixel_auc,0.9890471642678511
pill_img_ap,0.998492436650245
pill_pixel_ap,0.798639933679382
screw_img_auc,0.9264193482270957
screw_pixel_auc,0.9813064902327303
screw_img_ap,0.971022385779464
screw_pixel_ap,0.21680406058023186
tile_img_auc,1.0
tile_pixel_auc,0.9698168918534843
tile_img_ap,0.9999999999999998
tile_pixel_ap,0.7168574905627658
toothbrush_img_auc,0.9027777777777778
toothbrush_pixel_auc,0.9845185716320436
toothbrush_img_ap,0.9580630585118456
toothbrush_pixel_ap,0.5183805898545217
transistor_img_auc,0.99125
transistor_pixel_auc,0.9716877041851666
transistor_img_ap,0.9829799154551828
transistor_pixel_ap,0.655833489629338
wood_img_auc,0.9912280701754386
wood_pixel_auc,0.9407689686032225
wood_img_ap,0.9973302900775872
wood_pixel_ap,0.46827388280624005
zipper_img_auc,0.9908088235294118
zipper_pixel_auc,0.9759739231531878
zipper_img_ap,0.9976123865716913
zipper_pixel_ap,0.37111794046276214
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
task_12_routing_accuracy,1.0
task_13_routing_accuracy,1.0
task_14_routing_accuracy,1.0
oracle_mean_img_auc,0.9816361857611484
oracle_mean_pixel_auc,0.9785606167513006
