metric,value
experiment_name,MVTec-WRN50-CL-3x3
strategy,MoLE-Flow
final_average_img_auc,0.8445827629575322
final_average_pixel_auc,0.885574297106485
final_average_img_ap,0.9226743735733012
final_average_pixel_ap,0.3350355110015716
total_classes,15
total_tasks,5
final_routing_accuracy,0.9953623188405797
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
bottle_img_auc,0.9968253968253968
bottle_pixel_auc,0.974224573226086
bottle_img_ap,0.9990155677655677
bottle_pixel_ap,0.6044732732863602
cable_img_auc,0.7485007496251874
cable_pixel_auc,0.5513941463506413
cable_img_ap,0.8530261780619726
cable_pixel_ap,0.19574519905172133
capsule_img_auc,0.8436378141204628
capsule_pixel_auc,0.9539968592998878
capsule_img_ap,0.9578271333687778
capsule_pixel_ap,0.3738531057452339
carpet_img_auc,0.812199036918138
carpet_pixel_auc,0.9810756532458407
carpet_img_ap,0.935424441801481
carpet_pixel_ap,0.3792865232035627
grid_img_auc,0.45029239766081874
grid_pixel_auc,0.8668977182036202
grid_img_ap,0.758677295289129
grid_pixel_ap,0.07825679802998448
hazelnut_img_auc,0.9960714285714285
hazelnut_pixel_auc,0.9796969038401483
hazelnut_img_ap,0.9976135592610198
hazelnut_pixel_ap,0.5316360234706702
leather_img_auc,0.9167798913043477
leather_pixel_auc,0.9881289964676064
leather_img_ap,0.9733748236576338
leather_pixel_ap,0.29409481772962404
metal_nut_img_auc,0.9872922776148583
metal_nut_pixel_auc,0.8731582591546981
metal_nut_img_ap,0.9970495114657596
metal_nut_pixel_ap,0.4810628521161896
pill_img_auc,0.9473540643753409
pill_pixel_auc,0.9726891946295039
pill_img_ap,0.9905087996967635
pill_pixel_ap,0.5516706923516923
screw_img_auc,0.7335519573683131
screw_pixel_auc,0.9542956845855544
screw_img_ap,0.8685175461226742
screw_pixel_ap,0.11284698956320749
tile_img_auc,0.8914141414141414
tile_pixel_auc,0.6872084916783712
tile_img_ap,0.9616982934488085
tile_pixel_ap,0.20178991010071037
toothbrush_img_auc,0.8055555555555556
toothbrush_pixel_auc,0.9738561244047224
toothbrush_img_ap,0.9164838575480162
toothbrush_pixel_ap,0.29465082245756524
transistor_img_auc,0.7987500000000001
transistor_pixel_auc,0.6644140774492541
transistor_img_ap,0.7290892329147847
transistor_pixel_ap,0.31553086861474117
wood_img_auc,0.8192982456140351
wood_pixel_auc,0.8913985925510831
wood_img_ap,0.9331866058834862
wood_pixel_ap,0.30500936940440343
zipper_img_auc,0.921218487394958
zipper_pixel_auc,0.9711791815102567
zipper_img_ap,0.9686227573136423
zipper_pixel_ap,0.30562541989790737
---additional_metrics---,
overall_routing_accuracy,0.9953623188405797
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,0.9950738916256158
task_3_routing_accuracy,0.9811912225705329
task_4_routing_accuracy,1.0
oracle_mean_img_auc,0.8445827629575322
oracle_mean_pixel_auc,0.8857623785480822
