task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,346.9386178458609,0.0002997964859110542,,,,,,
0,1.0,BASE,-71.59217305881221,0.00029918650146218856,,,,,,
0,2.0,BASE,-347.9473159603956,0.00029817171857837797,,,,,,
0,3.0,BASE,-659.2493168900653,0.00029675491870897016,,,,,,
0,4.0,BASE,-991.3181948778106,0.00029493998520392666,,,,,,
0,5.0,BASE,-1295.2341033191215,0.0002927318926698304,,,,,,
0,6.0,BASE,-1586.9505622677686,0.0002901366933348345,,,,,,
0,7.0,BASE,-1872.78546068145,0.0002871615004599263,,,,,,
0,8.0,BASE,-2130.354620956793,0.0002838144688419727,,,,,,
0,9.0,BASE,-2347.601647353754,0.00028010477246198927,,,,,,
0,10.0,BASE,-2578.5736590129573,0.00027604257933989555,,,,,,
0,11.0,BASE,-2776.908828363186,0.00027163902366467976,,,,,,
0,12.0,BASE,-2878.2957644578887,0.00026690617527636023,,,,,,
0,13.0,BASE,-2944.402224657012,0.0002618570065833931,,,,,,
0,14.0,BASE,-2996.487172196551,0.0002565053570062024,,,,,,
0,15.0,BASE,-3041.235305413967,0.00025086589504429055,,,,,,
0,16.0,BASE,-3084.099917528106,0.00024495407807090095,,,,,,
0,17.0,BASE,-3119.8284450624046,0.00023878610996543232,,,,,,
0,18.0,BASE,-3149.910506085652,0.00023237889669973157,,,,,,
0,19.0,BASE,-3186.428124404535,0.00022575000000000004,,,,,,
0,20.0,BASE,-3216.7432206316694,0.00021891758921132272,,,,,,
0,21.0,BASE,-3242.2834963914825,0.0002119003914967564,,,,,,
0,22.0,BASE,-3273.605383896246,0.00020471764050747717,,,,,,
0,23.0,BASE,-3295.5422214415016,0.00019738902366467974,,,,,,
0,24.0,BASE,-3324.096448944836,0.00018993462819772436,,,,,,
0,25.0,BASE,-3347.682518935785,0.00018237488608643726,,,,,,
0,26.0,BASE,-3371.2086568692835,0.0001747305180584743,,,,,,
0,27.0,BASE,-3391.44419004859,0.00016702247679524656,,,,,,
0,28.0,BASE,-3416.130134396437,0.00015927188950207714,,,,,,
0,29.0,BASE,-3437.006737685785,0.00015150000000000002,,,,,,
0,30.0,BASE,-3459.938859148723,0.00014372811049792285,,,,,,
0,31.0,BASE,-3475.1355933212653,0.00013597752320475346,,,,,,
0,32.0,BASE,-3491.747775938453,0.0001282694819415257,,,,,,
0,33.0,BASE,-3516.8111482945883,0.00012062511391356272,,,,,,
0,34.0,BASE,-3537.9485027034107,0.00011306537180227568,,,,,,
0,35.0,BASE,-3560.211062547637,0.00010561097633532032,,,,,,
0,36.0,BASE,-3578.000672875381,9.828235949252291e-05,,,,,,
0,37.0,BASE,-3598.0996525462083,9.10996085032437e-05,,,,,,
0,38.0,BASE,-3621.3240758384145,8.408241078867731e-05,,,,,,
0,39.0,BASE,-3634.4247094131097,7.725000000000003e-05,,,,,,
0,40.0,BASE,-3651.9749041301448,7.062110330026853e-05,,,,,,
0,41.0,BASE,-3664.8780190072407,6.421389003456776e-05,,,,,,
0,42.0,BASE,-3685.452140994188,5.804592192909917e-05,,,,,,
