Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,bottle,100.00,0.8960,0.5440,0.9686,0.1326
0,cable,100.00,0.6055,0.3264,0.6960,0.0232
0,capsule,100.00,0.6067,0.3746,0.8877,0.0104
0,carpet,100.00,0.8248,0.8978,0.9440,0.2906
0,grid,100.00,0.4302,0.4720,0.7261,0.0066
0,hazelnut,100.00,0.8650,0.4705,0.9077,0.0676
0,leather,100.00,0.8818,0.8593,0.9536,0.1476
0,metal_nut,100.00,0.6606,0.4575,0.8891,0.1117
0,pill,100.00,0.6485,0.5729,0.9048,0.1034
0,screw,100.00,0.5895,0.2393,0.7936,0.0015
0,tile,100.00,0.7814,0.2272,0.9163,0.0443
0,toothbrush,100.00,0.4833,0.3102,0.7166,0.0149
0,transistor,100.00,0.7181,0.4517,0.5938,0.0491
0,wood,100.00,0.8833,0.5396,0.9616,0.0847
1,zipper,50.33,0.2802,0.3936,0.7290,0.0296
Mean,Overall,96.69,0.6770*,0.4758*,0.8392*,0.0745*
