task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,557039.63125,0.0002981717185783779,,,,,,
0,1.0,BASE,178949.071875,0.00029273189266983027,,,,,,
0,2.0,BASE,25710.047591145834,0.0002838144688419726,,,,,,
0,3.0,BASE,-69241.12708333334,0.00027163902366467965,,,,,,
0,4.0,BASE,-121941.49739583333,0.00025650535700620224,,,,,,
0,5.0,BASE,-159825.00520833334,0.0002387861099654322,,,,,,
0,6.0,BASE,-193406.42604166668,0.00021891758921132264,,,,,,
0,7.0,BASE,-226486.91354166667,0.00019738902366467966,,,,,,
0,8.0,BASE,-253130.46979166666,0.00017473051805847427,,,,,,
0,9.0,BASE,-277204.91041666665,0.00015149999999999997,,,,,,
0,10.0,BASE,-298273.64166666666,0.00012826948194152572,,,,,,
0,11.0,BASE,-316021.0875,0.0001056109763353203,,,,,,
0,12.0,BASE,-330080.67291666666,8.40824107886773e-05,,,,,,
0,13.0,BASE,-340163.1625,6.421389003456775e-05,,,,,,
0,14.0,BASE,-348779.5916666667,4.649464299379769e-05,,,,,,
0,15.0,BASE,-356575.925,3.1360976335320314e-05,,,,,,
0,16.0,BASE,-362738.63333333336,1.918553115802738e-05,,,,,,
0,17.0,BASE,-366987.42916666664,1.0268107330169699e-05,,,,,,
0,18.0,BASE,-369804.91458333336,4.828281421622057e-06,,,,,,
0,19.0,BASE,-371411.58125,2.9999999999999997e-06,,,,,,
1,0.0,FAST,1019821.65625,0.00015,,,,,,
1,1.0,FAST,317271.3583984375,0.0003,,,,,,
1,2.0,FAST,182555.7548828125,0.0002981717185783779,,,,,,
1,3.0,FAST,115847.4404296875,0.00029273189266983027,,,,,,
1,4.0,FAST,57714.20166015625,0.0002838144688419726,,,,,,
1,5.0,FAST,15807.247009277344,0.00027163902366467965,,,,,,
1,6.0,FAST,-16670.318283081055,0.00025650535700620224,,,,,,
1,7.0,FAST,-41899.713623046875,0.0002387861099654322,,,,,,
1,8.0,FAST,-63370.57177734375,0.00021891758921132264,,,,,,
1,9.0,FAST,-78505.87915039062,0.00019738902366467966,,,,,,
1,10.0,FAST,-91175.5615234375,0.00017473051805847427,,,,,,
1,11.0,FAST,-100659.333984375,0.00015149999999999997,,,,,,
1,12.0,FAST,-111177.91064453125,0.00012826948194152572,,,,,,
1,13.0,FAST,-119829.5302734375,0.0001056109763353203,,,,,,
1,14.0,FAST,-128343.21728515625,8.40824107886773e-05,,,,,,
1,15.0,FAST,-134679.53564453125,6.421389003456775e-05,,,,,,
1,16.0,FAST,-140107.544921875,4.649464299379769e-05,,,,,,
1,17.0,FAST,-144164.025390625,3.1360976335320314e-05,,,,,,
1,18.0,FAST,-148053.36572265625,1.918553115802738e-05,,,,,,
1,19.0,FAST,-149742.8828125,1.0268107330169699e-05,,,,,,
2,0.0,FAST,993197.2019230769,0.00015,,,,,,
2,1.0,FAST,504591.8653846154,0.0003,,,,,,
2,2.0,FAST,358524.2283653846,0.0002981717185783779,,,,,,
2,3.0,FAST,293124.875,0.00029273189266983027,,,,,,
2,4.0,FAST,248035.06850961538,0.0002838144688419726,,,,,,
2,5.0,FAST,215484.63942307694,0.00027163902366467965,,,,,,
2,6.0,FAST,189278.90985576922,0.00025650535700620224,,,,,,
2,7.0,FAST,168533.44591346153,0.0002387861099654322,,,,,,
2,8.0,FAST,151456.04807692306,0.00021891758921132264,,,,,,
2,9.0,FAST,137267.75841346153,0.00019738902366467966,,,,,,
2,10.0,FAST,124989.45612980769,0.00017473051805847427,,,,,,
2,11.0,FAST,114229.40685096153,0.00015149999999999997,,,,,,
2,12.0,FAST,105200.43990384616,0.00012826948194152572,,,,,,
2,13.0,FAST,96802.76802884616,0.0001056109763353203,,,,,,
2,14.0,FAST,89384.671875,8.40824107886773e-05,,,,,,
2,15.0,FAST,83122.46274038461,6.421389003456775e-05,,,,,,
2,16.0,FAST,78861.27704326923,4.649464299379769e-05,,,,,,
2,17.0,FAST,75092.49278846153,3.1360976335320314e-05,,,,,,
2,18.0,FAST,72449.00721153847,1.918553115802738e-05,,,,,,
2,19.0,FAST,70579.69831730769,1.0268107330169699e-05,,,,,,
0,,,,,leather,1.0,0.9859788746509207,1.0000000000000002,0.2580118665227972,1.0
0,,,,,Task_0_Average,1.0,0.9859788746509207,1.0000000000000002,0.2580118665227972,1.0
