Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8995,0.8933,0.9201,0.0666
1,capsules,100.00,0.8675,0.9672,0.9275,0.3145
2,cashew,100.00,0.9744,0.9804,0.9865,0.6954
3,chewinggum,99.33,0.9374,0.9471,0.9717,0.1236
4,fryum,100.00,0.9344,0.9368,0.9685,0.3062
5,macaroni1,100.00,0.8796,0.9242,0.8723,0.0306
6,macaroni2,100.00,0.6992,0.8089,0.6495,0.0073
7,pcb1,100.00,0.9539,0.9844,0.9456,0.6037
8,pcb2,100.00,0.9165,0.9608,0.9166,0.0926
9,pcb3,100.00,0.8775,0.9511,0.8879,0.1928
10,pcb4,100.00,0.9730,0.9496,0.9583,0.1909
11,pipe_fryum,98.67,0.9556,0.9844,0.9784,0.4157
Mean,Overall,99.83,0.9057*,0.9407*,0.9153*,0.2533*
