metric,value
experiment_name,VISA-Exp1-ViT-ImgAUC-120ep-TailW0.7-DIA6-C10
strategy,MoLE-Flow
final_average_img_auc,0.9057079207920792
final_average_pixel_auc,0.9406746724118218
final_average_img_ap,0.9152605685751786
final_average_pixel_ap,0.25332829702987036
total_classes,12
total_tasks,12
final_routing_accuracy,0.9986123959296948
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
candle_img_auc,0.8995
candle_pixel_auc,0.8932948262154109
candle_img_ap,0.9201447606944602
candle_pixel_ap,0.06658681524461878
capsules_img_auc,0.8674999999999999
capsules_pixel_auc,0.9671931741319474
capsules_img_ap,0.9274576299947204
capsules_pixel_ap,0.3144998143276579
cashew_img_auc,0.9743999999999999
cashew_pixel_auc,0.980380064529823
cashew_img_ap,0.9865489967458603
cashew_pixel_ap,0.6954252329125533
chewinggum_img_auc,0.9374
chewinggum_pixel_auc,0.947070487235006
chewinggum_img_ap,0.9716996668022115
chewinggum_pixel_ap,0.12360164216270045
fryum_img_auc,0.9344
fryum_pixel_auc,0.9368306875457887
fryum_img_ap,0.9685142750318277
fryum_pixel_ap,0.30622982393254705
macaroni1_img_auc,0.8795999999999999
macaroni1_pixel_auc,0.9241894513248651
macaroni1_img_ap,0.8722907574580743
macaroni1_pixel_ap,0.030636028027287883
macaroni2_img_auc,0.6992
macaroni2_pixel_auc,0.8088701393659712
macaroni2_img_ap,0.6495245117051627
macaroni2_pixel_ap,0.0072607897919258774
pcb1_img_auc,0.9539
pcb1_pixel_auc,0.9843689681376236
pcb1_img_ap,0.9456263263400807
pcb1_pixel_ap,0.6037262860838513
pcb2_img_auc,0.9165
pcb2_pixel_auc,0.9608423596521728
pcb2_img_ap,0.9166117106227536
pcb2_pixel_ap,0.09261679327513564
pcb3_img_auc,0.8775247524752475
pcb3_pixel_auc,0.9511101265129123
pcb3_img_ap,0.8879375097213678
pcb3_pixel_ap,0.19279894616298113
pcb4_img_auc,0.972970297029703
pcb4_pixel_auc,0.9495941932625914
pcb4_img_ap,0.9583364668832692
pcb4_pixel_ap,0.19088772948975052
pipe_fryum_img_auc,0.9556
pipe_fryum_pixel_auc,0.9843515910277492
pipe_fryum_img_ap,0.9784342109023544
pipe_fryum_pixel_ap,0.4156696629474346
---additional_metrics---,
overall_routing_accuracy,0.9986123959296948
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,0.9933333333333333
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,0.9866666666666667
oracle_mean_img_auc,0.9057079207920792
oracle_mean_pixel_auc,0.9414717374859002
