class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8007,0.9640011305719165,False,1.0
capsules,1,0.6585,0.9289876180018415,False,1.0
cashew,2,0.7756000000000001,0.9419811128791319,False,1.0
chewinggum,3,0.77,0.9842435089899095,False,1.0
fryum,4,0.9438,0.8784211398492342,True,1.0
Average,,0.78972,0.9395269020584067,,1.0
Task_0_Average,0,0.8007,0.9640011305719165,,1.0
Task_1_Average,1,0.6585,0.9289876180018415,,1.0
Task_2_Average,2,0.7756000000000001,0.9419811128791319,,1.0
Task_3_Average,3,0.77,0.9842435089899095,,1.0
Task_4_Average,4,0.9438,0.8784211398492342,,1.0
