task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,520.227895464216,9.996183729391579e-05,,,,,,
0,1.0,BASE,34.96230428559439,9.984740801978984e-05,,,,,,
0,2.0,BASE,-120.32624285561698,9.965688861926886e-05,,,,,,
0,3.0,BASE,-203.117798941476,9.939057285945933e-05,,,,,,
0,4.0,BASE,-259.0377597808838,9.904887137995992e-05,,,,,,
0,5.0,BASE,-303.85499899727955,9.8632311059685e-05,,,,,,
0,6.0,BASE,-339.9132592337472,9.814153420445554e-05,,,,,,
0,7.0,BASE,-371.33909279959545,9.757729755661012e-05,,,,,,
0,8.0,BASE,-399.39497320992604,9.694047112816299e-05,,,,,,
0,9.0,BASE,-426.08317129952565,9.62320368593087e-05,,,,,,
0,10.0,BASE,-450.4668393816267,9.545308710434153e-05,,,,,,
0,11.0,BASE,-473.26161248343334,9.460482294732421e-05,,,,,,
0,12.0,BASE,-491.356931413923,9.368855235010347e-05,,,,,,
0,13.0,BASE,-509.9833657400949,9.270568813552756e-05,,,,,,
0,14.0,BASE,-527.6012704031808,9.1657745808976e-05,,,,,,
0,15.0,BASE,-543.8385156903948,9.05463412215599e-05,,,,,,
0,16.0,BASE,-558.8713084629604,8.937318807859687e-05,,,,,,
0,17.0,BASE,-574.5121416364398,8.814009529720155e-05,,,,,,
0,18.0,BASE,-588.4624633789062,8.684896421706645e-05,,,,,,
0,19.0,BASE,-602.2989065987723,8.550178566873411e-05,,,,,,
0,20.0,BASE,-613.9415784563337,8.410063690388064e-05,,,,,,
0,21.0,BASE,-627.0248947143555,8.264767839234411e-05,,,,,,
0,22.0,BASE,-639.1764580862863,8.114515049083679e-05,,,,,,
0,23.0,BASE,-651.3221500941685,7.959536998847744e-05,,,,,,
0,24.0,BASE,-661.6168877737863,7.800072653447033e-05,,,,,,
0,25.0,BASE,-672.8029447283063,7.636367895343949e-05,,,,,,
0,26.0,BASE,-683.7387204851423,7.46867514540993e-05,,,,,,
0,27.0,BASE,-692.6242098127093,7.297252973710759e-05,,,,,,
0,28.0,BASE,-702.3957574026925,7.122365700810273e-05,,,,,,
0,29.0,BASE,-712.6443797520229,6.944282990207198e-05,,,,,,
0,30.0,BASE,-720.8095975603376,6.763279432533594e-05,,,,,,
0,31.0,BASE,-729.4889177594866,6.579634122155994e-05,,,,,,
0,32.0,BASE,-737.854382106236,6.393630226832122e-05,,,,,,
0,33.0,BASE,-745.9762387956891,6.205554551086737e-05,,,,,,
0,34.0,BASE,-754.0372543334961,6.01569709397984e-05,,,,,,
0,35.0,BASE,-761.0748519897461,5.824350601949148e-05,,,,,,
0,36.0,BASE,-769.1007036481585,5.631810117416301e-05,,,,,,
0,37.0,BASE,-775.1454031808036,5.438372523852837e-05,,,,,,
0,38.0,BASE,-783.4519053867886,5.244336088007394e-05,,,,,,
0,39.0,BASE,-789.0762296404157,5.0500000000000035e-05,,,,,,
0,40.0,BASE,-796.622938973563,4.855663911992615e-05,,,,,,
0,41.0,BASE,-802.2374812534878,4.6616274761471715e-05,,,,,,
0,42.0,BASE,-808.1185586111886,4.468189882583708e-05,,,,,,
0,43.0,BASE,-814.5406243460519,4.275649398050862e-05,,,,,,
0,44.0,BASE,-819.5038245064871,4.084302906020169e-05,,,,,,
0,45.0,BASE,-825.5246244158063,3.894445448913272e-05,,,,,,
0,46.0,BASE,-830.5358003888812,3.7063697731678844e-05,,,,,,
0,47.0,BASE,-835.7599672589984,3.520365877844013e-05,,,,,,
0,48.0,BASE,-839.9625756399972,3.336720567466413e-05,,,,,,
0,49.0,BASE,-844.883549281529,3.1557170097928076e-05,,,,,,
0,50.0,BASE,-849.0947647094727,2.9776342991897346e-05,,,,,,
0,51.0,BASE,-852.8422154017857,2.8027470262892457e-05,,,,,,
0,52.0,BASE,-856.5192380632673,2.6313248545900743e-05,,,,,,
0,53.0,BASE,-860.7649895804269,2.463632104656055e-05,,,,,,
0,54.0,BASE,-864.3360094342913,2.2999273465529702e-05,,,,,,
0,55.0,BASE,-867.4800262451172,2.14046300115226e-05,,,,,,
0,56.0,BASE,-871.1277062552316,1.9854849509163244e-05,,,,,,
0,57.0,BASE,-873.9468678065708,1.835232160765593e-05,,,,,,
0,58.0,BASE,-876.8980887276786,1.6899363096119407e-05,,,,,,
0,59.0,BASE,-878.8050711495536,1.549821433126591e-05,,,,,,
0,60.0,BASE,-882.0851821899414,1.4151035782933568e-05,,,,,,
0,61.0,BASE,-884.0705936976841,1.2859904702798476e-05,,,,,,
0,62.0,BASE,-886.3283833095005,1.1626811921403126e-05,,,,,,
0,63.0,BASE,-888.2216175624302,1.0453658778440112e-05,,,,,,
0,64.0,BASE,-890.0169100080218,9.342254191024027e-06,,,,,,
0,65.0,BASE,-892.0008828299386,8.29431186447244e-06,,,,,,
0,66.0,BASE,-893.5347366333008,7.311447649896553e-06,,,,,,
0,67.0,BASE,-895.1801289149693,6.395177052675796e-06,,,,,,
0,68.0,BASE,-895.9629865373884,5.546912895658473e-06,,,,,,
0,69.0,BASE,-897.3010733468192,4.767963140691306e-06,,,,,,
0,70.0,BASE,-898.3002362932477,4.059528871837034e-06,,,,,,
0,71.0,BASE,-899.1844220842634,3.4227024433898998e-06,,,,,,
0,72.0,BASE,-899.7236851283482,2.858465795544465e-06,,,,,,
0,73.0,BASE,-900.5791767665318,2.36768894031501e-06,,,,,,
0,74.0,BASE,-901.1574358258929,1.9511286200400934e-06,,,,,,
0,75.0,BASE,-901.5207148960659,1.6094271405406857e-06,,,,,,
0,76.0,BASE,-902.078142438616,1.3431113807311483e-06,,,,,,
0,77.0,BASE,-902.4738061087472,1.1525919802101657e-06,,,,,,
0,78.0,BASE,-902.7626124790737,1.0381627060842166e-06,,,,,,
0,79.0,BASE,-903.022337777274,1.0000000000000002e-06,,,,,,
1,0.0,FAST,2977.1626531427555,5e-05,,,,,,
1,1.0,FAST,293.2284929680102,0.0001,,,,,,
1,2.0,FAST,72.05834966717345,9.996183729391579e-05,,,,,,
1,3.0,FAST,-0.20938130581017697,9.984740801978984e-05,,,,,,
1,4.0,FAST,-46.62175467520049,9.965688861926886e-05,,,,,,
1,5.0,FAST,-76.18289242368756,9.939057285945933e-05,,,,,,
1,6.0,FAST,-98.3257124929717,9.904887137995992e-05,,,,,,
1,7.0,FAST,-116.79132288152522,9.8632311059685e-05,,,,,,
1,8.0,FAST,-133.2336277817235,9.814153420445554e-05,,,,,,
1,9.0,FAST,-147.03793427438447,9.757729755661012e-05,,,,,,
1,10.0,FAST,-158.05196172540838,9.694047112816299e-05,,,,,,
1,11.0,FAST,-168.2178867224491,9.62320368593087e-05,,,,,,
1,12.0,FAST,-176.52574666341147,9.545308710434153e-05,,,,,,
1,13.0,FAST,-185.18366680723247,9.460482294732421e-05,,,,,,
1,14.0,FAST,-192.64415856563684,9.368855235010347e-05,,,,,,
1,15.0,FAST,-198.82376699736625,9.270568813552756e-05,,,,,,
1,16.0,FAST,-206.01129843971947,9.1657745808976e-05,,,,,,
1,17.0,FAST,-211.8253280177261,9.05463412215599e-05,,,,,,
1,18.0,FAST,-217.11139517119437,8.937318807859687e-05,,,,,,
1,19.0,FAST,-222.57676003196022,8.814009529720155e-05,,,,,,
1,20.0,FAST,-227.3533708976977,8.684896421706645e-05,,,,,,
1,21.0,FAST,-231.8185078014027,8.550178566873411e-05,,,,,,
1,22.0,FAST,-236.51459849964488,8.410063690388064e-05,,,,,,
1,23.0,FAST,-240.6066778934363,8.264767839234411e-05,,,,,,
1,24.0,FAST,-244.52234025435015,8.114515049083679e-05,,,,,,
1,25.0,FAST,-248.00126832904238,7.959536998847744e-05,,,,,,
1,26.0,FAST,-251.85929408217922,7.800072653447033e-05,,,,,,
1,27.0,FAST,-255.07237197413588,7.636367895343949e-05,,,,,,
1,28.0,FAST,-258.1879216974432,7.46867514540993e-05,,,,,,
