class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.7647,0.9603354775511452,False,1.0
capsules,1,0.667,0.9260392905770353,False,1.0
cashew,2,0.7429999999999999,0.9387878854620939,False,1.0
chewinggum,3,0.7558,0.983393880322926,False,1.0
fryum,4,0.9291999999999999,0.8488693592887198,False,1.0
macaroni1,5,0.7219,0.9436736062230839,False,1.0
macaroni2,6,0.653,0.7989375607638268,False,1.0
pcb1,7,0.8184,0.9765813089498444,False,1.0
pcb2,8,0.7107,0.9269025791592981,False,1.0
pcb3,9,0.7568316831683168,0.9584452239660135,False,1.0
pcb4,10,0.9292079207920791,0.9532813305844381,False,1.0
pipe_fryum,11,0.886,0.9815809629545135,True,1.0
Average,,0.777978300330033,0.9330690388169116,,1.0
Task_0_Average,0,0.7647,0.9603354775511452,,1.0
Task_1_Average,1,0.667,0.9260392905770353,,1.0
Task_2_Average,2,0.7429999999999999,0.9387878854620939,,1.0
Task_3_Average,3,0.7558,0.983393880322926,,1.0
Task_4_Average,4,0.9291999999999999,0.8488693592887198,,1.0
Task_5_Average,5,0.7219,0.9436736062230839,,1.0
Task_6_Average,6,0.653,0.7989375607638268,,1.0
Task_7_Average,7,0.8184,0.9765813089498444,,1.0
Task_8_Average,8,0.7107,0.9269025791592981,,1.0
Task_9_Average,9,0.7568316831683168,0.9584452239660135,,1.0
Task_10_Average,10,0.9292079207920791,0.9532813305844381,,1.0
Task_11_Average,11,0.886,0.9815809629545135,,1.0
