Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.7647,0.9603,0.6732,0.1221
1,capsules,100.00,0.6670,0.9260,0.7799,0.1025
2,cashew,100.00,0.7430,0.9388,0.8581,0.2735
3,chewinggum,100.00,0.7558,0.9834,0.8167,0.4266
4,fryum,100.00,0.9292,0.8489,0.9670,0.3742
5,macaroni1,100.00,0.7219,0.9437,0.6516,0.0381
6,macaroni2,100.00,0.6530,0.7989,0.6339,0.0042
7,pcb1,100.00,0.8184,0.9766,0.7622,0.2552
8,pcb2,100.00,0.7107,0.9269,0.6951,0.0690
9,pcb3,100.00,0.7568,0.9584,0.7568,0.2005
10,pcb4,100.00,0.9292,0.9533,0.8629,0.1817
11,pipe_fryum,100.00,0.8860,0.9816,0.9273,0.4472
Mean,Overall,100.00,0.7780*,0.9331*,0.7820*,0.2079*
