metric,value
experiment_name,VISA-Exp5-WRN50-MoLE4-DIA2-TailW0.7-lr3e-4
strategy,MoLE-Flow
final_average_img_auc,0.777978300330033
final_average_pixel_auc,0.9330690388169116
final_average_img_ap,0.7820451312626461
final_average_pixel_ap,0.2078998322054754
total_classes,12
total_tasks,12
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
candle_img_auc,0.7647
candle_pixel_auc,0.9603354775511452
candle_img_ap,0.6731783493383119
candle_pixel_ap,0.12207258302297823
capsules_img_auc,0.667
capsules_pixel_auc,0.9260392905770353
capsules_img_ap,0.7799174039776042
capsules_pixel_ap,0.1024552455631749
cashew_img_auc,0.7429999999999999
cashew_pixel_auc,0.9387878854620939
cashew_img_ap,0.8580847802726607
cashew_pixel_ap,0.27348288345031985
chewinggum_img_auc,0.7558
chewinggum_pixel_auc,0.983393880322926
chewinggum_img_ap,0.8166809384104436
chewinggum_pixel_ap,0.4266193183876587
fryum_img_auc,0.9291999999999999
fryum_pixel_auc,0.8488693592887198
fryum_img_ap,0.966959236580742
fryum_pixel_ap,0.37420735696926727
macaroni1_img_auc,0.7219
macaroni1_pixel_auc,0.9436736062230839
macaroni1_img_ap,0.6515790672492737
macaroni1_pixel_ap,0.03812412967938531
macaroni2_img_auc,0.653
macaroni2_pixel_auc,0.7989375607638268
macaroni2_img_ap,0.6338953936300435
macaroni2_pixel_ap,0.004234333780730898
pcb1_img_auc,0.8184
pcb1_pixel_auc,0.9765813089498444
pcb1_img_ap,0.762176829525884
pcb1_pixel_ap,0.2551910055401078
pcb2_img_auc,0.7107
pcb2_pixel_auc,0.9269025791592981
pcb2_img_ap,0.6951198717348642
pcb2_pixel_ap,0.06899650367284296
pcb3_img_auc,0.7568316831683168
pcb3_pixel_auc,0.9584452239660135
pcb3_img_ap,0.7567784497854524
pcb3_pixel_ap,0.20048581563000364
pcb4_img_auc,0.9292079207920791
pcb4_pixel_auc,0.9532813305844381
pcb4_img_ap,0.8629081745597135
pcb4_pixel_ap,0.18168312158690575
pipe_fryum_img_auc,0.886
pipe_fryum_pixel_auc,0.9815809629545135
pipe_fryum_img_ap,0.9272630800867581
pipe_fryum_pixel_ap,0.44724568918232943
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
oracle_mean_img_auc,0.777978300330033
oracle_mean_pixel_auc,0.9330690388169116
