Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8024,0.9647,0.7389,0.1623
1,capsules,100.00,0.6878,0.9477,0.7881,0.1524
2,cashew,100.00,0.7986,0.9693,0.8930,0.3599
3,chewinggum,100.00,0.7806,0.9860,0.8303,0.4246
4,fryum,100.00,0.9398,0.8909,0.9723,0.4161
5,macaroni1,100.00,0.7318,0.9741,0.6724,0.0590
6,macaroni2,100.00,0.6895,0.8712,0.6754,0.0062
7,pcb1,100.00,0.8232,0.9863,0.7631,0.3696
8,pcb2,100.00,0.7447,0.9540,0.7313,0.0822
9,pcb3,100.00,0.7474,0.9678,0.7575,0.2323
10,pcb4,100.00,0.9380,0.9626,0.8802,0.2067
11,pipe_fryum,100.00,0.8988,0.9788,0.9367,0.4731
Mean,Overall,100.00,0.7986*,0.9545*,0.8033*,0.2454*
