metric,value
experiment_name,VISA-Exp6-WRN50-TailW0.85-TailTopK0.03-LoRA128-100ep
strategy,MoLE-Flow
final_average_img_auc,0.7985565731573158
final_average_pixel_auc,0.9544606340840028
final_average_img_ap,0.8032620379521825
final_average_pixel_ap,0.24537223817188827
total_classes,12
total_tasks,12
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
candle_img_auc,0.8024
candle_pixel_auc,0.9647342368363054
candle_img_ap,0.7388630908384679
candle_pixel_ap,0.1622932386276721
capsules_img_auc,0.6878333333333333
capsules_pixel_auc,0.9476652050008946
capsules_img_ap,0.7880793173364676
capsules_pixel_ap,0.15240164872076475
cashew_img_auc,0.7986
cashew_pixel_auc,0.9693148403275826
cashew_img_ap,0.8930435188477444
cashew_pixel_ap,0.35989905207464135
chewinggum_img_auc,0.7806
chewinggum_pixel_auc,0.9859532417381119
chewinggum_img_ap,0.8303223100694141
chewinggum_pixel_ap,0.42457770920957116
fryum_img_auc,0.9398
fryum_pixel_auc,0.8909210159270842
fryum_img_ap,0.9723110504916792
fryum_pixel_ap,0.41608751977100517
macaroni1_img_auc,0.7318
macaroni1_pixel_auc,0.9741475277415793
macaroni1_img_ap,0.6723703644750296
macaroni1_pixel_ap,0.05898131677543071
macaroni2_img_auc,0.6895
macaroni2_pixel_auc,0.8712127751382717
macaroni2_img_ap,0.675353076400656
macaroni2_pixel_ap,0.0062446192094827565
pcb1_img_auc,0.8232
pcb1_pixel_auc,0.9863422906530332
pcb1_img_ap,0.7631439103396409
pcb1_pixel_ap,0.3696143154865207
pcb2_img_auc,0.7447
pcb2_pixel_auc,0.954034226649528
pcb2_img_ap,0.7312669145548574
pcb2_pixel_ap,0.08222512478951431
pcb3_img_auc,0.7474257425742574
pcb3_pixel_auc,0.9677930357948267
pcb3_img_ap,0.7574566042584223
pcb3_pixel_ap,0.23233060019931978
pcb4_img_auc,0.938019801980198
pcb4_pixel_auc,0.9625601920227056
pcb4_img_ap,0.8802170687060031
pcb4_pixel_ap,0.20668298622415637
pipe_fryum_img_auc,0.8987999999999999
pipe_fryum_pixel_auc,0.9788490211781118
pipe_fryum_img_ap,0.936717229107809
pipe_fryum_pixel_ap,0.47312872697457986
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
task_3_routing_accuracy,1.0
task_4_routing_accuracy,1.0
task_5_routing_accuracy,1.0
task_6_routing_accuracy,1.0
task_7_routing_accuracy,1.0
task_8_routing_accuracy,1.0
task_9_routing_accuracy,1.0
task_10_routing_accuracy,1.0
task_11_routing_accuracy,1.0
oracle_mean_img_auc,0.7985565731573158
oracle_mean_pixel_auc,0.9544606340840028
