class_name,task_id,img_auc,pixel_auc,is_current_task,routing_accuracy
candle,0,0.8966,0.8978203195830744,False,1.0
capsules,1,0.8734999999999999,0.9702446104375233,False,1.0
cashew,2,0.9687999999999999,0.9810601979460775,False,1.0
chewinggum,3,0.9394,0.9529698373455481,False,1.0
fryum,4,0.9394,0.938646493933855,False,1.0
macaroni1,5,0.8817999999999999,0.9276028014421998,False,1.0
macaroni2,6,0.698,0.8172675611581687,False,1.0
pcb1,7,0.9454,0.9844638203083651,False,1.0
pcb2,8,0.9173000000000001,0.9633265574028216,False,1.0
pcb3,9,0.8772277227722772,0.9526375582960144,False,1.0
pcb4,10,0.9725742574257425,0.9546516282775684,False,1.0
pipe_fryum,11,0.9591999999999999,0.9814225159514682,True,0.9866666666666667
Average,,0.9057668316831683,0.9435094918402238,,0.9988888888888888
Task_0_Average,0,0.8966,0.8978203195830744,,1.0
Task_1_Average,1,0.8734999999999999,0.9702446104375233,,1.0
Task_2_Average,2,0.9687999999999999,0.9810601979460775,,1.0
Task_3_Average,3,0.9394,0.9529698373455481,,1.0
Task_4_Average,4,0.9394,0.938646493933855,,1.0
Task_5_Average,5,0.8817999999999999,0.9276028014421998,,1.0
Task_6_Average,6,0.698,0.8172675611581687,,1.0
Task_7_Average,7,0.9454,0.9844638203083651,,1.0
Task_8_Average,8,0.9173000000000001,0.9633265574028216,,1.0
Task_9_Average,9,0.8772277227722772,0.9526375582960144,,1.0
Task_10_Average,10,0.9725742574257425,0.9546516282775684,,1.0
Task_11_Average,11,0.9591999999999999,0.9814225159514682,,0.9866666666666667
