Task ID,Class Name,Routing Acc (%),Image AUC,Pixel AUC,Image AP,Pixel AP
0,candle,100.00,0.8775,0.8222,0.8811,0.0999
1,capsules,100.00,0.6472,0.9121,0.7834,0.2760
2,cashew,100.00,0.9001,0.8895,0.9518,0.3558
3,chewinggum,100.00,0.9280,0.9736,0.9643,0.3865
4,fryum,100.00,0.9144,0.7054,0.9622,0.2721
5,macaroni1,100.00,0.8238,0.9473,0.8177,0.0813
6,macaroni2,100.00,0.7345,0.6764,0.7035,0.0067
7,pcb1,100.00,0.9169,0.9646,0.9063,0.5690
8,pcb2,100.00,0.9039,0.9076,0.9028,0.1051
9,pcb3,100.00,0.8750,0.9435,0.8821,0.2897
10,pcb4,100.00,0.9448,0.9044,0.9045,0.2179
11,pipe_fryum,100.00,0.8966,0.8712,0.9479,0.4691
Mean,Overall,100.00,0.8635*,0.8765*,0.8840*,0.2608*
