experiment_name,image_auc,pixel_auc,pixel_ap,routing_acc,backbone,num_epochs,lr,lora_rank,num_coupling_layers,dia_n_blocks,tail_weight,lambda_logdet,num_tasks
VISA-Exp1-ViT-ImgAUC-120ep-TailW0.7-DIA6-C10,0.9057,0.9407,0.9153,99.83,vit_base_patch16_224.augreg2_in21k_ft_in1k,120,0.0001,64,10,N/A,N/A,N/A,12
VISA-Exp2-WRN50-PixelAP-MoLE6-DIA2-TailW0.7,0.7896,0.9431,0.7920,100.00,wide_resnet50_2,80,0.0002,64,6,N/A,N/A,N/A,12
VISA-Exp3-WRN50-LogDet2e-4-ScaleK7-TailW0.6,0.8761,0.9425,0.8848,100.00,wide_resnet50_2,80,0.0002,64,8,N/A,N/A,N/A,12
VISA-Exp4-ViT-Balanced-LogDet2e-4-ScaleK7-DIA4,0.8954,0.9224,0.9041,99.89,vit_base_patch16_224.augreg2_in21k_ft_in1k,80,0.0001,64,8,N/A,N/A,N/A,12
VISA-Exp5-WRN50-MoLE4-DIA2-TailW0.7-lr3e-4,0.7780,0.9331,0.7820,100.00,wide_resnet50_2,80,0.0003,64,4,N/A,N/A,N/A,12
VISA-Exp6-WRN50-TailW0.85-TailTopK0.03-LoRA128-100ep,0.7986,0.9545,0.8033,100.00,wide_resnet50_2,100,0.0002,128,8,N/A,N/A,N/A,12
VISA-Exp7-ViT-lr8e-5-150ep-LoRA128-DIA8-C12,0.9058,0.9435,0.9140,99.89,vit_base_patch16_224.augreg2_in21k_ft_in1k,150,8e-05,128,12,N/A,N/A,N/A,12
VISA-Exp8-WRN50-AggressiveLocalization-LogDet3e-4-ScaleK9,0.8635,0.8765,0.8840,100.00,wide_resnet50_2,100,0.0002,64,6,N/A,N/A,N/A,12
VisA-Exp1-Baseline-MoLE6-DIA2,N/A,N/A,N/A,N/A,wide_resnet50_2,60,0.0003,64,6,N/A,N/A,N/A,12
VisA-Exp2-HighPixAP-TailW1.0-100ep,N/A,N/A,N/A,N/A,wide_resnet50_2,100,0.0003,64,6,N/A,N/A,N/A,12
VisA-Exp3-StrongReg-DIA4-lr2e-4,N/A,N/A,N/A,N/A,wide_resnet50_2,80,0.0002,32,6,N/A,N/A,N/A,12
VisA-Exp4-MaxPixAP-MoLE8-DIA4,N/A,N/A,N/A,N/A,wide_resnet50_2,100,0.0002,64,8,N/A,N/A,N/A,12
