task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,253.66392720540364,9.984740801978984e-05,,,,,,
0,1.0,BASE,87.14622548421224,9.939057285945931e-05,,,,,,
0,2.0,BASE,-108.21376444498698,9.863231105968498e-05,,,,,,
0,3.0,BASE,-265.1282552083333,9.75772975566101e-05,,,,,,
0,4.0,BASE,-376.4605285644531,9.623203685930868e-05,,,,,,
0,5.0,BASE,-446.9352315266927,9.46048229473242e-05,,,,,,
0,6.0,BASE,-495.3929768880208,9.270568813552755e-05,,,,,,
0,7.0,BASE,-530.7783325195312,9.054634122155989e-05,,,,,,
0,8.0,BASE,-558.5346720377604,8.814009529720152e-05,,,,,,
0,9.0,BASE,-581.7148763020833,8.550178566873408e-05,,,,,,
0,10.0,BASE,-601.6695434570313,8.264767839234409e-05,,,,,,
0,11.0,BASE,-618.3510375976563,7.959536998847741e-05,,,,,,
0,12.0,BASE,-632.9937377929688,7.636367895343945e-05,,,,,,
0,13.0,BASE,-645.3517578125,7.297252973710755e-05,,,,,,
0,14.0,BASE,-657.0822835286458,6.944282990207194e-05,,,,,,
0,15.0,BASE,-666.788623046875,6.57963412215599e-05,,,,,,
0,16.0,BASE,-675.2736938476562,6.205554551086731e-05,,,,,,
0,17.0,BASE,-682.9069254557292,5.824350601949142e-05,,,,,,
0,18.0,BASE,-689.3943074544271,5.438372523852832e-05,,,,,,
0,19.0,BASE,-696.4219075520833,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-702.0846598307292,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-707.5512491861979,4.275649398050858e-05,,,,,,
0,22.0,BASE,-711.9564127604167,3.894445448913268e-05,,,,,,
0,23.0,BASE,-716.2813435872396,3.52036587784401e-05,,,,,,
0,24.0,BASE,-720.0237386067708,3.155717009792805e-05,,,,,,
0,25.0,BASE,-723.195235188802,2.802747026289243e-05,,,,,,
0,26.0,BASE,-726.69443359375,2.463632104656053e-05,,,,,,
0,27.0,BASE,-729.3255615234375,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-731.7307088216146,1.835232160765591e-05,,,,,,
0,29.0,BASE,-733.771805826823,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-735.6123982747396,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-737.3915974934896,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-738.3613077799479,8.294311864472434e-06,,,,,,
0,33.0,BASE,-739.9258056640625,6.395177052675791e-06,,,,,,
0,34.0,BASE,-740.2190185546875,4.767963140691304e-06,,,,,,
0,35.0,BASE,-740.8920532226563,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-741.6124267578125,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-741.9160115559896,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-742.2282999674479,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-742.3220011393229,1.0000000000000002e-06,,,,,,
1,0.0,FAST,342.714204788208,5e-05,,,,,,
