metric,value
experiment_name,baseline_v3_embed_dim_fix
strategy,MoLE-Flow
final_average_img_auc,0.8596904209497173
final_average_pixel_auc,0.9143943451090015
final_average_img_ap,0.9048197569166049
final_average_pixel_ap,0.22114616269279286
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,0.9983016304347826
leather_pixel_auc,0.9507234340169033
leather_img_ap,0.9994397131331243
leather_pixel_ap,0.09552719383154294
grid_img_auc,0.8078529657477026
grid_pixel_auc,0.8800767921021426
grid_img_ap,0.9243421146804371
grid_pixel_ap,0.09035039443821384
transistor_img_auc,0.7729166666666666
transistor_pixel_auc,0.9123828092079586
transistor_img_ap,0.7906774429362532
transistor_pixel_ap,0.4775608998086218
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.8596904209497173
oracle_mean_pixel_auc,0.9143943451090015
