task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,188044.11458333334,9.984740801978984e-05,,,,,,
0,1.0,BASE,155406.64479166668,9.939057285945931e-05,,,,,,
0,2.0,BASE,117116.08697916666,9.863231105968498e-05,,,,,,
0,3.0,BASE,86360.8453125,9.75772975566101e-05,,,,,,
0,4.0,BASE,64539.7203125,9.623203685930868e-05,,,,,,
0,5.0,BASE,50726.677083333336,9.46048229473242e-05,,,,,,
0,6.0,BASE,41228.96536458333,9.270568813552755e-05,,,,,,
0,7.0,BASE,34293.4296875,9.054634122155989e-05,,,,,,
0,8.0,BASE,28853.182942708332,8.814009529720152e-05,,,,,,
0,9.0,BASE,24309.866276041666,8.550178566873408e-05,,,,,,
0,10.0,BASE,20398.756901041666,8.264767839234409e-05,,,,,,
0,11.0,BASE,17129.180208333335,7.959536998847741e-05,,,,,,
0,12.0,BASE,14259.219205729167,7.636367895343945e-05,,,,,,
0,13.0,BASE,11837.051236979167,7.297252973710755e-05,,,,,,
0,14.0,BASE,9537.883170572917,6.944282990207194e-05,,,,,,
0,15.0,BASE,7635.445735677084,6.57963412215599e-05,,,,,,
0,16.0,BASE,5972.365462239583,6.205554551086731e-05,,,,,,
0,17.0,BASE,4476.24462890625,5.824350601949142e-05,,,,,,
0,18.0,BASE,3204.7170166015626,5.438372523852832e-05,,,,,,
0,19.0,BASE,1827.3018229166667,5.0499999999999994e-05,,,,,,
0,20.0,BASE,717.4022176106771,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-354.05323181152346,4.275649398050858e-05,,,,,,
0,22.0,BASE,-1217.4668314615885,3.894445448913268e-05,,,,,,
0,23.0,BASE,-2065.1541422526043,3.52036587784401e-05,,,,,,
0,24.0,BASE,-2798.665002441406,3.155717009792805e-05,,,,,,
0,25.0,BASE,-3420.278662109375,2.802747026289243e-05,,,,,,
0,26.0,BASE,-4106.122493489584,2.463632104656053e-05,,,,,,
0,27.0,BASE,-4621.8189453125,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-5093.23466796875,1.835232160765591e-05,,,,,,
0,29.0,BASE,-5493.283723958333,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-5854.04072265625,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-6202.763151041667,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-6392.833984375,8.294311864472434e-06,,,,,,
0,33.0,BASE,-6699.471158854167,6.395177052675791e-06,,,,,,
0,34.0,BASE,-6756.94091796875,4.767963140691304e-06,,,,,,
0,35.0,BASE,-6888.856754557291,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-7030.051497395833,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-7089.5552734375,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-7150.757845052083,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-7169.121419270833,1.0000000000000002e-06,,,,,,
1,0.0,FAST,139096.3779296875,5e-05,,,,,,
1,1.0,FAST,112672.4912109375,0.0001,,,,,,
1,2.0,FAST,84821.1416015625,9.984740801978984e-05,,,,,,
1,3.0,FAST,67439.88891601562,9.939057285945931e-05,,,,,,
1,4.0,FAST,61823.198974609375,9.863231105968498e-05,,,,,,
1,5.0,FAST,57855.68359375,9.75772975566101e-05,,,,,,
1,6.0,FAST,53607.261962890625,9.623203685930868e-05,,,,,,
1,7.0,FAST,48949.750244140625,9.46048229473242e-05,,,,,,
1,8.0,FAST,44290.406005859375,9.270568813552755e-05,,,,,,
1,9.0,FAST,40287.718994140625,9.054634122155989e-05,,,,,,
1,10.0,FAST,36663.818359375,8.814009529720152e-05,,,,,,
1,11.0,FAST,33842.071044921875,8.550178566873408e-05,,,,,,
1,12.0,FAST,31378.565673828125,8.264767839234409e-05,,,,,,
1,13.0,FAST,29379.461303710938,7.959536998847741e-05,,,,,,
1,14.0,FAST,27763.793334960938,7.636367895343945e-05,,,,,,
1,15.0,FAST,26145.951293945312,7.297252973710755e-05,,,,,,
1,16.0,FAST,24702.686401367188,6.944282990207194e-05,,,,,,
1,17.0,FAST,23587.336669921875,6.57963412215599e-05,,,,,,
1,18.0,FAST,22520.594360351562,6.205554551086731e-05,,,,,,
1,19.0,FAST,21473.259399414062,5.824350601949142e-05,,,,,,
1,20.0,FAST,20366.382446289062,5.438372523852832e-05,,,,,,
1,21.0,FAST,19739.677490234375,5.0499999999999994e-05,,,,,,
1,22.0,FAST,18799.866271972656,4.6616274761471674e-05,,,,,,
1,23.0,FAST,18147.399291992188,4.275649398050858e-05,,,,,,
1,24.0,FAST,17545.343383789062,3.894445448913268e-05,,,,,,
1,25.0,FAST,16825.74432373047,3.52036587784401e-05,,,,,,
1,26.0,FAST,16341.454833984375,3.155717009792805e-05,,,,,,
1,27.0,FAST,15648.7978515625,2.802747026289243e-05,,,,,,
1,28.0,FAST,15119.6728515625,2.463632104656053e-05,,,,,,
1,29.0,FAST,14914.341491699219,2.1404630011522583e-05,,,,,,
1,30.0,FAST,14503.366333007812,1.835232160765591e-05,,,,,,
1,31.0,FAST,14292.172546386719,1.5498214331265897e-05,,,,,,
1,32.0,FAST,14045.231018066406,1.2859904702798466e-05,,,,,,
1,33.0,FAST,13778.675903320312,1.0453658778440104e-05,,,,,,
1,34.0,FAST,13687.300109863281,8.294311864472434e-06,,,,,,
1,35.0,FAST,13448.458862304688,6.395177052675791e-06,,,,,,
1,36.0,FAST,13198.414428710938,4.767963140691304e-06,,,,,,
1,37.0,FAST,13223.416442871094,3.4227024433898985e-06,,,,,,
1,38.0,FAST,13191.076904296875,2.3676889403150093e-06,,,,,,
1,39.0,FAST,13230.301513671875,1.6094271405406855e-06,,,,,,
2,0.0,FAST,147444.83052884616,5e-05,,,,,,
2,1.0,FAST,128926.41766826923,0.0001,,,,,,
2,2.0,FAST,109249.92127403847,9.984740801978984e-05,,,,,,
2,3.0,FAST,93208.62199519231,9.939057285945931e-05,,,,,,
2,4.0,FAST,82761.19411057692,9.863231105968498e-05,,,,,,
2,5.0,FAST,76047.34735576923,9.75772975566101e-05,,,,,,
2,6.0,FAST,70917.97896634616,9.623203685930868e-05,,,,,,
2,7.0,FAST,65526.297175480766,9.46048229473242e-05,,,,,,
2,8.0,FAST,59783.359675480766,9.270568813552755e-05,,,,,,
2,9.0,FAST,55019.62289663462,9.054634122155989e-05,,,,,,
2,10.0,FAST,51489.177283653844,8.814009529720152e-05,,,,,,
2,11.0,FAST,48927.984375,8.550178566873408e-05,,,,,,
2,12.0,FAST,46892.071814903844,8.264767839234409e-05,,,,,,
2,13.0,FAST,45395.797776442305,7.959536998847741e-05,,,,,,
2,14.0,FAST,44089.626502403844,7.636367895343945e-05,,,,,,
2,15.0,FAST,42954.359375,7.297252973710755e-05,,,,,,
2,16.0,FAST,41919.909855769234,6.944282990207194e-05,,,,,,
2,17.0,FAST,41053.84645432692,6.57963412215599e-05,,,,,,
2,18.0,FAST,40287.27463942308,6.205554551086731e-05,,,,,,
2,19.0,FAST,39396.499098557695,5.824350601949142e-05,,,,,,
2,20.0,FAST,38851.155348557695,5.438372523852832e-05,,,,,,
2,21.0,FAST,38256.950120192305,5.0499999999999994e-05,,,,,,
2,22.0,FAST,37555.518629807695,4.6616274761471674e-05,,,,,,
2,23.0,FAST,36994.44861778846,4.275649398050858e-05,,,,,,
2,24.0,FAST,36401.896033653844,3.894445448913268e-05,,,,,,
2,25.0,FAST,36007.65625,3.52036587784401e-05,,,,,,
2,26.0,FAST,35487.06189903846,3.155717009792805e-05,,,,,,
2,27.0,FAST,35063.036658653844,2.802747026289243e-05,,,,,,
2,28.0,FAST,34715.851862980766,2.463632104656053e-05,,,,,,
2,29.0,FAST,34382.454026442305,2.1404630011522583e-05,,,,,,
2,30.0,FAST,34067.91796875,1.835232160765591e-05,,,,,,
2,31.0,FAST,33856.86328125,1.5498214331265897e-05,,,,,,
2,32.0,FAST,33702.02734375,1.2859904702798466e-05,,,,,,
2,33.0,FAST,33543.267277644234,1.0453658778440104e-05,,,,,,
2,34.0,FAST,33282.978816105766,8.294311864472434e-06,,,,,,
2,35.0,FAST,33121.311448317305,6.395177052675791e-06,,,,,,
2,36.0,FAST,33060.086989182695,4.767963140691304e-06,,,,,,
2,37.0,FAST,32899.83924278846,3.4227024433898985e-06,,,,,,
2,38.0,FAST,32913.531550480766,2.3676889403150093e-06,,,,,,
2,39.0,FAST,32834.827824519234,1.6094271405406855e-06,,,,,,
0,,,,,leather,1.0,0.9797175208989369,1.0000000000000002,0.19041148603700037,1.0
0,,,,,Task_0_Average,1.0,0.9797175208989369,1.0000000000000002,0.19041148603700037,1.0
-1,,,,,Overall_Average,1.0,0.9797175208989369,1.0000000000000002,0.19041148603700037,1.0
0,,,,,leather,1.0,0.9797175208989369,1.0000000000000002,0.19041148603700037,1.0
1,,,,,grid,0.7610693400167085,0.9297645815436623,0.8910256912626764,0.18149258288082631,1.0
0,,,,,Task_0_Average,1.0,0.9797175208989369,1.0000000000000002,0.19041148603700037,1.0
1,,,,,Task_1_Average,0.7610693400167085,0.9297645815436623,0.8910256912626764,0.18149258288082631,1.0
-1,,,,,Overall_Average,0.8805346700083543,0.9547410512212996,0.9455128456313383,0.18595203445891334,1.0
0,,,,,leather,1.0,0.9797175208989369,1.0000000000000002,0.19041148603700037,1.0
1,,,,,grid,0.7610693400167085,0.9297645815436623,0.8910256912626764,0.18149258288082631,1.0
2,,,,,transistor,0.6391666666666665,0.8387275553818051,0.5540958430927013,0.21279363044344257,1.0
