metric,value
experiment_name,baseline_v3_embed_fix_jacobian_fix_no_ln_after_task0
strategy,MoLE-Flow
final_average_img_auc,0.8000786688944584
final_average_pixel_auc,0.9160698859414681
final_average_img_ap,0.8150405114517927
final_average_pixel_ap,0.1948992331204231
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9797175208989369
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.19041148603700037
grid_img_auc,0.7610693400167085
grid_pixel_auc,0.9297645815436623
grid_img_ap,0.8910256912626764
grid_pixel_ap,0.18149258288082631
transistor_img_auc,0.6391666666666665
transistor_pixel_auc,0.8387275553818051
transistor_img_ap,0.5540958430927013
transistor_pixel_ap,0.21279363044344257
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.8000786688944584
oracle_mean_pixel_auc,0.9160698859414681
