metric,value
experiment_name,baseline_v3_embed_fix_jacobian_fix_soft_ln_init_scale_0.01_lambda_logdet_1e-5_spatial_context_kernel_3
strategy,MoLE-Flow
final_average_img_auc,0.8199091478696742
final_average_pixel_auc,0.9176381729029742
final_average_img_ap,0.8496679776387192
final_average_pixel_ap,0.22777613767005048
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9799817374673679
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.19484170826145675
grid_img_auc,0.7243107769423559
grid_pixel_auc,0.8848566774132357
grid_img_ap,0.8674190895182898
grid_pixel_ap,0.12261725583824425
transistor_img_auc,0.7354166666666666
transistor_pixel_auc,0.8880761038283187
transistor_img_ap,0.6815848433978677
transistor_pixel_ap,0.3658694489104505
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.8199091478696742
oracle_mean_pixel_auc,0.9176381729029742
