task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,187823.12916666668,9.984740801978984e-05,,,,,,
0,1.0,BASE,156158.8,9.939057285945931e-05,,,,,,
0,2.0,BASE,117742.81302083333,9.863231105968498e-05,,,,,,
0,3.0,BASE,85742.00989583334,9.75772975566101e-05,,,,,,
0,4.0,BASE,62775.58802083333,9.623203685930868e-05,,,,,,
0,5.0,BASE,47862.408854166664,9.46048229473242e-05,,,,,,
0,6.0,BASE,37506.2390625,9.270568813552755e-05,,,,,,
0,7.0,BASE,29784.011588541667,9.054634122155989e-05,,,,,,
0,8.0,BASE,23904.223177083335,8.814009529720152e-05,,,,,,
0,9.0,BASE,19334.779036458334,8.550178566873408e-05,,,,,,
0,10.0,BASE,15693.348177083333,8.264767839234409e-05,,,,,,
0,11.0,BASE,12497.8166015625,7.959536998847741e-05,,,,,,
0,12.0,BASE,9774.791959635417,7.636367895343945e-05,,,,,,
0,13.0,BASE,7406.197526041667,7.297252973710755e-05,,,,,,
0,14.0,BASE,5267.384488932292,6.944282990207194e-05,,,,,,
0,15.0,BASE,3384.7416829427084,6.57963412215599e-05,,,,,,
0,16.0,BASE,1771.7145650227865,6.205554551086731e-05,,,,,,
0,17.0,BASE,329.8407897949219,5.824350601949142e-05,,,,,,
0,18.0,BASE,-1033.4662719726562,5.438372523852832e-05,,,,,,
0,19.0,BASE,-2307.619970703125,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-3461.2858072916665,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-4488.892545572917,4.275649398050858e-05,,,,,,
0,22.0,BASE,-5368.998307291667,3.894445448913268e-05,,,,,,
0,23.0,BASE,-6275.129166666667,3.52036587784401e-05,,,,,,
0,24.0,BASE,-7011.446256510417,3.155717009792805e-05,,,,,,
0,25.0,BASE,-7683.405436197917,2.802747026289243e-05,,,,,,
0,26.0,BASE,-8372.733333333334,2.463632104656053e-05,,,,,,
0,27.0,BASE,-8948.326171875,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-9423.731510416666,1.835232160765591e-05,,,,,,
0,29.0,BASE,-9823.990625,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-10234.606705729168,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-10595.161263020833,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-10798.446354166666,8.294311864472434e-06,,,,,,
0,33.0,BASE,-11042.963020833333,6.395177052675791e-06,,,,,,
0,34.0,BASE,-11227.2587890625,4.767963140691304e-06,,,,,,
