task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,187823.128125,9.984740801978984e-05,,,,,,
0,1.0,BASE,156158.77291666667,9.939057285945931e-05,,,,,,
0,2.0,BASE,117743.0015625,9.863231105968498e-05,,,,,,
0,3.0,BASE,85742.98333333334,9.75772975566101e-05,,,,,,
0,4.0,BASE,62776.172135416666,9.623203685930868e-05,,,,,,
0,5.0,BASE,47862.844010416666,9.46048229473242e-05,,,,,,
0,6.0,BASE,37506.66875,9.270568813552755e-05,,,,,,
0,7.0,BASE,29784.473307291668,9.054634122155989e-05,,,,,,
0,8.0,BASE,23904.722916666666,8.814009529720152e-05,,,,,,
0,9.0,BASE,19335.280208333334,8.550178566873408e-05,,,,,,
0,10.0,BASE,15693.945768229167,8.264767839234409e-05,,,,,,
0,11.0,BASE,12498.431119791667,7.959536998847741e-05,,,,,,
0,12.0,BASE,9775.398177083332,7.636367895343945e-05,,,,,,
0,13.0,BASE,7406.818391927083,7.297252973710755e-05,,,,,,
0,14.0,BASE,5268.026188151041,6.944282990207194e-05,,,,,,
0,15.0,BASE,3385.2656087239584,6.57963412215599e-05,,,,,,
0,16.0,BASE,1772.3268798828126,6.205554551086731e-05,,,,,,
0,17.0,BASE,330.5164428710938,5.824350601949142e-05,,,,,,
0,18.0,BASE,-1032.4773986816406,5.438372523852832e-05,,,,,,
0,19.0,BASE,-2306.44755859375,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-3460.1793538411457,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-4487.751025390625,4.275649398050858e-05,,,,,,
0,22.0,BASE,-5367.868782552084,3.894445448913268e-05,,,,,,
0,23.0,BASE,-6274.115462239583,3.52036587784401e-05,,,,,,
0,24.0,BASE,-7010.45634765625,3.155717009792805e-05,,,,,,
0,25.0,BASE,-7682.415397135416,2.802747026289243e-05,,,,,,
0,26.0,BASE,-8371.7568359375,2.463632104656053e-05,,,,,,
0,27.0,BASE,-8947.346354166666,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-9422.73955078125,1.835232160765591e-05,,,,,,
0,29.0,BASE,-9823.021744791668,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-10233.613932291666,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-10594.280989583332,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-10797.4787109375,8.294311864472434e-06,,,,,,
0,33.0,BASE,-11042.068619791668,6.395177052675791e-06,,,,,,
0,34.0,BASE,-11226.3625,4.767963140691304e-06,,,,,,
0,35.0,BASE,-11394.8509765625,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-11467.8828125,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-11575.796028645833,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-11626.242708333333,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-11657.8923828125,1.0000000000000002e-06,,,,,,
1,0.0,FAST,130973.27587890625,5e-05,,,,,,
1,1.0,FAST,108991.63720703125,0.0001,,,,,,
1,2.0,FAST,82736.84326171875,9.984740801978984e-05,,,,,,
1,3.0,FAST,65690.57202148438,9.939057285945931e-05,,,,,,
1,4.0,FAST,60420.54052734375,9.863231105968498e-05,,,,,,
1,5.0,FAST,57017.312744140625,9.75772975566101e-05,,,,,,
1,6.0,FAST,52176.82763671875,9.623203685930868e-05,,,,,,
1,7.0,FAST,47280.203369140625,9.46048229473242e-05,,,,,,
1,8.0,FAST,42536.129638671875,9.270568813552755e-05,,,,,,
1,9.0,FAST,37997.5703125,9.054634122155989e-05,,,,,,
1,10.0,FAST,34525.318115234375,8.814009529720152e-05,,,,,,
1,11.0,FAST,31620.590454101562,8.550178566873408e-05,,,,,,
1,12.0,FAST,29427.731811523438,8.264767839234409e-05,,,,,,
1,13.0,FAST,27479.88818359375,7.959536998847741e-05,,,,,,
1,14.0,FAST,25842.138061523438,7.636367895343945e-05,,,,,,
1,15.0,FAST,24285.671997070312,7.297252973710755e-05,,,,,,
1,16.0,FAST,22718.083251953125,6.944282990207194e-05,,,,,,
1,17.0,FAST,21355.342041015625,6.57963412215599e-05,,,,,,
1,18.0,FAST,20264.995239257812,6.205554551086731e-05,,,,,,
1,19.0,FAST,19003.330627441406,5.824350601949142e-05,,,,,,
1,20.0,FAST,18320.21453857422,5.438372523852832e-05,,,,,,
1,21.0,FAST,17384.58233642578,5.0499999999999994e-05,,,,,,
1,22.0,FAST,16415.537048339844,4.6616274761471674e-05,,,,,,
1,23.0,FAST,15848.639465332031,4.275649398050858e-05,,,,,,
1,24.0,FAST,15012.203308105469,3.894445448913268e-05,,,,,,
1,25.0,FAST,14397.475708007812,3.52036587784401e-05,,,,,,
1,26.0,FAST,13961.976989746094,3.155717009792805e-05,,,,,,
1,27.0,FAST,13358.656066894531,2.802747026289243e-05,,,,,,
1,28.0,FAST,13046.978088378906,2.463632104656053e-05,,,,,,
1,29.0,FAST,12707.483154296875,2.1404630011522583e-05,,,,,,
1,30.0,FAST,12263.851806640625,1.835232160765591e-05,,,,,,
1,31.0,FAST,11898.278869628906,1.5498214331265897e-05,,,,,,
1,32.0,FAST,11756.958038330078,1.2859904702798466e-05,,,,,,
1,33.0,FAST,11587.853637695312,1.0453658778440104e-05,,,,,,
1,34.0,FAST,11513.263122558594,8.294311864472434e-06,,,,,,
1,35.0,FAST,11316.120178222656,6.395177052675791e-06,,,,,,
1,36.0,FAST,11128.997650146484,4.767963140691304e-06,,,,,,
1,37.0,FAST,10867.098266601562,3.4227024433898985e-06,,,,,,
1,38.0,FAST,10913.933532714844,2.3676889403150093e-06,,,,,,
1,39.0,FAST,10869.199523925781,1.6094271405406855e-06,,,,,,
2,0.0,FAST,146043.34975961538,5e-05,,,,,,
2,1.0,FAST,126868.73317307692,0.0001,,,,,,
2,2.0,FAST,107903.26802884616,9.984740801978984e-05,,,,,,
2,3.0,FAST,91301.04086538461,9.939057285945931e-05,,,,,,
2,4.0,FAST,80866.37439903847,9.863231105968498e-05,,,,,,
2,5.0,FAST,74151.78725961539,9.75772975566101e-05,,,,,,
2,6.0,FAST,69132.21995192308,9.623203685930868e-05,,,,,,
2,7.0,FAST,64008.000300480766,9.46048229473242e-05,,,,,,
2,8.0,FAST,58381.767127403844,9.270568813552755e-05,,,,,,
2,9.0,FAST,53626.61989182692,9.054634122155989e-05,,,,,,
2,10.0,FAST,50154.506911057695,8.814009529720152e-05,,,,,,
2,11.0,FAST,47700.444411057695,8.550178566873408e-05,,,,,,
2,12.0,FAST,45891.049879807695,8.264767839234409e-05,,,,,,
2,13.0,FAST,44287.00661057692,7.959536998847741e-05,,,,,,
2,14.0,FAST,43055.03635817308,7.636367895343945e-05,,,,,,
2,15.0,FAST,41806.042067307695,7.297252973710755e-05,,,,,,
2,16.0,FAST,40745.142127403844,6.944282990207194e-05,,,,,,
2,17.0,FAST,39778.641526442305,6.57963412215599e-05,,,,,,
2,18.0,FAST,38962.01893028846,6.205554551086731e-05,,,,,,
2,19.0,FAST,38126.429387019234,5.824350601949142e-05,,,,,,
2,20.0,FAST,37592.73617788462,5.438372523852832e-05,,,,,,
2,21.0,FAST,36776.34044471154,5.0499999999999994e-05,,,,,,
2,22.0,FAST,36354.41796875,4.6616274761471674e-05,,,,,,
2,23.0,FAST,35729.613581730766,4.275649398050858e-05,,,,,,
2,24.0,FAST,35322.264122596156,3.894445448913268e-05,,,,,,
2,25.0,FAST,34882.31850961538,3.52036587784401e-05,,,,,,
2,26.0,FAST,34434.47325721154,3.155717009792805e-05,,,,,,
2,27.0,FAST,33952.07301682692,2.802747026289243e-05,,,,,,
2,28.0,FAST,33658.40114182692,2.463632104656053e-05,,,,,,
2,29.0,FAST,33411.525390625,2.1404630011522583e-05,,,,,,
2,30.0,FAST,32910.087890625,1.835232160765591e-05,,,,,,
2,31.0,FAST,32852.407752403844,1.5498214331265897e-05,,,,,,
2,32.0,FAST,32613.357421875,1.2859904702798466e-05,,,,,,
2,33.0,FAST,32466.365234375,1.0453658778440104e-05,,,,,,
2,34.0,FAST,32377.93719951923,8.294311864472434e-06,,,,,,
2,35.0,FAST,32241.260216346152,6.395177052675791e-06,,,,,,
2,36.0,FAST,32075.31775841346,4.767963140691304e-06,,,,,,
2,37.0,FAST,32036.35216346154,3.4227024433898985e-06,,,,,,
2,38.0,FAST,32007.165564903848,2.3676889403150093e-06,,,,,,
2,39.0,FAST,31917.56730769231,1.6094271405406855e-06,,,,,,
0,,,,,leather,1.0,0.9802649737970348,1.0000000000000002,0.2009510781074318,1.0
0,,,,,Task_0_Average,1.0,0.9802649737970348,1.0000000000000002,0.2009510781074318,1.0
-1,,,,,Overall_Average,1.0,0.9802649737970348,1.0000000000000002,0.2009510781074318,1.0
0,,,,,leather,1.0,0.9802994455482822,1.0000000000000002,0.2011674594035962,1.0
1,,,,,grid,0.7786131996658312,0.9299527405358252,0.8977584064951158,0.17778034937058532,1.0
0,,,,,Task_0_Average,1.0,0.9802994455482822,1.0000000000000002,0.2011674594035962,1.0
1,,,,,Task_1_Average,0.7786131996658312,0.9299527405358252,0.8977584064951158,0.17778034937058532,1.0
-1,,,,,Overall_Average,0.8893065998329156,0.9551260930420538,0.948879203247558,0.18947390438709077,1.0
0,,,,,leather,1.0,0.9803464666652775,1.0000000000000002,0.20135920090388354,1.0
1,,,,,grid,0.7769423558897244,0.9300072676544534,0.8972108365665463,0.17814384238497435,1.0
2,,,,,transistor,0.6275000000000001,0.832776135122796,0.539381707004978,0.1966755450761721,1.0
0,,,,,Task_0_Average,1.0,0.9803464666652775,1.0000000000000002,0.20135920090388354,1.0
1,,,,,Task_1_Average,0.7769423558897244,0.9300072676544534,0.8972108365665463,0.17814384238497435,1.0
2,,,,,Task_2_Average,0.6275000000000001,0.832776135122796,0.539381707004978,0.1966755450761721,1.0
-1,,,,,Overall_Average,0.8014807852965747,0.914376623147509,0.8121975145238416,0.19205952945501,1.0
