metric,value
experiment_name,baseline_v2.0_checkpoint
strategy,MoLE-Flow
final_average_img_auc,0.8014807852965747
final_average_pixel_auc,0.914376623147509
final_average_img_ap,0.8121975145238416
final_average_pixel_ap,0.19205952945501
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9803464666652775
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.20135920090388354
grid_img_auc,0.7769423558897244
grid_pixel_auc,0.9300072676544534
grid_img_ap,0.8972108365665463
grid_pixel_ap,0.17814384238497435
transistor_img_auc,0.6275000000000001
transistor_pixel_auc,0.832776135122796
transistor_img_ap,0.539381707004978
transistor_pixel_ap,0.1966755450761721
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.8014807852965747
oracle_mean_pixel_auc,0.914376623147509
