metric,value
experiment_name,baseline_v3_embed_fix_jacobian_fix_robust_gate_norm
strategy,MoLE-Flow
final_average_img_auc,0.7918786549707603
final_average_pixel_auc,0.916294254560699
final_average_img_ap,0.804296677705466
final_average_pixel_ap,0.202397003238739
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,1.0
leather_pixel_auc,0.9819020219415806
leather_img_ap,1.0000000000000002
leather_pixel_ap,0.21655894803369122
grid_img_auc,0.7543859649122807
grid_pixel_auc,0.9314654259015595
grid_img_ap,0.8928388567994436
grid_pixel_ap,0.1976061691475811
transistor_img_auc,0.6212500000000001
transistor_pixel_auc,0.835515315838957
transistor_img_ap,0.5200511763169543
transistor_pixel_ap,0.19302589253494462
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.7918786549707603
oracle_mean_pixel_auc,0.916294254560699
