task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,168841.721875,9.984740801978984e-05,,,,,,
0,1.0,BASE,133759.55,9.939057285945931e-05,,,,,,
0,2.0,BASE,78984.3421875,9.863231105968498e-05,,,,,,
0,3.0,BASE,37551.998046875,9.75772975566101e-05,,,,,,
0,4.0,BASE,9385.771655273438,9.623203685930868e-05,,,,,,
0,5.0,BASE,-9091.848404947918,9.46048229473242e-05,,,,,,
0,6.0,BASE,-21169.121484375,9.270568813552755e-05,,,,,,
0,7.0,BASE,-30280.952473958332,9.054634122155989e-05,,,,,,
0,8.0,BASE,-37692.90182291667,8.814009529720152e-05,,,,,,
0,9.0,BASE,-43858.442708333336,8.550178566873408e-05,,,,,,
0,10.0,BASE,-49165.090104166666,8.264767839234409e-05,,,,,,
0,11.0,BASE,-53523.23255208333,7.959536998847741e-05,,,,,,
0,12.0,BASE,-57475.76171875,7.636367895343945e-05,,,,,,
0,13.0,BASE,-60872.78020833333,7.297252973710755e-05,,,,,,
0,14.0,BASE,-63890.88385416667,6.944282990207194e-05,,,,,,
0,15.0,BASE,-66632.98307291667,6.57963412215599e-05,,,,,,
0,16.0,BASE,-69048.91822916667,6.205554551086731e-05,,,,,,
0,17.0,BASE,-71181.66510416666,5.824350601949142e-05,,,,,,
0,18.0,BASE,-73366.55364583334,5.438372523852832e-05,,,,,,
0,19.0,BASE,-75187.01927083333,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-76657.87135416667,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-78194.44791666667,4.275649398050858e-05,,,,,,
0,22.0,BASE,-79459.06302083333,3.894445448913268e-05,,,,,,
0,23.0,BASE,-80600.76979166667,3.52036587784401e-05,,,,,,
0,24.0,BASE,-81698.19739583334,3.155717009792805e-05,,,,,,
0,25.0,BASE,-82533.25833333333,2.802747026289243e-05,,,,,,
0,26.0,BASE,-83470.915625,2.463632104656053e-05,,,,,,
0,27.0,BASE,-84119.403125,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-84804.20677083333,1.835232160765591e-05,,,,,,
0,29.0,BASE,-85250.81614583333,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-85738.15052083334,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-86223.7078125,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-86523.3296875,8.294311864472434e-06,,,,,,
0,33.0,BASE,-86796.04947916667,6.395177052675791e-06,,,,,,
0,34.0,BASE,-87045.8296875,4.767963140691304e-06,,,,,,
0,35.0,BASE,-87124.5875,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-87256.23177083333,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-87355.2640625,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-87456.94583333333,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-87505.33541666667,1.0000000000000002e-06,,,,,,
1,0.0,FAST,77388.79321289062,5e-05,,,,,,
1,1.0,FAST,47772.8505859375,0.0001,,,,,,
1,2.0,FAST,13259.986915588379,9.984740801978984e-05,,,,,,
1,3.0,FAST,-9186.383987426758,9.939057285945931e-05,,,,,,
1,4.0,FAST,-18661.880310058594,9.863231105968498e-05,,,,,,
1,5.0,FAST,-23903.803344726562,9.75772975566101e-05,,,,,,
1,6.0,FAST,-28402.221923828125,9.623203685930868e-05,,,,,,
1,7.0,FAST,-33588.751953125,9.46048229473242e-05,,,,,,
1,8.0,FAST,-39170.322021484375,9.270568813552755e-05,,,,,,
1,9.0,FAST,-44802.169189453125,9.054634122155989e-05,,,,,,
1,10.0,FAST,-50087.09375,8.814009529720152e-05,,,,,,
1,11.0,FAST,-54865.8076171875,8.550178566873408e-05,,,,,,
1,12.0,FAST,-58846.697509765625,8.264767839234409e-05,,,,,,
1,13.0,FAST,-62207.7978515625,7.959536998847741e-05,,,,,,
1,14.0,FAST,-65071.8583984375,7.636367895343945e-05,,,,,,
1,15.0,FAST,-67554.32690429688,7.297252973710755e-05,,,,,,
1,16.0,FAST,-69760.14892578125,6.944282990207194e-05,,,,,,
1,17.0,FAST,-71648.58935546875,6.57963412215599e-05,,,,,,
1,18.0,FAST,-73400.36865234375,6.205554551086731e-05,,,,,,
1,19.0,FAST,-75065.66455078125,5.824350601949142e-05,,,,,,
1,20.0,FAST,-76413.98974609375,5.438372523852832e-05,,,,,,
1,21.0,FAST,-77946.53125,5.0499999999999994e-05,,,,,,
1,22.0,FAST,-79089.15869140625,4.6616274761471674e-05,,,,,,
