metric,value
experiment_name,baseline_v3_embed_fix_jacobian_fix_soft_ln_init_scale_0.01_lambda_logdet_3e-5_spatial_context_kernel_5
strategy,MoLE-Flow
final_average_img_auc,0.772973330064291
final_average_pixel_auc,0.9136916748288758
final_average_img_ap,0.8223218241727648
final_average_pixel_ap,0.19344476904466823
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,0.9809782608695652
leather_pixel_auc,0.9778395419443604
leather_img_ap,0.9934449864126376
leather_pixel_ap,0.1797602533812184
grid_img_auc,0.6766917293233082
grid_pixel_auc,0.9028125252095744
grid_img_ap,0.8661459368327797
grid_pixel_ap,0.14079815983354457
transistor_img_auc,0.66125
transistor_pixel_auc,0.8604229573326924
transistor_img_ap,0.6073745492728772
transistor_pixel_ap,0.2597758939192417
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.772973330064291
oracle_mean_pixel_auc,0.9136916748288758
