task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,82290.52734375,9.984740801978984e-05,,,,,,
0,1.0,BASE,20086.0349609375,9.939057285945931e-05,,,,,,
0,2.0,BASE,-776.6657552083333,9.863231105968498e-05,,,,,,
0,3.0,BASE,-13822.516666666666,9.75772975566101e-05,,,,,,
0,4.0,BASE,-23003.485026041668,9.623203685930868e-05,,,,,,
0,5.0,BASE,-30272.908723958335,9.46048229473242e-05,,,,,,
0,6.0,BASE,-36410.794270833336,9.270568813552755e-05,,,,,,
0,7.0,BASE,-41797.480729166666,9.054634122155989e-05,,,,,,
0,8.0,BASE,-46825.66848958333,8.814009529720152e-05,,,,,,
0,9.0,BASE,-51225.06171875,8.550178566873408e-05,,,,,,
0,10.0,BASE,-55536.38958333333,8.264767839234409e-05,,,,,,
0,11.0,BASE,-58920.4234375,7.959536998847741e-05,,,,,,
0,12.0,BASE,-62992.403125,7.636367895343945e-05,,,,,,
0,13.0,BASE,-66982.45546875,7.297252973710755e-05,,,,,,
0,14.0,BASE,-69589.95677083333,6.944282990207194e-05,,,,,,
0,15.0,BASE,-73197.93645833334,6.57963412215599e-05,,,,,,
0,16.0,BASE,-75944.29166666667,6.205554551086731e-05,,,,,,
0,17.0,BASE,-78778.04010416666,5.824350601949142e-05,,,,,,
0,18.0,BASE,-81568.77760416667,5.438372523852832e-05,,,,,,
0,19.0,BASE,-83759.090625,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-85870.69635416666,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-88044.49375,4.275649398050858e-05,,,,,,
0,22.0,BASE,-89647.33125,3.894445448913268e-05,,,,,,
0,23.0,BASE,-91441.64322916667,3.52036587784401e-05,,,,,,
0,24.0,BASE,-93012.44635416666,3.155717009792805e-05,,,,,,
0,25.0,BASE,-94418.846875,2.802747026289243e-05,,,,,,
0,26.0,BASE,-95710.8625,2.463632104656053e-05,,,,,,
0,27.0,BASE,-96954.12864583333,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-97905.76197916667,1.835232160765591e-05,,,,,,
0,29.0,BASE,-98871.27291666667,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-99786.0609375,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-100423.828125,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-101204.4046875,8.294311864472434e-06,,,,,,
0,33.0,BASE,-101636.628125,6.395177052675791e-06,,,,,,
0,34.0,BASE,-102127.98697916667,4.767963140691304e-06,,,,,,
0,35.0,BASE,-102507.2296875,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-102822.06458333334,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-103004.37395833334,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-103190.51458333334,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-103336.815625,1.0000000000000002e-06,,,,,,
1,0.0,FAST,403258.669921875,5e-05,,,,,,
1,1.0,FAST,268873.1083984375,0.0001,,,,,,
1,2.0,FAST,142870.68310546875,9.984740801978984e-05,,,,,,
1,3.0,FAST,104250.12255859375,9.939057285945931e-05,,,,,,
1,4.0,FAST,70400.86254882812,9.863231105968498e-05,,,,,,
1,5.0,FAST,42395.19189453125,9.75772975566101e-05,,,,,,
1,6.0,FAST,30457.278930664062,9.623203685930868e-05,,,,,,
1,7.0,FAST,26498.697998046875,9.46048229473242e-05,,,,,,
1,8.0,FAST,24785.789794921875,9.270568813552755e-05,,,,,,
1,9.0,FAST,23334.802490234375,9.054634122155989e-05,,,,,,
1,10.0,FAST,21928.344116210938,8.814009529720152e-05,,,,,,
1,11.0,FAST,20459.45654296875,8.550178566873408e-05,,,,,,
1,12.0,FAST,18870.30615234375,8.264767839234409e-05,,,,,,
1,13.0,FAST,16990.809997558594,7.959536998847741e-05,,,,,,
1,14.0,FAST,15068.107482910156,7.636367895343945e-05,,,,,,
1,15.0,FAST,13235.858215332031,7.297252973710755e-05,,,,,,
1,16.0,FAST,11651.389038085938,6.944282990207194e-05,,,,,,
1,17.0,FAST,10204.668762207031,6.57963412215599e-05,,,,,,
1,18.0,FAST,9054.953308105469,6.205554551086731e-05,,,,,,
1,19.0,FAST,7912.383239746094,5.824350601949142e-05,,,,,,
1,20.0,FAST,6949.929901123047,5.438372523852832e-05,,,,,,
1,21.0,FAST,5806.23486328125,5.0499999999999994e-05,,,,,,
1,22.0,FAST,4903.499847412109,4.6616274761471674e-05,,,,,,
1,23.0,FAST,3898.3809814453125,4.275649398050858e-05,,,,,,
1,24.0,FAST,3053.588134765625,3.894445448913268e-05,,,,,,
1,25.0,FAST,2506.6211547851562,3.52036587784401e-05,,,,,,
1,26.0,FAST,1894.6353149414062,3.155717009792805e-05,,,,,,
1,27.0,FAST,1159.7720947265625,2.802747026289243e-05,,,,,,
1,28.0,FAST,701.59765625,2.463632104656053e-05,,,,,,
1,29.0,FAST,139.1947021484375,2.1404630011522583e-05,,,,,,
1,30.0,FAST,-297.98626708984375,1.835232160765591e-05,,,,,,
1,31.0,FAST,-696.9871826171875,1.5498214331265897e-05,,,,,,
1,32.0,FAST,-1308.8046264648438,1.2859904702798466e-05,,,,,,
1,33.0,FAST,-1404.0899658203125,1.0453658778440104e-05,,,,,,
1,34.0,FAST,-1488.1179809570312,8.294311864472434e-06,,,,,,
1,35.0,FAST,-1930.0897216796875,6.395177052675791e-06,,,,,,
1,36.0,FAST,-2111.9051513671875,4.767963140691304e-06,,,,,,
1,37.0,FAST,-2140.6842041015625,3.4227024433898985e-06,,,,,,
1,38.0,FAST,-2261.52001953125,2.3676889403150093e-06,,,,,,
1,39.0,FAST,-2311.8792724609375,1.6094271405406855e-06,,,,,,
2,0.0,FAST,297536.86298076925,5e-05,,,,,,
2,1.0,FAST,237923.31009615384,0.0001,,,,,,
2,2.0,FAST,152590.3876201923,9.984740801978984e-05,,,,,,
2,3.0,FAST,115503.17668269231,9.939057285945931e-05,,,,,,
2,4.0,FAST,91090.74278846153,9.863231105968498e-05,,,,,,
2,5.0,FAST,68201.94981971153,9.75772975566101e-05,,,,,,
2,6.0,FAST,53245.77463942308,9.623203685930868e-05,,,,,,
2,7.0,FAST,46181.84885817308,9.46048229473242e-05,,,,,,
2,8.0,FAST,42940.123497596156,9.270568813552755e-05,,,,,,
2,9.0,FAST,40934.859375,9.054634122155989e-05,,,,,,
2,10.0,FAST,39039.40745192308,8.814009529720152e-05,,,,,,
2,11.0,FAST,37138.885817307695,8.550178566873408e-05,,,,,,
2,12.0,FAST,35139.114182692305,8.264767839234409e-05,,,,,,
2,13.0,FAST,33107.99098557692,7.959536998847741e-05,,,,,,
2,14.0,FAST,31012.33338341346,7.636367895343945e-05,,,,,,
2,15.0,FAST,29022.90910456731,7.297252973710755e-05,,,,,,
2,16.0,FAST,27624.63807091346,6.944282990207194e-05,,,,,,
2,17.0,FAST,26350.943359375,6.57963412215599e-05,,,,,,
2,18.0,FAST,25031.28215144231,6.205554551086731e-05,,,,,,
2,19.0,FAST,23943.382662259617,5.824350601949142e-05,,,,,,
2,20.0,FAST,22938.335486778848,5.438372523852832e-05,,,,,,
2,21.0,FAST,22032.33458533654,5.0499999999999994e-05,,,,,,
2,22.0,FAST,21169.93269230769,4.6616274761471674e-05,,,,,,
2,23.0,FAST,20449.792217548078,4.275649398050858e-05,,,,,,
2,24.0,FAST,19664.91962139423,3.894445448913268e-05,,,,,,
2,25.0,FAST,19005.695162259617,3.52036587784401e-05,,,,,,
2,26.0,FAST,18385.52599158654,3.155717009792805e-05,,,,,,
2,27.0,FAST,17969.314302884617,2.802747026289243e-05,,,,,,
2,28.0,FAST,17429.83368389423,2.463632104656053e-05,,,,,,
2,29.0,FAST,17096.69621394231,2.1404630011522583e-05,,,,,,
2,30.0,FAST,16623.93156550481,1.835232160765591e-05,,,,,,
2,31.0,FAST,16305.76337139423,1.5498214331265897e-05,,,,,,
2,32.0,FAST,16073.364032451924,1.2859904702798466e-05,,,,,,
2,33.0,FAST,15764.100210336539,1.0453658778440104e-05,,,,,,
2,34.0,FAST,15572.115009014424,8.294311864472434e-06,,,,,,
2,35.0,FAST,15413.101186899039,6.395177052675791e-06,,,,,,
2,36.0,FAST,15347.82391826923,4.767963140691304e-06,,,,,,
2,37.0,FAST,15288.717698317309,3.4227024433898985e-06,,,,,,
2,38.0,FAST,15190.4892578125,2.3676889403150093e-06,,,,,,
2,39.0,FAST,15048.74609375,1.6094271405406855e-06,,,,,,
0,,,,,leather,1.0,0.9199421744234548,0.0,0.0,1.0
0,,,,,Task_0_Average,1.0,0.9199421744234548,0.0,0.0,1.0
-1,,,,,Overall_Average,1.0,0.9199421744234548,0.0,0.0,1.0
0,,,,,leather,1.0,0.9199421744234548,0.0,0.0,1.0
1,,,,,grid,0.5338345864661654,0.724797294213048,0.0,0.0,1.0
0,,,,,Task_0_Average,1.0,0.9199421744234548,0.0,0.0,1.0
1,,,,,Task_1_Average,0.5338345864661654,0.724797294213048,0.0,0.0,1.0
-1,,,,,Overall_Average,0.7669172932330828,0.8223697343182514,0.0,0.0,1.0
0,,,,,leather,1.0,0.9199421744234548,0.0,0.0,1.0
1,,,,,grid,0.5338345864661654,0.724797294213048,0.0,0.0,1.0
2,,,,,transistor,0.6599999999999999,0.7976569889928862,0.0,0.0,1.0
0,,,,,Task_0_Average,1.0,0.9199421744234548,0.0,0.0,1.0
1,,,,,Task_1_Average,0.5338345864661654,0.724797294213048,0.0,0.0,1.0
2,,,,,Task_2_Average,0.6599999999999999,0.7976569889928862,0.0,0.0,1.0
-1,,,,,Overall_Average,0.7312781954887217,0.8141321525431297,0.0,0.0,1.0
