task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,136.26175435384116,9.984740801978984e-05,,,,,,
0,1.0,BASE,72.45939534505209,9.939057285945931e-05,,,,,,
0,2.0,BASE,-15.915196228027344,9.863231105968498e-05,,,,,,
0,3.0,BASE,-128.41929270426434,9.75772975566101e-05,,,,,,
0,4.0,BASE,-242.1788319905599,9.623203685930868e-05,,,,,,
0,5.0,BASE,-332.54070434570315,9.46048229473242e-05,,,,,,
0,6.0,BASE,-402.68043416341146,9.270568813552755e-05,,,,,,
0,7.0,BASE,-448.2947306315104,9.054634122155989e-05,,,,,,
0,8.0,BASE,-479.4597900390625,8.814009529720152e-05,,,,,,
0,9.0,BASE,-502.6164896647135,8.550178566873408e-05,,,,,,
0,10.0,BASE,-520.7671732584636,8.264767839234409e-05,,,,,,
0,11.0,BASE,-535.9311564127604,7.959536998847741e-05,,,,,,
0,12.0,BASE,-550.0369466145834,7.636367895343945e-05,,,,,,
0,13.0,BASE,-562.5633870442708,7.297252973710755e-05,,,,,,
0,14.0,BASE,-573.4289754231771,6.944282990207194e-05,,,,,,
0,15.0,BASE,-582.6935180664062,6.57963412215599e-05,,,,,,
0,16.0,BASE,-591.3692626953125,6.205554551086731e-05,,,,,,
0,17.0,BASE,-598.9166341145833,5.824350601949142e-05,,,,,,
0,18.0,BASE,-605.397294108073,5.438372523852832e-05,,,,,,
0,19.0,BASE,-611.7005940755208,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-617.6942301432292,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-623.0350667317708,4.275649398050858e-05,,,,,,
0,22.0,BASE,-627.0878946940104,3.894445448913268e-05,,,,,,
0,23.0,BASE,-631.3512451171875,3.52036587784401e-05,,,,,,
0,24.0,BASE,-634.789628092448,3.155717009792805e-05,,,,,,
0,25.0,BASE,-637.9428426106771,2.802747026289243e-05,,,,,,
0,26.0,BASE,-640.8397420247396,2.463632104656053e-05,,,,,,
0,27.0,BASE,-643.3042317708333,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-645.6950724283854,1.835232160765591e-05,,,,,,
0,29.0,BASE,-647.4277384440104,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-649.2820475260417,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-650.8388468424479,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-651.6636678059896,8.294311864472434e-06,,,,,,
0,33.0,BASE,-652.581494140625,6.395177052675791e-06,,,,,,
0,34.0,BASE,-653.6862223307292,4.767963140691304e-06,,,,,,
0,35.0,BASE,-654.3819254557292,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-654.5953694661458,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-655.1924438476562,1.6094271405406855e-06,,,,,,
0,38.0,BASE,-655.1545735677083,1.1525919802101657e-06,,,,,,
0,39.0,BASE,-655.4709391276042,1.0000000000000002e-06,,,,,,
1,0.0,FAST,1043.8506088256836,5e-05,,,,,,
1,1.0,FAST,400.57715797424316,0.0001,,,,,,
1,2.0,FAST,0.13332462310791016,9.984740801978984e-05,,,,,,
1,3.0,FAST,-106.52999210357666,9.939057285945931e-05,,,,,,
1,4.0,FAST,-222.26116752624512,9.863231105968498e-05,,,,,,
1,5.0,FAST,-267.24789333343506,9.75772975566101e-05,,,,,,
1,6.0,FAST,-279.79826164245605,9.623203685930868e-05,,,,,,
1,7.0,FAST,-290.1915645599365,9.46048229473242e-05,,,,,,
1,8.0,FAST,-301.816707611084,9.270568813552755e-05,,,,,,
1,9.0,FAST,-313.1141757965088,9.054634122155989e-05,,,,,,
1,10.0,FAST,-325.04244804382324,8.814009529720152e-05,,,,,,
1,11.0,FAST,-334.4526786804199,8.550178566873408e-05,,,,,,
1,12.0,FAST,-345.0390510559082,8.264767839234409e-05,,,,,,
1,13.0,FAST,-354.9733657836914,7.959536998847741e-05,,,,,,
1,14.0,FAST,-363.83599853515625,7.636367895343945e-05,,,,,,
1,15.0,FAST,-372.5426826477051,7.297252973710755e-05,,,,,,
1,16.0,FAST,-379.3815383911133,6.944282990207194e-05,,,,,,
1,17.0,FAST,-385.5674686431885,6.57963412215599e-05,,,,,,
1,18.0,FAST,-390.69713401794434,6.205554551086731e-05,,,,,,
1,19.0,FAST,-397.08263206481934,5.824350601949142e-05,,,,,,
1,20.0,FAST,-401.5572853088379,5.438372523852832e-05,,,,,,
1,21.0,FAST,-406.54686164855957,5.0499999999999994e-05,,,,,,
1,22.0,FAST,-409.96986198425293,4.6616274761471674e-05,,,,,,
1,23.0,FAST,-413.947847366333,4.275649398050858e-05,,,,,,
1,24.0,FAST,-417.2395248413086,3.894445448913268e-05,,,,,,
1,25.0,FAST,-419.90148735046387,3.52036587784401e-05,,,,,,
1,26.0,FAST,-422.46883964538574,3.155717009792805e-05,,,,,,
1,27.0,FAST,-424.8407287597656,2.802747026289243e-05,,,,,,
1,28.0,FAST,-426.9654350280762,2.463632104656053e-05,,,,,,
1,29.0,FAST,-428.26075553894043,2.1404630011522583e-05,,,,,,
1,30.0,FAST,-430.81947898864746,1.835232160765591e-05,,,,,,
1,31.0,FAST,-432.2573528289795,1.5498214331265897e-05,,,,,,
1,32.0,FAST,-433.07337951660156,1.2859904702798466e-05,,,,,,
1,33.0,FAST,-434.57629013061523,1.0453658778440104e-05,,,,,,
1,34.0,FAST,-435.6250247955322,8.294311864472434e-06,,,,,,
1,35.0,FAST,-435.9596691131592,6.395177052675791e-06,,,,,,
1,36.0,FAST,-436.5893974304199,4.767963140691304e-06,,,,,,
1,37.0,FAST,-436.43364906311035,3.4227024433898985e-06,,,,,,
1,38.0,FAST,-437.46401596069336,2.3676889403150093e-06,,,,,,
1,39.0,FAST,-437.2415714263916,1.6094271405406855e-06,,,,,,
2,0.0,FAST,949.4004422701322,5e-05,,,,,,
2,1.0,FAST,594.2775479830228,0.0001,,,,,,
2,2.0,FAST,139.09549889197717,9.984740801978984e-05,,,,,,
2,3.0,FAST,1.0544926570012019,9.939057285945931e-05,,,,,,
2,4.0,FAST,-67.06706003042368,9.863231105968498e-05,,,,,,
2,5.0,FAST,-142.38129248985877,9.75772975566101e-05,,,,,,
2,6.0,FAST,-187.152591411884,9.623203685930868e-05,,,,,,
2,7.0,FAST,-203.39781893216647,9.46048229473242e-05,,,,,,
2,8.0,FAST,-213.57667776254507,9.270568813552755e-05,,,,,,
2,9.0,FAST,-226.6930213341346,9.054634122155989e-05,,,,,,
2,10.0,FAST,-242.10821885329025,8.814009529720152e-05,,,,,,
2,11.0,FAST,-255.9471881573017,8.550178566873408e-05,,,,,,
2,12.0,FAST,-268.09153864933893,8.264767839234409e-05,,,,,,
2,13.0,FAST,-279.46407611553485,7.959536998847741e-05,,,,,,
2,14.0,FAST,-290.31664100060095,7.636367895343945e-05,,,,,,
2,15.0,FAST,-300.9071232722356,7.297252973710755e-05,,,,,,
2,16.0,FAST,-310.2543499286358,6.944282990207194e-05,,,,,,
2,17.0,FAST,-318.17155104417066,6.57963412215599e-05,,,,,,
2,18.0,FAST,-325.5138244628906,6.205554551086731e-05,,,,,,
2,19.0,FAST,-331.4519301194411,5.824350601949142e-05,,,,,,
2,20.0,FAST,-336.91200373722955,5.438372523852832e-05,,,,,,
2,21.0,FAST,-341.36293147160455,5.0499999999999994e-05,,,,,,
2,22.0,FAST,-345.385493351863,4.6616274761471674e-05,,,,,,
2,23.0,FAST,-349.0015845665565,4.275649398050858e-05,,,,,,
2,24.0,FAST,-351.9529465895433,3.894445448913268e-05,,,,,,
2,25.0,FAST,-355.1272935133714,3.52036587784401e-05,,,,,,
2,26.0,FAST,-357.47151536207934,3.155717009792805e-05,,,,,,
2,27.0,FAST,-359.2568547175481,2.802747026289243e-05,,,,,,
2,28.0,FAST,-361.0161884014423,2.463632104656053e-05,,,,,,
2,29.0,FAST,-362.3833219088041,2.1404630011522583e-05,,,,,,
2,30.0,FAST,-363.722660945012,1.835232160765591e-05,,,,,,
2,31.0,FAST,-364.4232647235577,1.5498214331265897e-05,,,,,,
2,32.0,FAST,-365.831298828125,1.2859904702798466e-05,,,,,,
2,33.0,FAST,-366.7653292142428,1.0453658778440104e-05,,,,,,
2,34.0,FAST,-367.24400916466345,8.294311864472434e-06,,,,,,
2,35.0,FAST,-367.7618854229267,6.395177052675791e-06,,,,,,
2,36.0,FAST,-368.37789447490985,4.767963140691304e-06,,,,,,
2,37.0,FAST,-368.8248619666466,3.4227024433898985e-06,,,,,,
2,38.0,FAST,-368.686039851262,2.3676889403150093e-06,,,,,,
2,39.0,FAST,-369.1014404296875,1.6094271405406855e-06,,,,,,
0,,,,,leather,1.0,0.9447218227851293,1.0000000000000002,0.07078365330306044,1.0
0,,,,,Task_0_Average,1.0,0.9447218227851293,1.0000000000000002,0.07078365330306044,1.0
-1,,,,,Overall_Average,1.0,0.9447218227851293,1.0000000000000002,0.07078365330306044,1.0
0,,,,,leather,1.0,0.9447218227851293,1.0000000000000002,0.07078365330306044,1.0
1,,,,,grid,0.7151211361737677,0.8404767551278216,0.8901837095146479,0.11629733659853211,1.0
0,,,,,Task_0_Average,1.0,0.9447218227851293,1.0000000000000002,0.07078365330306044,1.0
1,,,,,Task_1_Average,0.7151211361737677,0.8404767551278216,0.8901837095146479,0.11629733659853211,1.0
-1,,,,,Overall_Average,0.8575605680868839,0.8925992889564754,0.945091854757324,0.09354049495079628,1.0
0,,,,,leather,1.0,0.9447218227851293,1.0000000000000002,0.07078365330306044,1.0
1,,,,,grid,0.7151211361737677,0.8404767551278216,0.8901837095146479,0.11629733659853211,1.0
2,,,,,transistor,0.6408333333333333,0.8544745581313985,0.6375353548182751,0.2825325549222216,1.0
0,,,,,Task_0_Average,1.0,0.9447218227851293,1.0000000000000002,0.07078365330306044,1.0
1,,,,,Task_1_Average,0.7151211361737677,0.8404767551278216,0.8901837095146479,0.11629733659853211,1.0
2,,,,,Task_2_Average,0.6408333333333333,0.8544745581313985,0.6375353548182751,0.2825325549222216,1.0
-1,,,,,Overall_Average,0.7853181565023669,0.8798910453481165,0.8425730214443078,0.15653784827460474,1.0
