task_id,epoch,stage,loss,learning_rate,class_name,img_auc,pixel_auc,img_ap,pixel_ap,routing_accuracy
0,0.0,BASE,99.25832443237304,9.984740801978984e-05,,,,,,
0,1.0,BASE,26.698479970296223,9.939057285945931e-05,,,,,,
0,2.0,BASE,-34.45650889078776,9.863231105968498e-05,,,,,,
0,3.0,BASE,-178.21532694498697,9.75772975566101e-05,,,,,,
0,4.0,BASE,-364.0587117513021,9.623203685930868e-05,,,,,,
0,5.0,BASE,-481.5478861490885,9.46048229473242e-05,,,,,,
0,6.0,BASE,-537.8617919921875,9.270568813552755e-05,,,,,,
0,7.0,BASE,-570.6914265950521,9.054634122155989e-05,,,,,,
0,8.0,BASE,-593.0939046223958,8.814009529720152e-05,,,,,,
0,9.0,BASE,-609.6349568684896,8.550178566873408e-05,,,,,,
0,10.0,BASE,-623.4593505859375,8.264767839234409e-05,,,,,,
0,11.0,BASE,-635.2305867513021,7.959536998847741e-05,,,,,,
0,12.0,BASE,-645.9666748046875,7.636367895343945e-05,,,,,,
0,13.0,BASE,-655.7084431966146,7.297252973710755e-05,,,,,,
0,14.0,BASE,-664.7672770182292,6.944282990207194e-05,,,,,,
0,15.0,BASE,-672.1929158528645,6.57963412215599e-05,,,,,,
0,16.0,BASE,-679.948075358073,6.205554551086731e-05,,,,,,
0,17.0,BASE,-686.2896158854167,5.824350601949142e-05,,,,,,
0,18.0,BASE,-692.4108805338542,5.438372523852832e-05,,,,,,
0,19.0,BASE,-697.6158732096354,5.0499999999999994e-05,,,,,,
0,20.0,BASE,-702.9506429036459,4.6616274761471674e-05,,,,,,
0,21.0,BASE,-707.582275390625,4.275649398050858e-05,,,,,,
0,22.0,BASE,-712.0872314453125,3.894445448913268e-05,,,,,,
0,23.0,BASE,-715.9017252604167,3.52036587784401e-05,,,,,,
0,24.0,BASE,-719.4174723307292,3.155717009792805e-05,,,,,,
0,25.0,BASE,-722.6908162434896,2.802747026289243e-05,,,,,,
0,26.0,BASE,-725.4146484375,2.463632104656053e-05,,,,,,
0,27.0,BASE,-728.0126546223959,2.1404630011522583e-05,,,,,,
0,28.0,BASE,-730.4332112630208,1.835232160765591e-05,,,,,,
0,29.0,BASE,-732.4839070638021,1.5498214331265897e-05,,,,,,
0,30.0,BASE,-734.2469360351563,1.2859904702798466e-05,,,,,,
0,31.0,BASE,-735.7593302408854,1.0453658778440104e-05,,,,,,
0,32.0,BASE,-736.6742106119792,8.294311864472434e-06,,,,,,
0,33.0,BASE,-737.9142944335938,6.395177052675791e-06,,,,,,
0,34.0,BASE,-738.649247233073,4.767963140691304e-06,,,,,,
0,35.0,BASE,-739.3262532552084,3.4227024433898985e-06,,,,,,
0,36.0,BASE,-739.8134358723959,2.3676889403150093e-06,,,,,,
0,37.0,BASE,-739.8972981770834,1.6094271405406855e-06,,,,,,
