metric,value
experiment_name,baseline_v6_patch_attention
strategy,MoLE-Flow
final_average_img_auc,0.7135760370128219
final_average_pixel_auc,0.5708230934064209
final_average_img_ap,0.7737415358390355
final_average_pixel_ap,0.05838342611105255
total_classes,3
total_tasks,3
final_routing_accuracy,1.0
---ablation_config---,
use_lora,True
use_router,True
use_task_adapter,True
use_pos_embedding,True
use_task_bias,True
use_mahalanobis,True
---class_results---,
leather_img_auc,0.8552989130434783
leather_pixel_auc,0.5649868483616747
leather_img_ap,0.948639482875353
leather_pixel_ap,0.020139966237869768
grid_img_auc,0.6716791979949875
grid_pixel_auc,0.35404150112396393
grid_img_ap,0.8649303507656432
grid_pixel_ap,0.004918512938153207
transistor_img_auc,0.6137499999999999
transistor_pixel_auc,0.7934409307336241
transistor_img_ap,0.5076547738761101
transistor_pixel_ap,0.1500917991571347
---additional_metrics---,
overall_routing_accuracy,1.0
task_0_routing_accuracy,1.0
task_1_routing_accuracy,1.0
task_2_routing_accuracy,1.0
oracle_mean_img_auc,0.7135760370128219
oracle_mean_pixel_auc,0.5708230934064209
